,段起点,段止点,w
0,呼玛路,长江西路,0.4151959317977864
1,共江路,一二八纪念路,0.34954344926644093
2,蕰藻浜,呼兰路,0.375
3,呼兰路,呼玛路,0.375
4,长江西路,共江路,0.38461538461538464
5,鹤岗路,南泗塘河,0.2971604666519921
6,逸仙路,鹤岗路,0.2758386987461877
7,德都路,庆安路,0.3751363140676118
8,安达路247号,安达路,0.254721326577614
9,淞滨支路,弄内,0.0
10,淞兴西路,淞滨路,0.0
11,江杨北路,杨泰路,0.2599870945034317
12,杨泰路,月城路,0.2679479932165065
13,淞兴路,淞浦路,0.4796828543111992
14,淞滨路,淞兴路,0.6065934065934065
15,宝杨路,海江路,0.3215043394406943
16,海江路,永乐路,0.31189842310055294
17,永乐路,双城路,0.34730697797824356
18,盘古路,市河六村桥,0.0
19,宝钢三村大门,牡丹江路,0.0
20,盘古路,团结路,0.0
21,友谊路,宝钢五村,0.2413793103448276
22,东林路,密山东路,0.2016955139526669
23,北翼商业街通道,宝林路,0.4088397790055249
24,宝杨路,宝林六村垃圾房,0.0
25,牡丹江路,宝杨路(西),0.41514812175506466
26,东林路,友谊支路,0.40751518218623484
27,宝杨路(东),子青路,0.40794573643410853
28,友谊支路,牡丹江路,0.40833932422717467
29,子青路,东林路,0.4328773475539068
30,宝林路,区政府部门大院,0.0
31,宝林路,密山东路,0.38114689709348
32,宝杨路,宝林路,0.13209606986899564
33,龙镇路,四元路,0.4737012636353818
34,宝杨路,岗亭,0.14634146341463414
35,宝山区房地产交易中心北辅通道,宝山区房地产交易中心通道B,0.22649140546006066
36,宝山区房地产交易中心通道A,宝山区房地产交易中心通道C,0.0
37,宝山区房地产交易中心通道B,宝杨路,0.0
38,宝山区房地产交易中心通道E,宝杨路,0.0
39,宝山区房地产交易中心通道C,宝山区房地产交易中心通道D,0.0
40,牡丹江路,新思致公寓,0.0
41,东林路,友谊支路,0.364679368981766
42,宝林路,东林路,0.21666666666666667
43,友谊支路,牡丹江路,0.36527192351187415
44,牡丹江路,双庆路,0.22073390364700585
45,狮子桥,宝林路,0.20826513911620295
46,双庆路,同济路,0.20174413377685876
47,马路河桥,龙镇路,0.45180722891566266
48,江杨北路,马路河桥,0.42174515235457066
49,赵巷街,塘西街,0.0
50,三泉路,长临路,0.3409090909090909
51,泰和路,淞滨路,0.5
52,和丰路,和丰路南围墙,0.0
53,淞滨路,和丰路,0.3449197860962567
54,韩家湾路,亭前街,0.0
55,和丰路,淞兴路,0.29118773946360155
56,煤气厂桥,长江南路,0.17882481353465526
57,军工路,煤气厂桥,0.34782608695652173
58,逸仙路,军工路,0.3435932736748943
59,逸仙路,西塘桥,0.3333333333333333
60,西塘桥,西赵家宅,0.3333333333333333
61,西赵家宅,长江西路,0.34061793519216277
62,虎林路,爱辉路,0.4782122905027933
63,爱辉路,通河路,0.3142691246915372
64,通河路,共和新路,0.40575354229282956
65,江杨南路,西新桥,0.14996690136607088
66,长江南路,江杨南路,0.17550766680480728
67,西新桥,虎林路,0.25010836584308627
68,共和新路,三泉路,0.16521268275073703
69,三泉路,长临路,0.18636262760763428
70,长临路,东茭泾桥,0.14991834512792596
71,东茭泾桥,康宁路,0.14679715302491103
72,康宁路,大康路,0.15
73,大康路,长康路,0.12
74,长江西路,通河八村,0.5661914460285132
75,南薀藻路,场北路,0.3826086956521739
76,场北路,长江西路,0.3746120422098076
77,长江西路,共康路(与静安交界处),0.4796893334078337
78,呼兰西路,南蕰藻路,0.27682475613858054
79,淞南路,淞良路,0.2878612716763006
80,淞良路,凇肇路,0.20112764580830023
81,淞肇路,长江南路,0.2020997375328084
82,逸仙路,兴淞桥,0.3341389728096677
83,兴淞桥,淞南路,0.3181818181818182
84,杨盛河桥,蕰川路（与路政局交界处）,0.1608177172061329
85,淞滨路,长证新村幼儿园,0.0
86,共和新路,纪薀路,0.4069767441860465
87,纪薀路,三泉路,0.33936497097985663
88,三泉路,长临路,0.3729133401074176
89,长临路,东茭泾桥,0.35403726708074534
90,东茭泾桥,康宁路,0.3545751633986928
91,康宁路,大康路,0.3333333333333333
92,大康路,康文路桥,0.375
93,环镇北路,场联路桥,0.334375
94,场联路桥,洛场路,0.3142711907485068
95,新川沙路,陈川路,0.0
96,四元路,春雷路桥,0.326101564749928
97,春雷路桥,绥化路,0.2844223377797875
98,大华路,真华路（与普陀交界处）,0.37861915367483295
99,新沪路(与宝山公路交界处,大华路,0.45612510860121636
100,大华二路 ,大华一路,0.3486394557823129
101,大华一路,新村路,0.3013760774232572
102,汶水路,行知路,0.4160057678442682
103,行知路,华灵路,0.31890179514255546
104,华灵路,大华三路,0.31886982845610495
105,大华三路,大华二路,0.34915254237288135
106,新沪路,大华路,0.393168880455408
107,大华路,真华路,0.3877966101694915
108,华灵路,新沪路,0.38926174496644295
109,新沪路(宝山公路交界处),大华路,0.38424005855086607
110,大华路,真华路,0.3
111,长江西路,花园宅路,0.375
112,花园宅路,场北路,0.375
113,场北路,南蕰藻路,0.375
114,月罗公路,老马路河桥,0.2957393483709273
115,安家路,新马路河桥,0.28963346076006297
116,新马路河桥,绥化路,0.3920288223373114
117,绥化路,富锦路辅道,0.38067712634186623
118,老马路河桥,龙镇路,0.29103479036574487
119,四元路,安家路,0.3749482524099592
120,龙镇路,四元路,0.44024904599317133
121,水果弄,北街,0.0
122,沪太路,幸福路,0.4166666666666667
123,密山东路,宝林路,0.1978021978021978
124,盘古路,友谊路,0.17622461170848266
125,友谊路,密山东路,0.19946298427311085
126,漠河路,盘古路,0.22095238095238096
127,宝林路,宝杨路,0.20028373529166318
128,市一路,亭前街,0.0
129,亭前街,竹巷街,0.0
130,淞浦路,昌北路,0.48786610878661085
131,塘西街,罗店新街,0.0
132,罗店新街,罗太路,0.0
133,小川沙河小朱桥,潘泾路,0.0
134,环镇南路,南何支线,0.3
135,西门街,友谊路,0.2968561064087062
136,蕰藻浜,联谊路,0.302509624982176
137,联谊路,共富路,0.16778463464806367
138,共富路,外环线（与宝山公路交界处）,0.17380627557980902
139,北泗塘河桥,克东路,0.13425439255143415
140,克东路,铁力路(与宝山公路交界处),0.12014453477868112
141,牡丹江路,同济路,0.3637054872639716
142,同济路,北泗塘河桥,0.12236573759347383
143,月罗公路,富乐支路,0.3
144,富乐支路,老蕴川公路,0.3
145,月罗路,富乐路,0.3
146,富长路富南苑,东太路,0.5
147,东太路,杨南路,0.5
148,殷高西路,恒高路,0.1962809917355372
149,恒高路,一二八纪念东路,0.25394128197866517
150,铁路南何支线,殷高路,0.22373048682667984
151,联泰路,富长路,0.2639758756668986
152,蕰川路西辅道,联泰路,0.2052322212103651
153,共江路,一二八纪念路,0.09473536036036036
154,长江西路,共江路,0.15873411412908048
155,呼玛路,长江西路,0.19796988895701342
156,一二八纪念路,共康路(与静安交界处),0.12307527227855572
157,呼兰路,呼玛路,0.21931763057187517
158,蕰藻浜,呼兰路,0.12009547963598388
159,虎林路,爱辉路,0.36253776435045315
