,段起点,段止点,w
9682,高科中路 ,李冰路,0.2607798584449842
9683,李冰路,蔡伦路,0.2621080188947698
9684,蔡伦路,张衡路,0.26771383202437665
9685,高科中路  ,李冰路,0.25
9686,李冰路,蔡伦路 ,0.25
9687,蔡伦路,张衡路,0.2543004587155963
9688,张衡路,高科路,0.3168087629157021
9689,惠南黄家路,振欣路,0.0
9690,南浦服装厂,马五公路,0.0
9691,振欣路,文卫路,0.0
9692,环林西路,东明路,1.0
9693,东明路,环林东路,1.0
9694,杨高中路,蓝天路,0.4801223241590214
9695,蓝天路,碧云路,0.3
9696,碧云路,明月路,0.3119398670135877
9697,明月路,锦绣东路,0.3236842105263158
9698,博成路,世博大道,0.4135567402894136
9699,国展路,博成路,0.25
9700,兰谷路,兰嵩路,0.4119601328903654
9701,兰嵩路,张杨北路,0.39268680445151033
9702,芳芯路,高科西路,0.26666666666666666
9703,芳华路,芳草路,0.26666666666666666
9704,芳草路,芳芯路,0.26666666666666666
9705,花木路,梅花路,0.2567009575339052
9706,梅花路,樱花路,0.29476331360946745
9707,樱花路,杜鹃路,0.2654004194301887
9708,杜鹃路,龙阳路,0.04578682016981674
9709,龙阳路,龙汇路,0.0
9710,龙汇路,芳华路,0.0
9711,滨江大道,陆家嘴环路,0.3959428043692876
9712,金亭路,祝城路,0.09657523129362117
9713,祝城路,百熙桥,0.1250162781612189
9714,海科路,华夏中路,0.11309830897105187
9715,浦三路,新浦支路,0.3326802695082907
9716,云台路,杨高南路,0.36036669115533265
9717,浦三路,新浦路,0.3326802695082907
9718,长清路,灵岩南路,0.4
9719,东后老街,新场大街,0.0
9720,东后老街,后心港,0.0
9721,地平桥,东后老街,0.25198337740838683
9722,包桥街,15弄9号,0.0
9723,后心港,石笋街,0.0
9724,后治河,奉新公路,0.0
9725,川沙南桥路,学北路,0.3684473290064903
9726,学北路,川环南路,0.3684461391801716
9727,西泥路,三灶浜路,0.0
9728,车站路,操场街,0.677713590757069
9729,操场街,北市街,0.37500000000000006
9730,北市街,西泥路,0.0
9731,玉泉街,杨思港,0.0
9732,人民西路,十字街,0.5079718490083174
9733,惠北桥,人民西路,0.4327485380116959
9734,惠北桥,民俗村,0.2188921155005205
9735,王桥街,华夏东路,0.0
9736,北城壕路,三灶浜路,0.4894259818731118
9737,西市街,场署街,0.49899653347929207
9738,场署街,中市街、乔家浜路,0.4547354526454735
9739,中市街、乔家浜路,乔港路,0.45489199491740784
9740,乔港路,新川路,0.4617472215042647
9741,三灶浜路,西市街,0.513455711994297
9742,华夏东路,北市街,0.40697944040810013
9743,建筑工地,欧高路,0.0
9744,上港二区,浦东大道,0.32511100148001976
9745,浦东大道,定水浜,0.0
9746,定水浜,洋泾镇,0.0
9747,浴室路,康沈路,0.0
9748,椿樟街,浴室路,0.0
9749,椿樟街,新村弄,0.0
9750,东方路,临沂北路,0.38758342212999836
9751,环龙路,东方路,0.3
9752,三泉花园,南泉路,0.6759148529060034
9753,南泉路,浦东南路,0.9275662251655629
9754,浦东南路,浦明路,0.0
9755,笔化厂,康沈路,0.29030284490669933
9756,张衡路,科苑路,0.42857142857142855
9757,松涛路,春晓路,0.1971738606221365
9758,春晓路,祖冲之路,0.18155066530194472
9759,科苑路,松涛路,0.3187435633367662
9760,祖冲之路,晨晖路,0.2352630187681734
9761,晨晖路,高科中路,0.2595392688784132
9762,金科路,紫竹路,0.2788288910371496
9763,紫竹路,金桥路,0.2956658561007009
9764,红枫路,黄杨路,0.16929547844374343
9765,黄杨路,蓝桉路,0.32854420172995163
9766,蓝桉路,云山路,0.29242661108216084
9767,云山路,白桦路,0.21542061830274664
9768,白桦路,黑松路,0.2
9769,沂林路,高科西路,0.375
9770,高科西路,云台路,0.3750953761635892
9771,高科西路,莲园路,0.26968453449602464
9772,陈春路,杨莲路,0.22191037960232138
9773,莲园路,成山路,0.2697461768879079
9774,德平路,万德路,0.4283251231527094
9775,金桥路,枣庄路,0.3626066718386346
9776,枣庄路,云山路,0.39378355895031386
9777,云山路,居家桥路,0.3931939718035975
9778,居家桥路,龙居路,0.35397279885468863
9779,龙居路,德平路,0.4244824942499361
9780,万德路,罗山路,0.39463322152544844
9781,罗山路,崮山路,0.3877551020408163
9782,北洋泾路,苗圃路,0.2646749421418052
