city_name,点数量,边数量,city_around_list_name
天津,7,14,"[('唐山', '北京'), ('唐山', '天津'), ('天津', '北京'), ('天津', '廊坊'), ('天津', '沧州'), ('天津', '保定'), ('天津', '邯郸'), ('北京', '廊坊'), ('北京', '保定'), ('北京', '沧州'), ('北京', '邯郸'), ('沧州', '保定'), ('沧州', '廊坊'), ('保定', '廊坊')]"
石家庄,7,14,"[('衡水', '石家庄'), ('衡水', '邢台'), ('衡水', '保定'), ('衡水', '沧州'), ('北京', '保定'), ('北京', '石家庄'), ('北京', '沧州'), ('北京', '邯郸'), ('沧州', '石家庄'), ('沧州', '保定'), ('邯郸', '石家庄'), ('邯郸', '邢台'), ('保定', '石家庄'), ('邢台', '石家庄')]"
太原,11,19,"[('忻州', '太原'), ('忻州', '朔州'), ('运城', '太原'), ('运城', '临汾'), ('阳泉', '太原'), ('阳泉', '晋中'), ('太原', '晋中'), ('太原', '吕梁'), ('太原', '临汾'), ('太原', '长治'), ('太原', '朔州'), ('太原', '大同'), ('太原', '晋城'), ('晋中', '长治'), ('晋中', '吕梁'), ('晋中', '临汾'), ('吕梁', '临汾'), ('长治', '晋城'), ('大同', '朔州')]"
呼和浩特,5,8,"[('巴彦淖尔', '呼和浩特'), ('巴彦淖尔', '包头'), ('巴彦淖尔', '鄂尔多斯'), ('鄂尔多斯', '呼和浩特'), ('鄂尔多斯', '包头'), ('包头', '呼和浩特'), ('包头', '乌兰察布'), ('乌兰察布', '呼和浩特')]"
沈阳,16,24,"[('辽阳', '沈阳'), ('辽阳', '鞍山'), ('抚顺', '沈阳'), ('沈阳', '通辽'), ('沈阳', '铁岭'), ('沈阳', '大连'), ('沈阳', '鞍山'), ('沈阳', '本溪'), ('沈阳', '锦州'), ('沈阳', '阜新'), ('沈阳', '营口'), ('沈阳', '丹东'), ('沈阳', '盘锦'), ('沈阳', '朝阳'), ('沈阳', '葫芦岛'), ('沈阳', '长春'), ('鞍山', '大连'), ('鞍山', '营口'), ('鞍山', '盘锦'), ('大连', '营口'), ('大连', '丹东'), ('锦州', '盘锦'), ('锦州', '葫芦岛'), ('盘锦', '营口')]"
大连,5,8,"[('大连', '沈阳'), ('大连', '营口'), ('大连', '丹东'), ('大连', '鞍山'), ('沈阳', '鞍山'), ('沈阳', '营口'), ('沈阳', '丹东'), ('鞍山', '营口')]"
长春,9,9,"[('沈阳', '长春'), ('四平', '长春'), ('哈尔滨', '长春'), ('白城', '长春'), ('白城', '松原'), ('松原', '长春'), ('延边朝鲜族自治州', '长春'), ('通化', '长春'), ('吉林', '长春')]"
哈尔滨,7,8,"[('哈尔滨', '长春'), ('哈尔滨', '绥化'), ('哈尔滨', '大庆'), ('哈尔滨', '齐齐哈尔'), ('哈尔滨', '佳木斯'), ('哈尔滨', '牡丹江'), ('大庆', '齐齐哈尔'), ('大庆', '绥化')]"
杭州,18,65,"[('合肥', '上海'), ('合肥', '南京'), ('合肥', '苏州'), ('合肥', '杭州'), ('合肥', '宣城'), ('金华', '上海'), ('金华', '杭州'), ('金华', '宁波'), ('金华', '温州'), ('金华', '嘉兴'), ('金华', '绍兴'), ('金华', '丽水'), ('金华', '衢州'), ('金华', '台州'), ('金华', '上饶'), ('杭州', '上海'), ('杭州', '南京'), ('杭州', '无锡'), ('杭州', '苏州'), ('杭州', '嘉兴'), ('杭州', '绍兴'), ('杭州', '湖州'), ('杭州', '宁波'), ('杭州', '台州'), ('杭州', '温州'), ('杭州', '衢州'), ('杭州', '丽水'), ('杭州', '宣城'), ('杭州', '上饶'), ('杭州', '舟山'), ('南京', '上海'), ('南京', '苏州'), ('南京', '无锡'), ('南京', '宣城'), ('无锡', '上海'), ('无锡', '苏州'), ('无锡', '湖州'), ('上海', '苏州'), ('上海', '嘉兴'), ('上海', '宁波'), ('上海', '绍兴'), ('上海', '湖州'), ('上海', '舟山'), ('上海', '温州'), ('上海', '台州'), ('上海', '宣城'), ('台州', '宁波'), ('台州', '温州'), ('台州', '绍兴'), ('宣城', '湖州'), ('苏州', '嘉兴'), ('苏州', '湖州'), ('苏州', '宁波'), ('苏州', '绍兴'), ('温州', '宁波'), ('温州', '丽水'), ('温州', '绍兴'), ('湖州', '宁波'), ('湖州', '嘉兴'), ('湖州', '绍兴'), ('上饶', '衢州'), ('舟山', '宁波'), ('嘉兴', '宁波'), ('嘉兴', '绍兴'), ('绍兴', '宁波')]"
宁波,11,40,"[('金华', '上海'), ('金华', '杭州'), ('金华', '宁波'), ('金华', '温州'), ('金华', '嘉兴'), ('金华', '绍兴'), ('金华', '台州'), ('杭州', '上海'), ('杭州', '苏州'), ('杭州', '嘉兴'), ('杭州', '绍兴'), ('杭州', '湖州'), ('杭州', '宁波'), ('杭州', '台州'), ('杭州', '温州'), ('杭州', '舟山'), ('上海', '苏州'), ('上海', '嘉兴'), ('上海', '宁波'), ('上海', '绍兴'), ('上海', '湖州'), ('上海', '舟山'), ('上海', '温州'), ('上海', '台州'), ('台州', '宁波'), ('台州', '温州'), ('台州', '绍兴'), ('苏州', '嘉兴'), ('苏州', '湖州'), ('苏州', '宁波'), ('苏州', '绍兴'), ('温州', '宁波'), ('温州', '绍兴'), ('舟山', '宁波'), ('湖州', '宁波'), ('湖州', '嘉兴'), ('湖州', '绍兴'), ('绍兴', '宁波'), ('绍兴', '嘉兴'), ('宁波', '嘉兴')]"
合肥,20,49,"[('马鞍山', '南京'), ('马鞍山', '合肥'), ('马鞍山', '芜湖'), ('亳州', '合肥'), ('亳州', '蚌埠'), ('亳州', '淮北'), ('亳州', '阜阳'), ('安庆', '合肥'), ('安庆', '芜湖'), ('安庆', '铜陵'), ('安庆', '池州'), ('宣城', '上海'), ('宣城', '南京'), ('宣城', '杭州'), ('宣城', '合肥'), ('宣城', '芜湖'), ('苏州', '上海'), ('苏州', '南京'), ('苏州', '杭州'), ('苏州', '合肥'), ('宿州', '合肥'), ('宿州', '蚌埠'), ('宿州', '淮北'), ('杭州', '上海'), ('杭州', '南京'), ('杭州', '合肥'), ('上海', '南京'), ('上海', '合肥'), ('上海', '芜湖'), ('池州', '合肥'), ('池州', '铜陵'), ('六安', '合肥'), ('六安', '淮南'), ('六安', '阜阳'), ('滁州', '南京'), ('滁州', '合肥'), ('滁州', '蚌埠'), ('蚌埠', '合肥'), ('蚌埠', '淮南'), ('芜湖', '南京'), ('芜湖', '合肥'), ('芜湖', '铜陵'), ('黄山', '合肥'), ('阜阳', '合肥'), ('阜阳', '淮南'), ('合肥', '南京'), ('合肥', '淮南'), ('合肥', '铜陵'), ('合肥', '淮北')]"
福州,8,15,"[('泉州', '福州'), ('泉州', '厦门'), ('泉州', '莆田'), ('泉州', '三明'), ('泉州', '漳州'), ('三明', '福州'), ('三明', '厦门'), ('三明', '南平'), ('厦门', '福州'), ('厦门', '漳州'), ('厦门', '莆田'), ('莆田', '福州'), ('宁德', '福州'), ('福州', '南平'), ('福州', '漳州')]"
厦门,7,14,"[('泉州', '福州'), ('泉州', '厦门'), ('泉州', '莆田'), ('泉州', '三明'), ('泉州', '漳州'), ('龙岩', '厦门'), ('龙岩', '漳州'), ('厦门', '福州'), ('厦门', '漳州'), ('厦门', '莆田'), ('厦门', '三明'), ('莆田', '福州'), ('漳州', '福州'), ('福州', '三明')]"
南昌,11,20,"[('吉安', '南昌'), ('吉安', '新余'), ('吉安', '赣州'), ('吉安', '宜春'), ('抚州', '南昌'), ('抚州', '赣州'), ('鹰潭', '南昌'), ('鹰潭', '上饶'), ('赣州', '南昌'), ('萍乡', '南昌'), ('萍乡', '宜春'), ('新余', '南昌'), ('新余', '宜春'), ('九江', '南昌'), ('九江', '宜春'), ('九江', '上饶'), ('上饶', '南昌'), ('上饶', '景德镇'), ('景德镇', '南昌'), ('宜春', '南昌')]"
济南,13,31,"[('临沂', '济南'), ('临沂', '青岛'), ('临沂', '淄博'), ('临沂', '潍坊'), ('临沂', '济宁'), ('临沂', '泰安'), ('滨州', '济南'), ('滨州', '淄博'), ('滨州', '东营'), ('滨州', '潍坊'), ('滨州', '德州'), ('菏泽', '济南'), ('菏泽', '济宁'), ('泰安', '济南'), ('泰安', '济宁'), ('德州', '济南'), ('德州', '聊城'), ('济宁', '济南'), ('东营', '济南'), ('东营', '淄博'), ('东营', '潍坊'), ('淄博', '济南'), ('淄博', '青岛'), ('淄博', '潍坊'), ('聊城', '济南'), ('青岛', '济南'), ('青岛', '潍坊'), ('青岛', '烟台'), ('济南', '潍坊'), ('济南', '烟台'), ('烟台', '潍坊')]"
青岛,9,23,"[('临沂', '济南'), ('临沂', '莱芜'), ('临沂', '青岛'), ('临沂', '淄博'), ('临沂', '潍坊'), ('临沂', '日照'), ('日照', '青岛'), ('日照', '潍坊'), ('威海', '青岛'), ('威海', '烟台'), ('莱芜', '淄博'), ('莱芜', '潍坊'), ('莱芜', '青岛'), ('莱芜', '烟台'), ('淄博', '济南'), ('淄博', '青岛'), ('淄博', '潍坊'), ('青岛', '济南'), ('青岛', '潍坊'), ('青岛', '烟台'), ('济南', '潍坊'), ('济南', '烟台'), ('烟台', '潍坊')]"
郑州,17,36,"[('信阳', '郑州'), ('信阳', '驻马店'), ('濮阳', '郑州'), ('濮阳', '安阳'), ('漯河', '郑州'), ('漯河', '平顶山'), ('漯河', '许昌'), ('漯河', '驻马店'), ('漯河', '周口'), ('南阳', '郑州'), ('南阳', '平顶山'), ('南阳', '驻马店'), ('洛阳', '郑州'), ('洛阳', '三门峡'), ('洛阳', '平顶山'), ('商丘', '郑州'), ('商丘', '开封'), ('商丘', '周口'), ('周口', '郑州'), ('周口', '开封'), ('周口', '许昌'), ('周口', '驻马店'), ('开封', '郑州'), ('开封', '许昌'), ('驻马店', '郑州'), ('郑州', '新乡'), ('郑州', '许昌'), ('郑州', '焦作'), ('郑州', '平顶山'), ('郑州', '安阳'), ('郑州', '鹤壁'), ('郑州', '三门峡'), ('安阳', '鹤壁'), ('安阳', '新乡'), ('新乡', '焦作'), ('平顶山', '许昌')]"
武汉,16,23,"[('武汉', '孝感'), ('武汉', '黄冈'), ('武汉', '鄂州'), ('武汉', '咸宁'), ('武汉', '黄石'), ('武汉', '荆州'), ('武汉', '随州'), ('武汉', '襄阳'), ('武汉', '仙桃'), ('武汉', '宜昌'), ('武汉', '荆门'), ('武汉', '长沙'), ('武汉', '天门'), ('武汉', '恩施土家族苗族自治州'), ('武汉', '十堰'), ('孝感', '随州'), ('荆州', '宜昌'), ('荆州', '荆门'), ('恩施土家族苗族自治州', '宜昌'), ('黄石', '鄂州'), ('黄石', '黄冈'), ('十堰', '襄阳'), ('鄂州', '黄冈')]"
