City_name,Average_node_connectivity,City_degree,Edge_number,Nature_connectivity,Average_short_length,Algebraic_connectivity,node_connectivity,connectivity_loss,size_of_largest_component,eco_value
天津,4.7032967032967035,13,48,5.287729263542576,1.4725274725274726,2.359041282808485,3,0.0,14,101.9
石家庄,5.418181818181818,10,38,5.072531011294922,1.309090909090909,3.000000000000003,3,0.0,11,102.1
太原,2.3454545454545452,10,21,2.410665893798122,1.6181818181818182,1.1723014826269647,2,0.0,11,102.0
呼和浩特,2.0952380952380953,6,11,1.8120405871025953,1.4761904761904763,1.0000000000000029,1,0.0,7,101.9
沈阳,1.9415204678362572,18,38,2.9653146585857093,1.7777777777777777,1.0000000000000657,1,0.0,19,102.1
大连,2.7,4,8,1.795317126962805,1.2,2.0,2,0.0,5,102.4
长春,1.9102564102564104,12,24,2.5510775752486046,1.6923076923076923,1.0000000000000138,1,0.0,13,101.6
哈尔滨,1.7428571428571429,14,27,2.5679174785266308,1.7428571428571429,1.0000000000000262,1,0.0,15,102.2
杭州,6.571428571428571,28,146,9.31068388708827,1.6403940886699508,1.9287689824329797,2,0.0,29,101.8
宁波,6.309941520467836,18,86,7.812935215267135,1.4970760233918128,1.9146594241598538,2,0.0,19,102.7
合肥,6.300395256916996,22,108,8.370111404101852,1.5731225296442688,2.6837907882580607,3,0.0,23,101.5
福州,3.303030303030303,11,30,3.4624321182553834,1.5454545454545454,1.6052657395255179,2,0.0,12,102.3
厦门,3.5555555555555554,8,22,3.2921849112058994,1.3888888888888888,1.9442378301973195,2,0.0,9,102.3
南昌,3.8846153846153846,12,36,3.9374417641750936,1.5384615384615385,2.1296967128789723,3,0.0,13,103.1
济南,3.875,15,46,4.195141092482454,1.6166666666666667,1.7759430481297476,3,0.0,16,102.1
青岛,4.564102564102564,12,42,4.746272409032531,1.4615384615384615,1.7705481472572262,2,0.0,13,102.2
郑州,4.161904761904762,20,66,4.964167539454769,1.6857142857142857,1.4876460528348425,2,0.0,21,101.2
武汉,3.7355072463768115,23,76,5.413201972887545,1.7246376811594204,1.4442282602380967,2,0.0,24,102.4
长沙,5.423333333333333,24,105,7.568165906359022,1.65,1.811437154028888,3,0.0,25,101.9
南宁,5.326797385620915,17,72,6.791631595473514,1.5294117647058822,1.7439308636560744,2,0.0,18,102.0
海口,1.1503267973856208,17,22,1.918538432694371,1.8562091503267975,1.000000000000008,1,0.0,18,102.9
贵阳,4.904761904761905,14,48,4.4927875765853935,1.542857142857143,2.4806791673599857,4,0.0,15,102.0
昆明,2.8190476190476192,20,51,3.5694709359813515,1.7571428571428571,1.0645818182326123,2,0.0,21,102.6
拉萨,1.0,6,6,0.8676269289008737,1.7142857142857142,1.0000000000000002,1,0.0,7,102.2
西安,1.7792207792207793,21,47,3.3896120858797296,1.7965367965367964,1.0000000000001399,1,0.0,22,100.8
兰州,1.5384615384615385,13,22,2.0381202758217714,1.7582417582417582,1.0000000000000377,1,0.0,14,103.1
西宁,1.3333333333333333,6,8,1.2443388841770078,1.619047619047619,1.0000000000000062,1,0.0,7,102.3
银川,1.8571428571428572,7,13,1.8173681377683482,1.5357142857142858,1.0000000000000078,1,0.0,8,102.3
乌鲁木齐,1.6666666666666667,9,15,1.8449203948215394,1.6666666666666667,1.0000000000000175,1,0.0,10,102.8
北京,1.8333333333333333,20,44,3.199555419988255,1.7904761904761906,1.0000000000001075,1,0.0,21,102.0
上海,4.0997150997151,26,100,6.808365465487397,1.7150997150997151,1.9310019865068564,2,0.0,27,102.6
南京,4.786764705882353,16,62,5.994741162801222,1.5441176470588236,1.7499349560747928,2,0.0,17,102.5
广州,4.567816091954023,29,121,8.095720539759713,1.72183908045977,1.0000000000000135,1,0.0,30,103.2
深圳,4.588505747126437,29,121,8.135073019986198,1.72183908045977,1.0000000000000056,1,0.0,30,102.3
重庆,1.9288537549407114,22,52,3.579533276139748,1.7944664031620554,1.0000000000000344,1,0.0,23,102.2
成都,1.9166666666666667,23,51,3.623094749355316,1.815217391304348,1.0000000000000935,1,0.0,24,102.4
天津,3.0476190476190474,6,14,2.5114368231118442,1.3333333333333333,2.0000000000000018,2,0.0,7,101.7
石家庄,3.4761904761904763,6,14,2.3131397468021913,1.3333333333333333,2.267949192431127,3,0.0,7,102.2
太原,1.8181818181818181,10,19,2.1185747333947575,1.6545454545454545,1.0000000000000102,1,0.0,11,102.1
呼和浩特,2.7,4,8,1.7953171269628072,1.2,1.9999999999999998,2,0.0,5,101.8
沈阳,1.4416666666666667,15,24,2.2278650710363532,1.8,1.0000000000000342,1,0.0,16,101.6
大连,2.7,4,8,1.795317126962805,1.2,2.000000000000001,2,0.0,5,102.0
长春,1.0833333333333333,8,9,1.12051302581885,1.75,1.000000000000003,1,0.0,9,101.9
哈尔滨,1.3333333333333333,6,8,1.2443388841770062,1.619047619047619,1.0000000000000033,1,0.0,7,101.3
杭州,4.431372549019608,17,65,5.852839700839988,1.5751633986928104,1.799333801741485,2,0.0,18,101.2
宁波,5.818181818181818,10,40,5.354903210246354,1.2727272727272727,3.0000000000000027,3,0.0,11,102.1
合肥,2.5052631578947366,19,49,3.6489081884025922,1.7421052631578948,1.0000000000000846,1,0.0,20,101.3
福州,2.5357142857142856,7,15,2.3732502929327124,1.4642857142857142,1.0000000000000018,1,0.0,8,102.2
厦门,3.0476190476190474,6,14,2.4385968000008913,1.3333333333333333,1.7639320225002133,2,0.0,7,102.2
南昌,2.2363636363636363,10,20,2.222017764935479,1.6363636363636365,1.1735532028599969,2,0.0,11,102.0
济南,2.8205128205128207,12,31,3.300911555910151,1.6025641025641026,1.29587559942609,2,0.0,13,102.0
青岛,3.9166666666666665,8,23,3.4157663815314603,1.3611111111111112,1.8178621975290192,2,0.0,9,102.3
郑州,2.0661764705882355,16,36,2.9878027583558815,1.7352941176470589,1.0000000000000426,1,0.0,17,101.1
