date,index
20221010,0.2209356
20221009,0.227124
20221008,0.2790612
20221007,0.3777192
20221006,0.5155164
20221005,0.5655096
20221004,0.6028344
20221003,0.713286
20221002,0.851796
20221001,1.2277008
20220930,0.793962
20220929,0.6494256
20220928,0.6043896
20220927,0.5777568
20220926,0.577044
20220925,0.5593212
20220924,0.6383448
20220923,0.6502356
20220922,0.5450652
20220921,0.5440284
20220920,0.5346324
20220919,0.481788
20220918,0.525528
20220917,0.6430752
20220916,0.6093792
20220915,0.6446628
20220914,0.6819228
20220913,0.6318
20220912,0.6171228
20220911,0.5894856
20220910,0.8282736
20220909,0.8113608
20220908,0.6082452
20220907,0.5256252
20220906,0.6031908
20220905,0.5456808
20220904,0.4543776
20220903,0.5296752
20220902,0.5983956
20220901,0.5489532
20220831,0.4850604
20220830,0.4783212
20220829,0.460242
20220828,0.4758588
20220827,0.607662
20220826,0.5957712
20220825,0.5222232
20220824,0.492642
20220823,0.526176
20220822,0.6222744
20220821,0.8075376
20220820,1.0770408
20220819,1.1306304
20220818,0.9541152
20220817,1.1212668
20220816,1.241892
20220815,1.287738
20220814,1.2082932
20220813,1.6311456
20220812,1.3525704
20220811,1.2616236
20220810,1.2825864
20220809,1.4031468
20220808,1.4857344
20220807,1.4002308
20220806,1.7445132
20220805,1.6010784
20220804,1.4593284
20220803,1.6936776
20220802,1.8957564
20220801,1.932174
20220731,1.81683
20220730,2.1706704
20220729,1.730322
20220728,1.310256
20220727,1.360476
20220726,1.4182776
20220725,1.5077988
20220724,1.4176944
20220723,1.7095212
20220722,1.5413652
20220721,1.2988836
20220720,1.3463172
20220719,1.4251788
20220718,1.4865444
20220717,1.4689512
20220716,1.8540252
20220715,1.6194492
20220714,1.2743568
20220713,1.1824056
20220712,1.102248
20220711,1.260522
20220710,1.1958192
20220709,1.5689376
20220708,1.3540608
20220707,1.0624932
20220706,0.9405072
20220705,0.7893936
20220704,0.8449272
20220703,0.8642052
20220702,1.000998
20220701,0.863946
20220630,0.7062552
20220629,0.658368
20220628,0.64395
20220627,0.5481108
20220626,0.5905872
20220625,0.689796
20220624,0.6538968
20220623,0.5643108
20220622,0.4914432
20220621,0.5187564
20220620,0.5082264
20220619,0.4595292
20220618,0.5225148
20220617,0.53379
20220616,0.4498416
20220615,0.435132
20220614,0.3803436
20220613,0.4042548
20220612,0.436914
20220611,0.3959604
20220610,0.4005288
20220609,0.3379644
20220608,0.3144096
20220607,0.348138
20220606,0.3459996
20220605,0.3817692
20220604,0.3513456
20220603,0.4426164
20220602,0.5267592
20220601,0.5067684
20220531,0.3971592
20220530,0.351054
20220529,0.3218292
20220528,0.3361176
20220527,0.3118824
20220526,0.2908872
20220525,0.2762424
20220524,0.2719008
20220523,0.2527524
20220522,0.2461428
20220521,0.2141964
20220520,0.25191
20220519,0.2184408
20220518,0.2174364
20220517,0.2254716
20220516,0.2244672
20220515,0.2123496
20220514,0.2591676
20220513,0.2278692
20220512,0.2247588
20220511,0.2675268
20220510,0.2521692
20220509,0.2438748
20220508,0.223722
20220507,0.2250504
20220506,0.2233332
20220505,0.231498
20220504,0.2160432
20220503,0.2071656
20220502,0.2074572
20220501,0.2307528
20220430,0.268758
20220429,0.1944324
20220428,0.1735668
20220427,0.1992276
20220426,0.202338
20220425,0.1988064
20220424,0.1918404
20220423,0.20412
20220422,0.1940436
20220421,0.1899936
20220420,0.2129004
20220419,0.2401164
20220418,0.2770524
20220417,0.321732
20220416,0.3384504
20220415,0.2584224
20220414,0.2175012
20220413,0.2022084
20220412,0.184518
20220411,0.1842912
20220410,0.186786
20220409,0.1599264
20220408,0.16281
20220407,0.1760616
20220406,0.1420416
20220405,0.1200096
20220404,0.1266192
20220403,0.14337
20220402,0.1038096
20220401,0.07776
20220331,0.0613656
20220330,0.0866376
20220329,0.0808704
20220328,0.0782784
20220327,0.0848556
20220326,0.0882576
20220325,0.0859572
20220324,0.1081512
20220323,0.1388664
20220322,0.1670868
20220321,0.2004264
20220320,0.1823796
20220319,0.278802
20220318,0.3423384
20220317,0.3317112
20220316,0.3465828
20220315,0.374706
20220314,0.407916
20220313,0.4406076
20220312,0.5381316
20220311,0.5519988
20220310,0.5309064
20220309,0.4614084
20220308,0.4760856
20220307,0.4894992
20220306,0.4782888
20220305,0.5257872
20220304,0.5183028
20220303,0.4875228
20220302,0.42039
20220301,0.49086
20220228,0.394956
20220227,0.469638
20220226,0.5003532
20220225,0.5159052
20220224,0.4972104
20220223,0.4813344
20220222,0.44469
20220221,0.4635468
20220220,0.4444956
20220219,0.5273424
20220218,0.5030748
20220217,0.45036
20220216,0.3525444
20220215,0.2752056
20220214,0.2704752
20220213,0.3131136
20220212,0.3884112
20220211,0.5880276
20220210,0.4931604
20220209,0.5075784
20220208,0.5685552
20220207,0.7484076
20220206,0.86589
20220205,0.6670512
20220204,0.623052
20220203,0.5244264
20220202,0.511272
20220201,0.2820744
20220131,0.428976
20220130,0.6363684
20220129,0.6417468
20220128,0.6049728
20220127,0.560844
20220126,0.5324292
20220125,0.5015844
20220124,0.4889808
20220123,0.4090824
20220122,0.465426
20220121,0.4631256
20220120,0.446958
20220119,0.406944
20220118,0.421362
20220117,0.4289112
20220116,0.4162104
20220115,0.4731048
20220114,0.4776084
20220113,0.4426812
20220112,0.4713228
20220111,0.4734288
20220110,0.47061
20220109,0.4659768
20220108,0.5840748
20220107,0.520344
20220106,0.4876848
20220105,0.4930632
20220104,0.5527116
20220103,0.5732532
20220102,0.5506704
20220101,0.7318512
20211231,0.711666
20211230,0.5399136
20211229,0.5186916
20211228,0.5067684
20211227,0.5487264
20211226,0.5105268
20211225,0.5343084
20211224,0.5746464
20211223,0.5461344
20211222,0.516456
20211221,0.5223528
20211220,0.5813208
20211219,0.5576688
20211218,0.6001452
20211217,0.5947668
20211216,0.5255604
20211215,0.517104
20211214,0.4985712
20211213,0.5261436
20211212,0.501552
20211211,0.5668704
20211210,0.6093468
20211209,0.4827924
20211208,0.4835052
20211207,0.5011632
20211206,0.533304
20211205,0.5035608
20211204,0.59535
20211203,0.5871852
20211202,0.5034312
20211201,0.4941648
20211130,0.493128
20211129,0.6064632
20211128,0.5458428
20211127,0.5831676
20211126,0.5539428
20211125,0.4902444
20211124,0.4644216
20211123,0.4596264
20211122,0.4651668
20211121,0.4630284
20211120,0.5437368
20211119,0.52245
20211118,0.434646
20211117,0.4478976
20211116,0.4423248
20211115,0.4795524
20211114,0.4469904
20211113,0.5172984
20211112,0.466074
20211111,0.5379372
20211110,0.4615056
20211109,0.3625884
20211108,0.2985984
20211107,0.2937384
20211106,0.5022324
20211105,0.5135724
20211104,0.4484484
20211103,0.4322484
20211102,0.4154652
20211101,0.4570992
20211031,0.4250556
20211030,0.4893048
20211029,0.5202468
20211028,0.4547664
20211027,0.4626396
20211026,0.486324
20211025,0.559224
20211024,0.5805756
20211023,0.714906
20211022,0.6939756
20211021,0.6200388
20211020,0.6324804
20211019,0.6415848
20211018,0.708426
20211017,0.677808
20211016,0.7988544
20211015,0.7529436
20211014,0.64881
20211013,0.6291108
20211012,0.6480648
20211011,0.6534756
20211010,0.6300504
20211009,0.6618348
20211008,0.74844
20211007,0.8793036
20211006,0.9051912
20211005,1.0773648
20211004,1.2920796
20211003,1.4862528
20211002,1.9177236
20211001,2.3338692
20210930,0.9184428
