date,index
20221010,1.0981008
20221009,1.1152728
20221008,1.2626928
20221007,1.3942368
20221006,1.3951116
20221005,1.4932836
20221004,1.5288264
20221003,1.52442
20221002,2.1115404
20221001,3.9308328
20220930,1.9805796
20220929,1.6098588
20220928,1.474848
20220927,1.4316912
20220926,1.4105988
20220925,1.363716
20220924,1.4980788
20220923,1.4312052
20220922,1.3355928
20220921,1.3712328
20220920,1.4108904
20220919,1.4832072
20220918,1.356264
20220917,1.3851648
20220916,1.3437252
20220915,1.3429476
20220914,1.3539636
20220913,1.4316264
20220912,1.3809852
20220911,1.672164
20220910,2.0795292
20220909,1.710396
20220908,1.3824108
20220907,1.3318668
20220906,1.2552408
20220905,1.2529404
20220904,1.1555136
20220903,1.2267936
20220902,1.1968884
20220901,1.213704
20220831,1.2025584
20220830,1.2031416
20220829,1.2204108
20220828,1.2047292
20220827,1.4427072
20220826,1.4461416
20220825,1.4033736
20220824,1.5098724
20220823,1.6188336
20220822,1.598454
20220821,1.5977412
20220820,1.7768808
20220819,1.7168112
20220818,1.8448884
20220817,1.9161036
20220816,1.9082952
20220815,1.9745208
20220814,1.9580292
20220813,2.0924568
20220812,1.9125072
20220811,1.987092
20220810,1.742148
20220809,1.6892712
20220808,1.7588664
20220807,1.8753444
20220806,2.0265228
20220805,1.8660456
20220804,1.78605
20220803,1.7840736
20220802,1.8071748
20220801,1.9286424
20220731,1.9150344
20220730,2.1093372
20220729,1.7984916
20220728,1.642518
20220727,1.6632864
20220726,1.6518168
20220725,1.855224
20220724,1.9310724
20220723,2.0273328
20220722,1.7583804
20220721,1.69857
20220720,1.7050824
20220719,1.803546
20220718,1.8679248
20220717,1.8528912
20220716,2.0324844
20220715,1.870776
20220714,1.7485632
20220713,1.6241796
20220712,1.6379172
20220711,1.853928
20220710,1.8485496
20220709,2.026782
20220708,1.7851428
20220707,1.6535988
20220706,1.6312428
20220705,1.4385276
20220704,1.6247628
20220703,1.5343668
20220702,1.8235044
20220701,1.6652304
20220630,1.4771808
20220629,1.41588
20220628,1.3904136
20220627,1.3804992
20220626,1.3940424
20220625,1.5416568
20220624,1.4151672
20220623,1.31382
20220622,1.342008
20220621,1.3344912
20220620,1.3771296
20220619,1.3073076
20220618,1.399518
20220617,1.31544
20220616,1.2633408
20220615,1.2513528
20220614,1.2148056
20220613,1.2498948
20220612,1.1836692
20220611,1.2618504
20220610,1.2735468
20220609,1.2008088
20220608,1.1770272
20220607,1.1964672
20220606,1.1801052
20220605,1.0696212
20220604,1.1793276
20220603,1.4823972
20220602,1.3498164
20220601,1.2618504
20220531,1.2181428
20220530,1.1671452
20220529,1.0944396
20220528,1.1314728
20220527,1.04652
20220526,0.979776
20220525,0.9479592
20220524,0.9321804
20220523,0.8608032
20220522,0.8565264
20220521,0.73062
20220520,0.762858
20220519,0.689634
20220518,0.6296616
20220517,0.564408
20220516,0.5197932
20220515,0.4800384
20220514,0.502848
20220513,0.4610196
20220512,0.434646
20220511,0.4585248
20220510,0.4424544
20220509,0.405162
20220508,0.4380804
20220507,0.4582656
20220506,0.4311792
20220505,0.4501332
20220504,0.4139748
20220503,0.401598
20220502,0.407268
20220501,0.4031532
20220430,0.3752568
20220429,0.3490452
20220428,0.3435048
20220427,0.3478464
20220426,0.3463884
20220425,0.3466152
20220424,0.326592
20220423,0.3159324
20220422,0.3196908
20220421,0.3283416
20220420,0.3274344
20220419,0.3602556
20220418,0.3840696
20220417,0.3551688
20220416,0.3521556
20220415,0.3449952
20220414,0.347976
20220413,0.32967
20220412,0.3184272
20220411,0.3261708
20220410,0.3502116
20220409,0.3316788
20220408,0.3590244
20220407,0.4131
20220406,0.4254444
20220405,0.4085964
20220404,0.5450976
20220403,0.7968132
20220402,0.715878
20220401,0.8102916
20220331,0.7405344
20220330,0.8725644
20220329,0.7914996
20220328,0.8372484
20220327,0.7726104
20220326,0.8423352
20220325,0.7091388
20220324,0.789588
20220323,0.7695324
20220322,0.7791228
20220321,0.8128512
20220320,0.6802056
20220319,0.6999372
20220318,0.7292268
20220317,0.7080048
20220316,0.7205436
20220315,0.8094816
20220314,0.9727776
20220313,0.9100512
20220312,0.9825624
20220311,1.016712
20220310,0.9503244
20220309,0.9707364
20220308,0.9781884
20220307,0.9963
20220306,1.0348884
20220305,1.2253032
20220304,1.1735604
20220303,1.2544632
20220302,1.2638592
20220301,1.51308
20220228,1.2995964
20220227,1.7573112
20220226,1.7219304
20220225,1.438074
20220224,1.4037948
20220223,1.3813092
20220222,1.3969908
20220221,1.4601384
20220220,1.3251924
20220219,1.3916772
20220218,1.3378932
20220217,1.3607028
20220216,1.3945284
20220215,1.1990592
20220214,1.2706308
20220213,1.201392
20220212,1.3317696
20220211,1.2743244
20220210,1.2474
20220209,1.2129588
20220208,1.1750832
20220207,1.1673396
20220206,1.3126536
20220205,1.1235996
20220204,1.2676176
20220203,1.113588
20220202,1.4773428
20220201,0.8964756
20220131,1.8987372
20220130,2.1457548
20220129,2.4628212
20220128,2.3513976
20220127,2.1754332
20220126,2.0118456
20220125,2.0352708
20220124,1.6540848
20220123,1.617246
20220122,1.4983056
20220121,1.4820732
20220120,1.5603516
20220119,1.3598604
20220118,1.3766436
20220117,1.3328712
20220116,1.2716352
20220115,1.3191336
20220114,1.2739032
20220113,1.3017672
20220112,1.3546116
20220111,1.4329872
20220110,1.3174488
20220109,1.3250952
20220108,1.5224436
20220107,1.2594204
20220106,1.2765924
20220105,1.267488
20220104,1.376352
20220103,1.3353012
20220102,1.454112
20220101,2.1318876
20211231,1.8166032
20211230,1.4613372
20211229,1.3347504
20211228,1.3159584
20211227,1.3328388
20211226,1.2971664
20211225,1.2652524
20211224,1.2702744
20211223,1.4174352
20211222,1.3968936
20211221,1.386072
20211220,1.4786388
20211219,1.5473268
20211218,1.685448
20211217,1.507248
20211216,1.3957596
20211215,1.3602816
20211214,1.3434984
20211213,1.3492332
20211212,1.2854052
20211211,1.4530752
20211210,1.3655952
20211209,1.2763332
20211208,1.2805128
20211207,1.2769812
20211206,1.297944
20211205,1.2983652
20211204,1.5591528
20211203,1.3875624
20211202,1.2950604
20211201,1.2953196
20211130,1.309608
20211129,1.4140008
20211128,1.342332
20211127,1.5085116
20211126,1.4205132
20211125,1.25793
20211124,1.2038868
20211123,1.1926116
20211122,1.2143196
20211121,1.1390544
20211120,1.2967128
20211119,1.246266
20211118,1.1536344
20211117,1.1427156
20211116,1.1562264
20211115,1.1763792
20211114,1.1563236
20211113,1.26846
20211112,1.2173976
20211111,1.1266452
20211110,1.0716624
20211109,1.0808964
20211108,0.9549252
20211107,0.8656956
20211106,1.0890936
20211105,1.1513988
20211104,1.2176568
20211103,1.1256084
20211102,1.0308384
20211101,1.1091492
20211031,1.008612
20211030,1.1354904
20211029,1.0819008
20211028,1.001808
20211027,1.0292832
20211026,1.0488204
20211025,1.1212668
20211024,1.164294
20211023,1.3630356
20211022,1.3106124
20211021,1.3157964
20211020,1.3678956
20211019,1.3315752
20211018,1.4204808
20211017,1.3093812
20211016,1.46367
20211015,1.3340052
20211014,1.2854052
20211013,1.2939912
20211012,1.3125564
20211011,1.318032
20211010,1.2480804
20211009,1.2018132
20211008,1.4748156
20211007,1.6171812
20211006,1.5179724
20211005,1.6478964
20211004,1.9187928
20211003,2.3596596
20211002,3.445578
20211001,5.4468936
20210930,2.1495456
20210929,1.75527
20210928,1.4027256
20210927,1.3119408
20210926,1.1693484
20210925,1.1775132
20210924,1.2225492
20210923,1.3036788
20210922,1.4449752
20210921,1.6218792
20210920,1.9527156
20210919,2.17728
20210918,1.6873596
20210917,1.475658
20210916,1.569618
20210915,1.437426
20210914,1.1971476
20210913,1.2841416
20210912,1.2923388
20210911,1.5433416
20210910,1.2335328
20210909,1.1999988
20210908,1.1290752
20210907,1.1277468
20210906,1.1522412
20210905,1.1706768
20210904,1.2288348
20210903,1.113264
20210902,1.1104128
20210901,1.108566
20210831,1.0889964
20210830,1.1735604
20210829,1.174662
20210828,1.295838
20210827,1.1818224
20210826,1.1610864
20210825,1.1130696
20210824,1.092528
20210823,1.049598
20210822,1.05462
20210821,1.2327552
20210820,1.003428
20210819,0.97848
20210818,0.9879732
20210817,1.0049508
20210816,1.004076
20210815,0.9560268
20210814,1.0485612
