date,index
20221010,1.6706412
20221009,1.6486416
20221008,1.8838332
20221007,2.2112028
20221006,2.008476
20221005,1.972188
20221004,1.9153584
20221003,1.7572788
20221002,2.2124664
20221001,3.9906108
20220930,2.63979
20220929,2.1480228
20220928,2.2660236
20220927,2.3327352
20220926,2.1033108
20220925,1.923264
20220924,2.2363452
20220923,2.0457684
20220922,1.8121644
20220921,1.8095076
20220920,1.7797644
20220919,1.787346
20220918,1.7461332
20220917,1.9636668
20220916,1.8712944
20220915,1.8643608
20220914,2.174688
20220913,2.831112
20220912,2.7096768
20220911,2.3733324
20220910,4.1856912
20220909,3.2477436
20220908,2.2230288
20220907,2.0341368
20220906,1.9815192
20220905,1.9426068
20220904,1.831896
20220903,2.1702816
20220902,1.8972792
20220901,1.75689
20220831,1.6393752
20220830,1.6284564
20220829,1.6285212
20220828,1.655316
20220827,1.9423476
20220826,1.8937476
20220825,1.8482904
20220824,1.934766
20220823,2.39274
20220822,2.6839188
20220821,2.982096
20220820,3.9590208
20220819,3.1108212
20220818,2.7728892
20220817,3.0437532
20220816,3.1845636
20220815,3.369114
20220814,3.3040224
20220813,4.3884504
20220812,3.515076
20220811,3.3544044
20220810,2.98161
20220809,2.858976
20220808,2.9682936
20220807,3.2266512
20220806,4.44852
20220805,3.7104804
20220804,3.2578524
20220803,3.2549688
20220802,3.3375888
20220801,3.6096192
20220731,3.8150676
20220730,4.7946816
20220729,3.57534
20220728,2.903688
20220727,2.9212812
20220726,2.995866
20220725,3.2654016
20220724,3.5629308
20220723,4.4505936
20220722,3.424032
20220721,2.9708856
20220720,2.9873448
20220719,3.0582684
20220718,3.2481324
20220717,3.5070732
20220716,4.6314504
20220715,3.4940484
20220714,2.9544588
20220713,2.7926208
20220712,2.6615304
20220711,3.0651696
20220710,3.0565836
20220709,4.1529672
20220708,3.2821848
20220707,2.7324864
20220706,2.736342
20220705,2.2928832
20220704,2.6352864
20220703,2.7326484
20220702,3.6326556
20220701,2.8590408
20220630,2.343006
20220629,2.1015612
20220628,2.1023388
20220627,2.0660184
20220626,2.0898
20220625,2.501118
20220624,2.178252
20220623,1.9347336
20220622,1.9326276
20220621,1.972026
20220620,2.0877588
20220619,1.983042
20220618,2.2844592
20220617,2.0593116
20220616,1.9405008
20220615,1.9047312
20220614,1.8927756
20220613,1.8810468
20220612,1.7692992
20220611,1.9882584
20220610,1.8508824
20220609,1.6115436
20220608,1.5326172
20220607,1.6117704
20220606,1.7660268
20220605,1.6758252
20220604,1.6268364
20220603,2.1070692
20220602,1.835784
20220601,1.7076096
20220531,1.6957188
20220530,1.7274384
20220529,1.5815736
20220528,1.672488
20220527,1.5435684
20220526,1.5009948
20220525,1.4722884
20220524,1.5075072
20220523,1.4468868
20220522,1.410696
20220521,1.2337596
20220520,1.3220496
20220519,1.283202
20220518,1.286442
20220517,1.3145004
20220516,1.3643964
20220515,1.1966292
20220514,1.2443544
20220513,1.2121164
20220512,1.0811232
20220511,1.1701584
20220510,1.152792
20220509,1.0729908
20220508,1.0027476
20220507,1.0550412
20220506,1.0510236
20220505,1.2393324
20220504,1.2729312
20220503,1.1831508
20220502,1.1973096
20220501,1.3995504
20220430,1.5191712
20220429,1.0870848
20220428,0.90234
20220427,0.9438444
20220426,0.9922824
20220425,1.2479832
20220424,1.2754908
20220423,1.2696912
20220422,1.2475944
20220421,1.2325608
20220420,1.1536668
20220419,1.15344
20220418,1.1300472
20220417,1.0053072
20220416,1.1770272
20220415,0.9826272
20220414,0.8450892
20220413,0.8414928
20220412,0.8476488
20220411,0.8854596
20220410,0.8594424
20220409,0.8980308
20220408,0.870264
20220407,0.8558136
20220406,0.9336708
20220405,0.762696
20220404,0.8604468
20220403,1.4630868
20220402,1.1878488
20220401,1.1803644
20220331,1.0861452
20220330,1.2559536
20220329,1.1281356
20220328,1.3114548
20220327,1.1563236
20220326,1.359828
20220325,1.0727316
20220324,1.03923
20220323,1.0142496
20220322,1.0027152
20220321,1.1150136
20220320,0.8611272
20220319,0.9366516
20220318,0.9493524
20220317,0.9921528
20220316,1.0566936
20220315,1.0963188
20220314,1.2028824
20220313,1.0702044
20220312,1.3098024
20220311,1.3433688
20220310,1.2878028
20220309,1.4378148
20220308,1.664874
20220307,1.9392696
20220306,1.8959184
20220305,2.553444
20220304,2.4728004
20220303,2.3112216
20220302,2.0275272
20220301,2.532546
20220228,2.2668984
20220227,2.9831004
20220226,3.477654
20220225,2.6230716
20220224,2.2816404
20220223,2.3650056
20220222,2.4389748
20220221,2.4571188
20220220,2.2929804
20220219,2.6926992
20220218,2.2594788
20220217,2.2494672
20220216,2.0465784
20220215,1.494936
20220214,1.4283864
20220213,1.4126076
20220212,2.0805984
20220211,1.9784736
20220210,1.845342
20220209,1.7763624
20220208,1.7391024
20220207,2.0690316
20220206,2.33442
20220205,1.4825268
20220204,1.4580324
20220203,1.3881456
20220202,1.4787036
20220201,0.7744896
20220131,1.7796672
20220130,2.1039588
20220129,2.111346
20220128,2.0124612
20220127,1.8783252
20220126,1.861866
20220125,1.8275544
20220124,1.7107524
20220123,1.6751772
20220122,1.8273276
20220121,1.7835228
20220120,1.7952192
20220119,1.7520624
20220118,1.6842492
20220117,1.7102988
20220116,1.678968
20220115,2.0523132
20220114,1.8382464
20220113,1.6960752
20220112,1.80873
20220111,1.9900404
20220110,1.8731736
20220109,1.811322
20220108,2.6000676
20220107,1.9700172
20220106,1.914516
20220105,1.9565388
20220104,2.241918
20220103,2.322756
20220102,2.3641956
