date,index
20221010,0.222426
20221009,0.2725488
20221008,0.3551688
20221007,0.4845096
20221006,0.5466204
20221005,0.6081156
20221004,0.6485184
20221003,0.7734204
20221002,1.01493
20221001,2.0543544
20220930,1.1773836
20220929,0.8996508
20220928,0.8724672
20220927,0.8619696
20220926,0.8736984
20220925,0.8330364
20220924,0.980424
20220923,0.8449596
20220922,0.87561
20220921,0.8428212
20220920,0.8432748
20220919,0.85455
20220918,0.7861536
20220917,0.912546
20220916,0.849366
20220915,0.8239968
20220914,0.8759016
20220913,0.9720324
20220912,0.962442
20220911,0.895212
20220910,1.5111036
20220909,1.258902
20220908,0.9089172
20220907,0.9203544
20220906,0.9398268
20220905,0.8743464
20220904,0.8612568
20220903,1.0583136
20220902,0.9924444
20220901,0.9342216
20220831,0.8087364
20220830,0.8448624
20220829,0.7764012
20220828,0.7851168
20220827,0.9608868
20220826,0.875934
20220825,0.8266212
20220824,0.7355448
20220823,0.7933788
20220822,0.7591644
20220821,0.75087
20220820,0.9074916
20220819,0.7145496
20220818,0.6020568
20220817,0.658692
20220816,0.8264916
20220815,1.0035576
20220814,1.0738656
20220813,1.974618
20220812,1.4483448
20220811,1.5091272
20220810,1.4474052
20220809,1.463022
20220808,1.5186528
20220807,1.6510392
20220806,2.5186464
20220805,2.1279996
20220804,1.7643096
20220803,1.7524188
20220802,1.7464896
20220801,1.7398476
20220731,1.763532
20220730,2.522664
20220729,1.8665964
20220728,1.5055956
20220727,1.4180184
20220726,1.4342508
20220725,1.500444
20220724,1.5745752
20220723,2.2669956
20220722,1.7448696
20220721,1.457514
20220720,1.3908672
20220719,1.4295528
20220718,1.4311728
20220717,1.4937696
20220716,2.1877776
20220715,1.6027308
20220714,1.2763332
20220713,1.2041136
20220712,1.1216556
20220711,1.1977308
20220710,1.1825352
20220709,1.7396208
20220708,1.2810312
20220707,1.0542636
20220706,1.0522548
20220705,0.8286624
20220704,0.9388872
20220703,0.9549576
20220702,1.347516
20220701,1.036314
20220630,0.7656444
20220629,0.6882408
20220628,0.6868476
20220627,0.6607656
20220626,0.6427512
20220625,0.7045056
20220624,0.59049
20220623,0.5749056
20220622,0.5372892
20220621,0.5506704
20220620,0.5460048
20220619,0.4788396
20220618,0.5172336
20220617,0.5045328
20220616,0.5033016
20220615,0.491994
20220614,0.4961736
20220613,0.4634496
20220612,0.4419036
20220611,0.47709
20220610,0.502362
20220609,0.413424
20220608,0.401436
20220607,0.4249908
20220606,0.4211028
20220605,0.4084668
20220604,0.3859812
20220603,0.4935168
20220602,0.5032692
20220601,0.4794552
20220531,0.5118228
20220530,0.4928688
20220529,0.4474116
20220528,0.4281012
20220527,0.4250232
20220526,0.4091148
20220525,0.4161132
20220524,0.427842
20220523,0.3975804
20220522,0.3857544
20220521,0.314766
20220520,0.350244
20220519,0.356076
20220518,0.3535812
20220517,0.3796632
20220516,0.3798252
20220515,0.35721
20220514,0.3753864
20220513,0.3493368
20220512,0.3474576
20220511,0.3591216
20220510,0.3626856
20220509,0.3516372
20220508,0.3012228
20220507,0.2971728
20220506,0.3113964
20220505,0.2911788
20220504,0.270378
20220503,0.2525256
20220502,0.2792556
20220501,0.355266
20220430,0.4082724
20220429,0.3083832
20220428,0.26892
20220427,0.2939652
20220426,0.313632
20220425,0.3294108
20220424,0.3105216
20220423,0.305694
20220422,0.3049164
20220421,0.2898504
20220420,0.2987928
20220419,0.3058236
20220418,0.2897856
20220417,0.2720304
20220416,0.2959092
20220415,0.2767284
20220414,0.2583252
20220413,0.2578068
20220412,0.2511324
20220411,0.277182
20220410,0.2818152
20220409,0.275886
20220408,0.2801952
20220407,0.2581308
20220406,0.2363904
20220405,0.1886976
20220404,0.2107944
20220403,0.2703132
20220402,0.1997784
20220401,0.191646
20220331,0.1716552
20220330,0.22194
20220329,0.2066472
20220328,0.2365524
20220327,0.2401164
20220326,0.2810052
20220325,0.2570616
20220324,0.2918592
20220323,0.3018708
20220322,0.2698596
20220321,0.30294
20220320,0.2262816
20220319,0.2380104
20220318,0.2456244
20220317,0.298242
20220316,0.3563676
20220315,0.364014
20220314,0.3738636
20220313,0.3472956
20220312,0.4799736
20220311,0.4477032
20220310,0.3994596
20220309,0.4183488
20220308,0.4429404
20220307,0.46818
20220306,0.4263192
20220305,0.5544288
20220304,0.5228388
20220303,0.502038
20220302,0.4671108
20220301,0.6244776
20220228,0.5536512
20220227,0.556956
20220226,0.68688
20220225,0.5615244
20220224,0.4995432
20220223,0.5187888
20220222,0.5289948
20220221,0.5399784
20220220,0.51111
20220219,0.5985576
20220218,0.5157108
20220217,0.5224176
20220216,0.5265648
20220215,0.3603852
20220214,0.345546
20220213,0.3319704
20220212,0.521802
20220211,0.4967892
20220210,0.4608576
20220209,0.4658148
20220208,0.4318272
20220207,0.4679856
20220206,0.6404184
20220205,0.3280176
20220204,0.4096008
20220203,0.4157244
20220202,0.41877
20220201,0.2904984
20220131,0.6027696
20220130,0.8207244
20220129,0.8998128
20220128,0.8372484
20220127,0.7659684
20220126,0.7048296
20220125,0.6612192
20220124,0.6093792
20220123,0.5884488
20220122,0.6190344
20220121,0.6032232
20220120,0.6306984
20220119,0.5763636
20220118,0.583524
20220117,0.5884488
20220116,0.5745168
20220115,0.6581088
20220114,0.6074676
20220113,0.6276204
20220112,0.6481296
20220111,0.6855516
20220110,0.587412
20220109,0.517914
20220108,0.684288
20220107,0.5486292
20220106,0.5515128
20220105,0.5628852
20220104,0.6571692
20220103,0.6586272
20220102,0.6764472
20220101,1.2190824
20211231,0.9294912
20211230,0.6605712
20211229,0.6152112
20211228,0.61641
20211227,0.6377292
20211226,0.6563592
20211225,0.6894072
20211224,0.6636492
20211223,0.624996
20211222,0.638118
20211221,0.6362388
20211220,0.7216776
20211219,0.7028856
20211218,0.794124
20211217,0.6932952
20211216,0.6127488
20211215,0.6014412
20211214,0.6004692
20211213,0.6499116
20211212,0.5697864
20211211,0.7328232
20211210,0.6066576
20211209,0.5286708
20211208,0.5442552
20211207,0.5670648
20211206,0.623052
20211205,0.5782428
20211204,0.7567668
20211203,0.6281712
20211202,0.5648616
20211201,0.5843664
20211130,0.5837832
20211129,0.685746
20211128,0.6210432
20211127,0.7364196
20211126,0.6605064
20211125,0.5556276
20211124,0.5372892
20211123,0.5202792
20211122,0.5227092
20211121,0.504792
20211120,0.6132348
20211119,0.5390064
20211118,0.4646484
20211117,0.476604
20211116,0.519372
20211115,0.5482404
20211114,0.492804
20211113,0.5803164
20211112,0.5410152
20211111,0.4714524
20211110,0.4515588
20211109,0.435942
20211108,0.3382884
20211107,0.2268972
20211106,0.4862916
20211105,0.4747572
20211104,0.4508136
20211103,0.4423248
20211102,0.4546368
20211101,0.5063148
20211031,0.4561272
20211030,0.5184972
20211029,0.5036256
20211028,0.4810104
20211027,0.4944888
20211026,0.5215752
20211025,0.6151464
20211024,0.628722
20211023,0.8681904
20211022,0.8136936
20211021,0.7318836
20211020,0.8066304
20211019,0.7845984
20211018,0.8776512
20211017,0.8247744
20211016,1.0953144
20211015,0.8546472
20211014,0.7629228
20211013,0.810972
20211012,0.8353692
20211011,0.8382528
20211010,0.8464824
20211009,0.817938
20211008,0.95337
20211007,1.1108016
20211006,1.2131532
20211005,1.3361436
20211004,1.6328628
20211003,1.9035
20211002,2.4305508
20211001,3.7989648
20210930,1.2835908
20210929,1.0526112
20210928,0.9432288
20210927,0.889218
20210926,0.873828
20210925,0.919836
20210924,0.9553788
20210923,1.0616832
20210922,1.1213316
20210921,0.9302364
20210920,1.3824756
20210919,2.180358
20210918,1.2477888
20210917,0.9606924
20210916,0.8886024
20210915,0.9541476
20210914,0.8882136
20210913,0.9746568
20210912,0.9845712
20210911,1.3286916
20210910,0.9364572
20210909,0.7729668
20210908,0.7977852
20210907,0.7878384
20210906,0.8189424
20210905,0.8863992
20210904,1.1794572
20210903,0.92583
20210902,0.8400996
20210901,0.7898796
20210831,0.74358
20210830,0.757674
20210829,0.7493148
20210828,0.9691164
20210827,0.7518744
20210826,0.6636168
20210825,0.6637464
20210824,0.6638112
20210823,0.6609924
20210822,0.598428
20210821,0.8635896
20210820,0.6396408
20210819,0.5624964
20210818,0.5917212
20210817,0.598266
20210816,0.5905548
20210815,0.5446764
20210814,0.6832836
20210813,0.5834268
20210812,0.5601312
20210811,0.5501844
20210810,0.5497632
20210809,0.571536
20210808,0.5757156
