date,index
20221010,1.376838
20221009,1.3520844
20221008,1.4501268
20221007,1.5294096
20221006,1.5492384
20221005,1.6247952
20221004,1.7182368
20221003,1.4674932
20221002,1.8249624
20221001,2.9442852
20220930,1.9437084
20220929,1.624212
20220928,1.596186
20220927,1.5783984
20220926,1.6674336
20220925,1.574316
20220924,1.6839576
20220923,1.5638184
20220922,1.5202404
20220921,1.5424992
20220920,1.5177132
20220919,1.5439896
20220918,1.5204996
20220917,1.5762276
20220916,1.6134876
20220915,1.5576948
20220914,1.6001064
20220913,1.7019396
20220912,1.810998
20220911,1.8017964
20220910,2.09547
20220909,1.876446
20220908,1.5450264
20220907,1.56735
20220906,1.579824
20220905,1.4333436
20220904,1.3709412
20220903,1.4628924
20220902,1.38348
20220901,1.3743432
20220831,1.355616
20220830,1.3699368
20220829,1.4826888
20220828,1.627128
20220827,1.802574
20220826,1.7380656
20220825,1.5689052
20220824,1.5183612
20220823,1.5696828
20220822,1.4835636
20220821,1.5295716
20220820,1.6600464
20220819,1.7510904
20220818,1.9118268
20220817,2.0134656
20220816,2.0416212
20220815,2.0823156
20220814,2.0710728
20220813,2.2856904
20220812,1.93671
20220811,2.2737348
20220810,2.1069396
20220809,1.953396
20220808,2.0286612
20220807,2.1244356
20220806,2.3457924
20220805,2.0726928
20220804,1.9148724
20220803,1.9092348
20220802,1.9217412
20220801,2.1157524
20220731,2.0895084
20220730,2.2387104
20220729,1.9377144
20220728,1.6868412
20220727,1.7874756
20220726,1.8053604
20220725,2.0070504
20220724,1.9970712
20220723,2.0717532
20220722,1.93509
20220721,1.7993016
20220720,1.8201672
20220719,1.9042128
20220718,2.0303136
20220717,2.0355948
20220716,2.265732
20220715,2.028564
20220714,1.8629352
20220713,1.7513496
20220712,1.6492572
20220711,1.9664856
20220710,1.8446616
20220709,2.1053196
20220708,1.93833
20220707,1.7813844
20220706,1.7069292
20220705,1.508706
20220704,1.7128908
20220703,1.6908588
20220702,1.9097208
20220701,1.69695
20220630,1.5524784
20220629,1.4780556
20220628,1.440828
20220627,1.4184072
20220626,1.4940936
20220625,1.6534692
20220624,1.5147648
20220623,1.4603652
20220622,1.4681088
20220621,1.4252112
20220620,1.5477804
20220619,1.481976
20220618,1.5795324
20220617,1.5111684
20220616,1.4245632
20220615,1.40697
20220614,1.4069376
20220613,1.378782
20220612,1.3697424
20220611,1.3351068
20220610,1.3035816
20220609,1.2066408
20220608,1.1734308
20220607,1.1787768
20220606,1.24254
20220605,1.175796
20220604,1.184868
20220603,1.43937
20220602,1.3109364
20220601,1.2634056
20220531,1.2949956
20220530,1.3041324
20220529,1.244484
20220528,1.2763332
20220527,1.20447
20220526,1.1840904
20220525,1.1752128
20220524,1.183734
20220523,1.1583648
20220522,1.1614104
20220521,1.0081908
20220520,1.139832
20220519,1.1629008
20220518,1.1421
20220517,1.2024288
20220516,1.3153428
20220515,1.1477376
20220514,1.2050856
20220513,1.1757636
20220512,1.061424
20220511,1.166724
20220510,1.13157
20220509,1.0671588
20220508,0.9494172
20220507,1.0197576
20220506,1.0401372
20220505,1.044414
20220504,1.0129212
20220503,0.9809748
20220502,1.0136664
20220501,1.1637108
20220430,1.3007628
20220429,1.0055664
20220428,0.871236
20220427,0.9141336
20220426,0.8882136
20220425,0.9215856
20220424,0.966816
20220423,0.8813448
20220422,0.794934
20220421,0.7952256
20220420,0.77841
20220419,0.7758504
20220418,0.7499304
20220417,0.7228116
20220416,0.7557948
20220415,0.637308
20220414,0.5715036
20220413,0.5466528
20220412,0.5637924
20220411,0.6132996
20220410,0.6814692
20220409,0.6003072
20220408,0.5388444
20220407,0.5419872
20220406,0.52974
20220405,0.3931416
20220404,0.4251528
20220403,0.5370624
20220402,0.5045328
20220401,0.5646672
20220331,0.5504112
20220330,0.603936
20220329,0.5079024
20220328,0.521802
20220327,0.4786776
20220326,0.496206
20220325,0.4144608
20220324,0.4315032
20220323,0.4121928
20220322,0.3802464
20220321,0.3269808
20220320,0.1967328
20220319,0.2027916
20220318,0.1877256
20220317,0.1907388
20220316,0.1979964
20220315,0.2165616
20220314,0.2791584
20220313,0.4839912
20220312,0.5853384
20220311,0.7427052
20220310,0.8106156
20220309,1.0734444
20220308,1.4114088
20220307,1.5118488
20220306,1.5245172
20220305,1.651914
20220304,1.5625872
