date,index
20221010,1.8242496
20221009,1.7659944
20221008,1.9727712
20221007,1.859598
20221006,1.7616852
20221005,1.7940528
20221004,1.8492948
20221003,1.702944
20221002,2.4235524
20221001,4.6889604
20220930,2.7592488
20220929,2.3128092
20220928,2.2523508
20220927,2.3297544
20220926,2.4307452
20220925,2.1936744
20220924,2.34819
20220923,2.2082868
20220922,2.1196404
20220921,2.1592008
20220920,2.129328
20220919,2.2395528
20220918,2.1085272
20220917,2.3143644
20220916,2.4766236
20220915,2.2907448
20220914,2.4607152
20220913,2.6728056
20220912,2.2235148
20220911,2.0964096
20220910,3.066822
20220909,2.6570592
20220908,2.1197376
20220907,1.9177236
20220906,1.8933264
20220905,1.948212
20220904,1.7704332
20220903,1.8676008
20220902,2.0915172
20220901,2.4224832
20220831,2.4848532
20220830,2.7565272
20220829,3.6447084
20220828,3.6575388
20220827,3.6617508
20220826,3.824658
20220825,3.69117
20220824,3.6268236
20220823,3.8731608
20220822,4.537134
20220821,4.0885236
20220820,4.5725148
20220819,4.2207804
20220818,3.8659356
20220817,4.089852
20220816,4.1930136
20220815,4.9497804
20220814,4.3724448
20220813,4.6388052
20220812,4.1520924
20220811,4.3277004
20220810,3.9142116
20220809,3.7942344
20220808,4.3738056
20220807,3.8403396
20220806,4.3152264
20220805,3.9639132
20220804,3.5557704
20220803,3.6120168
20220802,3.6874764
20220801,4.3497
20220731,3.918294
20220730,4.3932132
20220729,3.8081988
20220728,3.2519556
20220727,3.1792824
20220726,3.250368
20220725,3.873906
20220724,3.0753756
20220723,3.5705448
20220722,3.5211024
20220721,3.3799356
20220720,3.5227872
20220719,3.8237184
20220718,4.5433548
20220717,4.1917176
20220716,4.7203236
20220715,4.227552
20220714,3.8986272
20220713,3.6930492
20220712,3.5888184
20220711,4.5821376
20220710,4.0343184
20220709,3.9910644
20220708,3.846204
20220707,3.4971912
20220706,3.486402
20220705,2.9334636
20220704,3.9682872
20220703,3.3144552
20220702,3.5625744
20220701,3.4067628
20220630,2.9957364
20220629,2.8585872
20220628,2.936574
20220627,2.9465208
20220626,2.8851876
20220625,3.2053968
20220624,2.959578
20220623,2.9327184
20220622,2.931714
20220621,2.8170828
20220620,2.9604204
20220619,2.6129304
20220618,2.9144124
20220617,2.7986796
20220616,2.591514
20220615,2.5373412
20220614,2.5400304
20220613,2.854116
20220612,2.6101116
20220611,2.2739292
20220610,2.2520592
20220609,2.0553264
20220608,1.89783
20220607,1.8910584
20220606,2.025648
20220605,1.5276276
20220604,1.5941124
20220603,1.9315584
20220602,1.9337292
20220601,1.8654624
20220531,1.7955108
20220530,1.6628976
20220529,1.5302844
20220528,1.4159772
20220527,1.4015916
20220526,1.3523112
20220525,1.2771756
20220524,1.3415544
20220523,1.2993372
20220522,1.323216
20220521,1.22796
20220520,1.5904188
20220519,1.704888
20220518,1.8153072
20220517,1.9906236
20220516,2.226366
20220515,1.7863416
20220514,2.1301704
20220513,2.1369096
20220512,2.0536416
20220511,2.0597652
20220510,2.0684484
20220509,2.1150072
20220508,1.8494244
20220507,1.8875916
20220506,1.9317852
20220505,2.1621492
20220504,2.1156228
20220503,1.8504936
20220502,1.9408896
20220501,2.6390772
20220430,3.461778
20220429,2.3480604
20220428,2.0310264
20220427,2.0526372
20220426,2.0003112
20220425,2.1847968
20220424,2.15217
20220423,1.9188252
20220422,1.9339884
20220421,1.8455688
20220420,1.777788
20220419,1.8407736
20220418,2.289222
20220417,1.8497808
20220416,1.832058
20220415,1.6291692
20220414,1.4158152
20220413,1.3679928
20220412,1.3659192
20220411,1.5852024
20220410,1.3770972
