date,index
20221010,0.2539512
20221009,0.2593944
20221008,0.3486888
20221007,0.5583168
20221006,0.6835752
20221005,0.701946
20221004,0.759132
20221003,0.6060096
20221002,0.6126192
20221001,0.8458668
20220930,0.636336
20220929,0.6071112
20220928,0.5876712
20220927,0.5886756
20220926,0.6479676
20220925,0.5926608
20220924,0.581904
20220923,0.571212
20220922,0.5314896
20220921,0.508842
20220920,0.503334
20220919,0.5581872
20220918,0.5865696
20220917,0.5355396
20220916,0.5454216
20220915,0.559872
20220914,0.5921748
20220913,0.7066116
20220912,0.756378
20220911,0.5824224
20220910,0.5326884
20220909,0.5587704
20220908,0.5124708
20220907,0.4806864
20220906,0.4792284
20220905,0.4733316
20220904,0.4544748
20220903,0.4526604
20220902,0.4786452
20220901,0.5395896
20220831,0.544482
20220830,0.529092
20220829,0.5856624
20220828,0.597132
20220827,0.544806
20220826,0.5684904
20220825,0.6544476
20220824,0.6408072
20220823,0.7698564
20220822,0.89667
20220821,1.1165364
20220820,1.0332684
20220819,1.007154
20220818,1.1325096
20220817,1.229256
20220816,1.228446
20220815,1.3678956
20220814,1.4669424
20220813,1.2901356
20220812,1.3631652
20220811,1.4180508
20220810,1.3126212
20220809,1.2798
20220808,1.5311592
20220807,1.6018236
20220806,1.4841468
20220805,1.6340616
20220804,1.6379172
20220803,1.5338808
20220802,1.4741676
20220801,1.781514
20220731,1.7519328
20220730,1.3168008
20220729,1.2623364
20220728,1.2614292
20220727,1.2378096
20220726,1.2042432
20220725,1.4890716
20220724,1.4770836
20220723,1.240758
20220722,1.2565692
20220721,1.2088116
20220720,1.1896632
20220719,1.2486636
20220718,1.4715432
20220717,1.4763708
20220716,1.1456964
20220715,1.2259512
20220714,1.0593828
20220713,0.9806184
20220712,1.0454832
20220711,1.2625956
20220710,1.2218688
20220709,0.9449136
20220708,0.9158508
20220707,0.7632792
20220706,0.7925688
20220705,0.6905412
20220704,0.83106
20220703,0.8111988
20220702,0.6979284
20220701,0.673272
20220630,0.601344
20220629,0.5973588
20220628,0.5684904
20220627,0.5302908
20220626,0.6089256
20220625,0.5427972
20220624,0.5118228
20220623,0.4654908
20220622,0.4875552
20220621,0.480654
20220620,0.4945212
20220619,0.4604364
20220618,0.4363956
20220617,0.4302396
20220616,0.409212
20220615,0.414558
20220614,0.4260924
20220613,0.3969324
20220612,0.3751272
20220611,0.381348
20220610,0.363204
20220609,0.356724
20220608,0.3429216
20220607,0.3545856
20220606,0.3888648
20220605,0.4052592
20220604,0.34587
20220603,0.3693276
20220602,0.3850416
20220601,0.3455784
20220531,0.3159
20220530,0.2893968
20220529,0.2987604
20220528,0.2904336
20220527,0.2761452
20220526,0.2786076
20220525,0.2587464
20220524,0.2602692
20220523,0.2568996
20220522,0.2632824
20220521,0.2074248
20220520,0.2520396
20220519,0.2469528
20220518,0.232956
20220517,0.2380752
20220516,0.2410236
20220515,0.235386
20220514,0.2548908
20220513,0.256122
20220512,0.2769228
20220511,0.2848284
20220510,0.3106188
20220509,0.2921184
20220508,0.2543724
20220507,0.2395332
20220506,0.226962
20220505,0.2667492
20220504,0.274104
20220503,0.2288412
20220502,0.2161404
20220501,0.2124468
20220430,0.242514
20220429,0.1938816
20220428,0.1873692
20220427,0.2155572
20220426,0.202338
20220425,0.2097252
20220424,0.2053188
20220423,0.2104704
20220422,0.207846
20220421,0.1982232
20220420,0.2117988
20220419,0.2374272
20220418,0.3074112
20220417,0.3281796
20220416,0.298728
20220415,0.2696004
20220414,0.240732
20220413,0.2348676
20220412,0.2293596
20220411,0.2164968
20220410,0.1904796
20220409,0.1668924
20220408,0.1724652
20220407,0.1675404
20220406,0.163782
20220405,0.142722
20220404,0.1320624
20220403,0.1597968
20220402,0.113724
20220401,0.0857304
20220331,0.0607824
20220330,0.086994
20220329,0.0791208
20220328,0.0848556
20220327,0.0887436
20220326,0.0911088
20220325,0.0833004
20220324,0.112752
20220323,0.149688
20220322,0.1816668
20220321,0.2264436
20220320,0.1948536
20220319,0.2121876
20220318,0.3088368
20220317,0.3240648
20220316,0.3633336
20220315,0.3980016
20220314,0.4766364
20220313,0.4315356
20220312,0.4026348
20220311,0.452466
20220310,0.4178628
20220309,0.4264488
20220308,0.4555116
20220307,0.5252364
20220306,0.5064444
20220305,0.50382
20220304,0.5080968
20220303,0.5099436
20220302,0.4443012
20220301,0.572022
20220228,0.547398
20220227,0.7266024
20220226,0.6398028
20220225,0.5364792
20220224,0.49005
20220223,0.5092956
20220222,0.5078376
20220221,0.5287356
20220220,0.4902444
20220219,0.4568076
20220218,0.436914
20220217,0.467694
20220216,0.4389228
20220215,0.2851848
20220214,0.2678508
20220213,0.3618756
20220212,0.4509108
20220211,0.4738824
20220210,0.5561784
20220209,0.58077
20220208,0.6207516
20220207,0.8011224
20220206,0.9079452
20220205,0.62289
20220204,0.5345352
20220203,0.4893372
20220202,0.5579604
20220201,0.2900772
20220131,0.4389876
20220130,0.5826492
20220129,0.5800248
20220128,0.5218668
20220127,0.5076756
20220126,0.4931604
20220125,0.4679208
20220124,0.5052132
20220123,0.3824496
20220122,0.3504384
20220121,0.4192236
20220120,0.4394088
20220119,0.415854
20220118,0.4288464
20220117,0.4617648
20220116,0.4347756
20220115,0.4366224
20220114,0.435942
20220113,0.4276152
20220112,0.4677264
20220111,0.547074
20220110,0.5196312
20220109,0.451656
20220108,0.5583816
20220107,0.4686336
20220106,0.4941648
20220105,0.5353776
20220104,0.6610248
20220103,0.6617376
20220102,0.5654772
20220101,0.7933788
20211231,0.834786
20211230,0.660636
20211229,0.5688468
20211228,0.5819688
20211227,0.6237
20211226,0.6186456
20211225,0.595998
20211224,0.7070976
20211223,0.6413904
20211222,0.58482
20211221,0.5910084
20211220,0.6777432
20211219,0.6193584
20211218,0.608148
20211217,0.5716008
20211216,0.5569884
20211215,0.5748408
20211214,0.5528088
20211213,0.608958
20211212,0.5368032
20211211,0.5414364
20211210,0.531036
20211209,0.4862592
20211208,0.4944888
20211207,0.5279256
20211206,0.5885136
20211205,0.5236164
20211204,0.5557248
20211203,0.549018
20211202,0.5211864
20211201,0.5318784
20211130,0.4827276
20211129,0.5516424
20211128,0.5522256
20211127,0.5917536
20211126,0.5760072
20211125,0.5326236
20211124,0.4971456
20211123,0.491508
20211122,0.5413716
20211121,0.49491
20211120,0.5379048
20211119,0.5172336
20211118,0.4213944
20211117,0.467694
20211116,0.4879116
20211115,0.5370624
20211114,0.4835052
20211113,0.4994784
20211112,0.4947804
20211111,0.4729104
20211110,0.5468796
20211109,0.4721004
20211108,0.263412
20211107,0.2866752
20211106,0.4496472
20211105,0.4610844
20211104,0.4593024
20211103,0.4660092
20211102,0.4462128
20211101,0.5149008
20211031,0.4841856
20211030,0.4811724
20211029,0.496368
20211028,0.4814316
20211027,0.4780944
20211026,0.5376456
20211025,0.6521148
20211024,0.6543828
20211023,0.662904
20211022,0.6691896
20211021,0.6316056
20211020,0.6456672
20211019,0.6527304
20211018,0.7699212
20211017,0.7463664
20211016,0.7567668
20211015,0.7234272
20211014,0.6927444
20211013,0.6730776
20211012,0.6635844
20211011,0.7316568
20211010,0.7281252
20211009,0.7164936
20211008,1.0391004
20211007,1.4013324
20211006,1.4098212
20211005,1.3962456
20211004,1.3300524
20211003,1.1948148
20211002,1.08864
20211001,1.3679604
20210930,0.7415064
20210929,0.712962
20210928,0.69255
20210927,0.684612
20210926,0.6880788
20210925,0.66339
20210924,0.6663708
20210923,0.756864
20210922,1.0472976
20210921,0.8915184
20210920,0.6652044
20210919,0.856818
20210918,0.8033256
20210917,0.6908976
20210916,0.6844176
20210915,0.7260192
20210914,0.6152112
20210913,0.7195716
20210912,0.7121844
20210911,0.7049592
20210910,0.6571044
20210909,0.5900688
20210908,0.5599368
20210907,0.5494392
20210906,0.6314436
20210905,0.6403536
20210904,0.6380532
20210903,0.5736744
20210902,0.5573124
20210901,0.5650884
20210831,0.5238756
20210830,0.5228064
20210829,0.4534056
20210828,0.4378536
20210827,0.4259952
20210826,0.4149468
20210825,0.3931092
20210824,0.383778
20210823,0.4331232
20210822,0.388314
20210821,0.4068468
20210820,0.3537108
20210819,0.3692628
20210818,0.3683232
20210817,0.3683556
20210816,0.4358772
20210815,0.372114
20210814,0.3650508
20210813,0.3559464
20210812,0.3572424
20210811,0.3578256
20210810,0.3771684
20210809,0.4528872
20210808,0.4486428
20210807,0.507384
20210806,0.5859216
20210805,0.6697404
20210804,0.7885188
20210803,0.8784612
20210802,1.1378232
20210801,1.1407716
20210731,1.035342
20210730,1.1631924
20210729,1.3382496
20210728,1.304586
20210727,1.2306168
20210726,1.7996904
20210725,1.4195736
20210724,1.4258916
20210723,1.4977872
20210722,1.38591
20210721,1.3725612
20210720,1.3199436
20210719,1.6628328
20210718,1.4231052
20210717,1.2241692
20210716,1.272024
20210715,1.1822436
20210714,1.0311624
20210713,1.0053396
20210712,1.6714512
20210711,1.5159312
20210710,1.1683764
20210709,1.1977956
20210708,1.0185588
20210707,0.9936432
20210706,0.951912
20210705,1.1851272
20210704,1.1990592
20210703,1.11699
20210702,1.2071268
20210701,1.0762956
20210630,0.9484128
20210629,0.8802756
20210628,1.147446
20210627,1.019628
20210626,0.8960544
20210625,0.8731152
20210624,0.8771328
20210623,0.8747676
20210622,0.866052
20210621,1.1316996
20210620,0.9533052
20210619,0.9032148
20210618,0.8694216
20210617,0.8162856
20210616,1.0327824
20210615,1.6241148
20210614,1.5711084
20210613,0.9564804
20210612,1.0165824
20210611,0.7626636
20210610,0.7435476
20210609,0.74439
20210608,0.730134
20210607,0.9469224
20210606,0.842238
20210605,0.7828812
20210604,0.7125408
20210603,0.6493932
20210602,0.7182108
20210601,0.6288192
20210531,0.8451864
20210530,0.7179192
20210529,0.7254684
20210528,0.68688
20210527,0.603288
20210526,0.6203952
20210525,0.6334524
20210524,0.8188452
20210523,0.7120224
20210522,0.7598448
20210521,0.6801732
20210520,0.6357528
20210519,0.6215292
20210518,0.6350724
20210517,0.7856028
20210516,0.6873012
20210515,0.73548
20210514,0.696438
20210513,0.6247044
20210512,0.6288516
20210511,0.6497496
20210510,0.7375212
20210509,0.7354152
20210508,0.7495416
20210507,0.9118008
20210506,1.6385004
20210505,2.6535924
20210504,1.8684432
20210503,1.5703956
20210502,1.2690756
20210501,1.4518116
20210430,0.8534484
20210429,0.6799788
20210428,0.631638
20210427,0.6299532
20210426,0.7088148
20210425,0.6681204
20210424,0.6834132
20210423,0.5901984
20210422,0.5906196
20210421,0.6274584
20210420,0.6526008
20210419,0.761238
20210418,0.6742116
20210417,0.718308
20210416,0.6124896
20210415,0.5875416
20210414,0.610416
20210413,0.5676804
20210412,0.642168
20210411,0.6077916
20210410,0.630504
20210409,0.5975532
20210408,0.6103188
20210407,0.6807564
20210406,1.0900332
20210405,1.0037196
20210404,0.7593912
20210403,0.9245016
20210402,0.5736096
20210401,0.5196636
20210331,0.5201172
20210330,0.52407
20210329,0.6036768
20210328,0.5184324
20210327,0.5834592
20210326,0.563598
20210325,0.5076432
20210324,0.4814964
20210323,0.494748
20210322,0.5949288
20210321,0.51273
20210320,0.5495688
20210319,0.4904064
20210318,0.4752756
20210317,0.485676
20210316,0.4870368
20210315,0.5215752
20210314,0.4595616
20210313,0.4769604
20210312,0.4591404
20210311,0.431892
20210310,0.4453704
20210309,0.443556
20210308,0.492318
20210307,0.4366872
20210306,0.4572288
20210305,0.4385016
20210304,0.436752
20210303,0.4624452
20210302,0.5023296
20210301,0.452628
20210228,0.5637276
20210227,0.5176224
20210226,0.3656664
20210225,0.40824
20210224,0.4018572
20210223,0.4058424
20210222,0.4628016
20210221,0.4579092
20210220,0.4365252
20210219,0.4412556
20210218,0.5238432
20210217,0.506412
20210216,0.3590244
20210215,0.3253932
20210214,0.2902392
20210213,0.300996
20210212,0.1787832
20210211,0.2712852
20210210,0.2849256
20210209,0.264546
20210208,0.2605284
20210207,0.2512296
20210206,0.24381
20210205,0.2403432
20210204,0.2161728
20210203,0.215622
20210202,0.2075868
20210201,0.2498688
20210131,0.1680588
20210130,0.2019816
20210129,0.2009448
20210128,0.2141964
20210127,0.2144556
20210126,0.2139372
20210125,0.2329236
20210124,0.207522
20210123,0.2074248
20210122,0.2172096
20210121,0.2219076
20210120,0.2200932
20210119,0.2180196
20210118,0.2481192
20210117,0.2254068
20210116,0.2422872
20210115,0.2478924
20210114,0.2576772
20210113,0.2605284
20210112,0.2714472
20210111,0.304236
20210110,0.2897208
20210109,0.313146
20210108,0.3707856
20210107,0.3033288
20210106,0.2943216
20210105,0.1687716
20210104,0.451332
20210103,0.5721192
20210102,0.5698836
20210101,0.7332444
20201231,0.65043
20201230,0.517104
20201229,0.492804
20201228,0.574776
20201227,0.4232736
20201226,0.4435236
20201225,0.3906144
20201224,0.4366872
20201223,0.4183164
20201222,0.4243752
20201221,0.5079996
20201220,0.4832136
20201219,0.4490316
20201218,0.4179924
20201217,0.3913272
20201216,0.380214
20201215,0.3976128
20201214,0.4350996
20201213,0.3237732
20201212,0.442908
20201211,0.4015656
20201210,0.3942756
20201209,0.388476
20201208,0.3944376
20201207,0.4974372
20201206,0.376326
20201205,0.4210704
20201204,0.3743172
20201203,0.3533544
20201202,0.359802
20201201,0.3825792
20201130,0.4404132
20201129,0.3626532
20201128,0.4444632
20201127,0.4096656
20201126,0.364824
20201125,0.3412044
20201124,0.4687632
20201123,0.4605336
20201122,0.3883464
20201121,0.445176
20201120,0.3973212
20201119,0.4237596
20201118,0.4120956
20201117,0.5034636
20201116,0.4928364
20201115,0.4329936
20201114,0.493938
20201113,0.4445604
20201112,0.466398
20201111,0.4664952
20201110,0.4927392
20201109,0.6240888
20201108,0.4342248
20201107,0.572508
20201106,0.5158728
20201105,0.4975668
20201104,0.5357016
20201103,0.4503924
20201102,0.5356044
20201101,0.5540076
20201031,0.6207516
20201030,0.61074
20201029,0.4543128
20201028,0.5115636
20201027,0.5275044
20201026,0.6566184
20201025,0.5795064
20201024,0.644274
20201023,0.5765904
20201022,0.5278608
20201021,0.5309712
20201020,0.5529384
20201019,0.6741468
20201018,0.6070464
20201017,0.6549984
20201016,0.6350724
20201015,0.5052132
20201014,0.5494716
20201013,0.5861808
20201012,0.6387984
20201011,0.6477408
20201010,0.7201224
20201009,0.9829188
20201008,1.2899736
20201007,1.4427396
20201006,1.62243
20201005,1.365498
20201004,1.0794384
20201003,1.1204568
20201002,1.0255896
20201001,1.1478672
20200930,0.7601364
20200929,0.5466528
20200928,0.564408
20200927,0.5484996
20200926,0.5365764
20200925,0.6651072
20200924,0.5599692
20200923,0.552096
20200922,0.5708556
20200627,0.5510268
20200626,0.4858056
20200625,0.5428944
20200505,0.786996
20200504,0.7843068
20200503,0.6805296
20200502,0.6344244
20200501,0.7608168
20200407,0.438858
20200406,0.4385016
20200405,0.4320864
20200404,0.5132484
20200403,0.4543776
20200402,0.4081428
20200401,0.4284576
20200315,0.2980152
20200314,0.2880684
20200313,0.28431
20200312,0.2724192
20200311,0.2754972
20200310,0.2586492
20200309,0.2534652
20200308,0.230364
20200307,0.233118
20200306,0.2287116
20200305,0.2252124
20200304,0.2204172
20200303,0.2147796
20200302,0.2367792
20200301,0.2142612
20200229,0.1975752
20200228,0.1987092
20200227,0.1978992
20200226,0.1971216
20200225,0.195372
20200225,0.195372
20200224,0.1959228
20200224,0.1959228
20200223,0.171234
20200223,0.171234
20200222,0.1493316
20200222,0.1493316
20200221,0.1470312
20200221,0.1470312
20200220,0.1450872
20200220,0.1450872
20200219,0.1416528
20200219,0.1416528
20200218,0.1438884
20200218,0.1438884
20200217,0.1593108
20200217,0.1593108
20200216,0.1300212
20200216,0.1300212
20200215,0.0818424
20200215,0.0818424
20200214,0.1260036
20200214,0.1260036
20200213,0.1408104
20200213,0.1408104
20200212,0.1284336
20200212,0.1284336
20200211,0.121662
20200211,0.121662
20200210,0.1735668
20200210,0.1735668
20200209,0.1849068
20200209,0.1849068
20200208,0.1557792
20200208,0.1557792
20200207,0.1516644
20200207,0.1516644
20200206,0.1503036
20200206,0.1503036
20200205,0.1724328
20200205,0.1724328
20200204,0.2012688
20200204,0.2012688
20200203,0.2219076
20200203,0.2219076
20200202,0.2255364
20200202,0.2255364
20200201,0.2839536
20200201,0.2839536
20200131,0.3239352
20200131,0.3239352
20200130,0.3723084
20200130,0.3723084
20200129,0.3397788
20200129,0.3397788
20200128,0.4007556
20200128,0.4007556
20200127,0.4923504
20200127,0.4923504
20200126,0.5374836
20200126,0.5374836
20200125,0.4271292
20200125,0.4271292
20200124,0.6664356
20200124,0.6664356
20200123,0.7373592
20200123,0.7373592
20200122,0.7598772
20200122,0.7598772
20200121,0.779868
20200121,0.779868
20200120,0.6754428
20200120,0.6754428
20200119,0.6615432
20200119,0.6615432
20200118,0.6371136
20200118,0.6371136
20200117,0.6144984
20200117,0.6144984
20200116,0.6603444
20200116,0.6603444
20200115,0.6513696
20200115,0.6513696
20200114,0.6889536
20200114,0.6889536
20200113,0.813726
20200113,0.813726
20200112,0.853254
20200112,0.853254
20200111,0.9263808
20200111,0.9263808
20200110,1.0127268
20200110,1.0127268
20200109,1.1566152
20200108,1.0955088
20200107,1.0095516
20200106,0.798984
20200105,0.8574984
20200104,0.847746
20200103,0.7561512
20200102,0.5218668
20200101,0.498636
20190328,0.588384
20190327,0.6031584
20190326,0.5978448
20190325,0.7046676
20190324,0.6830892
20190323,0.6952392
20190322,0.6691248
20190321,0.596808
20190320,0.5750028
20190319,0.5990436
20190318,0.7272828
20190317,0.674406
20190316,0.6670188
20190315,0.6175116
20190314,0.5620752
20190313,0.555336
20190312,0.5641812
20190311,0.6758316
20190310,0.6706152
20190309,0.6842232
20190309,0.6842232
20190308,0.6099948
20190308,0.6099948
20190307,0.5554656
20190307,0.5554656
20190306,0.5394276
20190306,0.5394276
20190305,0.5824548
20190305,0.5824548
20190304,0.6736932
20190304,0.6736932
20190303,0.6409368
20190303,0.6409368
20190302,0.6832188
20190302,0.6832188
20190301,0.6358824
20190301,0.6358824
20190228,0.7558272
20190228,0.7558272
20190227,0.6466068
20190227,0.6466068
20190226,0.557118
20190226,0.557118
20190225,0.6520176
20190225,0.6520176
20190224,0.8745732
20190224,0.8745732
20190223,0.7100784
20190223,0.7100784
20190222,0.6294996
20190222,0.6294996
20190221,0.6700968
20190221,0.6700968
20190220,0.6397704
20190220,0.6397704
20190219,0.5268888
20190219,0.5268888
20190218,0.676998
20190218,0.676998
20190217,0.6792012
20190217,0.6792012
20190216,0.6983496
20190216,0.6983496
20190215,0.5957712
20190215,0.5957712
20190214,0.7519068
20190214,0.7519068
20190213,0.8209188
20190213,0.8209188
20190212,0.890676
20190212,0.890676
20190211,1.079892
20190211,1.079892
20190210,1.223748
20190210,1.223748
20190209,1.0028124
20190209,1.0028124
20190208,0.9636732
20190208,0.9636732
20190207,0.9882
20190207,0.9882
20190206,0.9303012
20190206,0.9303012
20190205,0.5163912
20190205,0.5163912
20190204,0.6508512
20190204,0.6508512
20190203,0.6649452
20190203,0.6649452
20190202,0.6984144
20190202,0.6984144
20190201,0.679266
20190201,0.679266
20190131,0.6378264
20190131,0.6378264
20190130,0.6560352
20190130,0.6560352
20190129,0.6673104
20190129,0.6673104
20190128,0.674406
20190128,0.674406
20190127,0.6750216
20190127,0.6750216
20190126,0.677484
20190126,0.677484
20190125,0.6315408
20190125,0.6315408
20190124,0.63666
20190124,0.63666
20190123,0.6006312
20190123,0.6006312
20190122,0.6133644
20190122,0.6133644
20190121,0.6605388
20190121,0.6605388
20190120,0.6217884
20190119,0.6246072
20190118,0.5886108
20190117,0.57834
20190116,0.5980716
20190115,0.5832
20190114,0.6731748
20190113,0.6116472
20190112,0.6731748
