date,index
20221010,1.6063596
20221009,1.6740108
20221008,2.2417884
20221007,2.664738
20221006,2.3196456
20221005,2.1701844
20221004,1.9999224
20221003,1.4467572
20221002,1.4357088
20221001,1.6963668
20220930,1.51065
20220929,1.537542
20220928,1.5903864
20220927,1.606716
20220926,1.622106
20220925,1.6270308
20220924,1.678968
20220923,1.6476048
20220922,1.6605
20220921,1.6528212
20220920,1.6595928
20220919,1.6640964
20220918,1.6871976
20220917,1.6805232
20220916,1.6475724
20220915,1.8283968
20220914,1.9398528
20220913,2.404404
20220912,2.3807196
20220911,1.691118
20220910,1.3558428
20220909,1.4377176
20220908,1.4369724
20220907,1.4907564
20220906,1.5220872
20220905,1.5366024
20220904,1.5075396
20220903,1.6071696
20220902,1.542564
20220901,1.4267664
20220831,1.3931352
20220830,1.3937508
20220829,1.4632164
20220828,1.401948
20220827,1.6352604
20220826,1.681074
20220825,1.6798428
20220824,1.7688132
20220823,1.7765568
20220822,1.8716184
20220821,1.8972792
20220820,2.01528
20220819,1.98369
20220818,2.0254212
20220817,2.1350304
20220816,2.1767616
20220815,2.3036076
20220814,2.3287176
20220813,2.3563872
20220812,1.8181584
20220811,1.9771452
20220810,1.8846756
20220809,1.8682164
20220808,2.0331648
20220807,2.0728872
20220806,2.114748
20220805,2.0224404
20220804,2.0337804
20220803,2.0219868
20220802,2.0451852
20220801,2.2580856
20220731,2.1394044
20220730,2.0957292
20220729,1.984986
20220728,1.890378
20220727,1.9904616
20220726,1.9804824
20220725,2.1931236
20220724,2.182464
20220723,2.0723364
20220722,2.0609316
20220721,2.0824128
20220720,2.0387376
20220719,2.1609828
20220718,2.31498
20220717,2.1362616
20220716,2.0349468
20220715,2.2653432
20220714,2.1195432
20220713,1.976076
20220712,2.0111652
20220711,2.2987152
20220710,2.1317904
20220709,2.1704112
20220708,2.01447
20220707,1.9859256
20220706,1.9225512
20220705,1.6041888
20220704,1.8304704
20220703,1.6336728
20220702,1.8113868
20220701,1.76094
20220630,1.663416
20220629,1.6012728
20220628,1.660824
20220627,1.61676
20220626,1.590678
20220625,1.7410788
20220624,1.6830828
20220623,1.5594768
20220622,1.4937696
20220621,1.478088
20220620,1.5528996
20220619,1.4917932
20220618,1.5449616
20220617,1.528146
20220616,1.5403608
20220615,1.507896
20220614,1.4512608
20220613,1.4598792
20220612,1.4059008
20220611,1.3725288
20220610,1.2274416
20220609,1.2779856
20220608,1.2101076
20220607,1.1675664
20220606,1.2759768
20220605,1.2458448
20220604,1.1333196
20220603,1.1295936
20220602,1.2073212
20220601,1.2289644
20220531,1.2525516
20220530,1.278828
20220529,1.172556
20220528,1.1839932
20220527,1.1321856
20220526,1.1128104
20220525,1.1400264
20220524,1.0902924
20220523,1.0435068
20220522,1.1031876
20220521,0.8107452
20220520,0.9058068
20220519,0.8903844
20220518,0.7893288
20220517,0.7167528
20220516,0.7311708
20220515,0.6545772
20220514,0.6469308
20220513,0.6565536
20220512,0.6284304
20220511,0.6857784
20220510,0.5895828
20220509,0.5233572
20220508,0.6007284
20220507,0.6207192
20220506,0.5992704
20220505,0.5734152
20220504,0.5314248
20220503,0.5187888
20220502,0.5059908
20220501,0.49167
20220430,0.4658472
20220429,0.4359096
20220428,0.406296
20220427,0.4593996
20220426,0.4490316
20220425,0.3798576
20220424,0.3721788
20220423,0.3929796
20220422,0.4048056
20220421,0.3726
20220420,0.400302
20220419,0.4741092
20220418,0.5082588
20220417,0.4384044
20220416,0.4000428
20220415,0.446472
20220414,0.4501332
20220413,0.4271292
20220412,0.3777516
20220411,0.3971592
20220410,0.4231764
20220409,0.375192
20220408,0.4772196
20220407,0.5068656
20220406,0.5560812
20220405,0.4842828
20220404,0.5784048
20220403,0.787482
20220402,0.7370676
20220401,0.8558784
20220331,0.8327124
20220330,1.03113
20220329,0.9146196
20220328,1.0255572
20220327,0.926316
20220326,0.9508104
20220325,0.7398216
20220324,0.9152028
20220323,0.874152
20220322,0.8934948
20220321,0.9786096
20220320,0.7564428
20220319,0.8187156
20220318,0.9043812
20220317,0.8983872
20220316,0.9577764
20220315,1.0344024
20220314,1.237194
20220313,1.1249604
20220312,1.1251224
20220311,1.2459096
20220310,1.2068676
20220309,1.2213828
20220308,1.2641832
20220307,1.357398
20220306,1.4137416
20220305,1.5676092
20220304,1.6805556
20220303,1.8164088
20220302,1.9030788
20220301,2.3669496
20220228,1.8769644
20220227,2.4334668
20220226,2.4757488
20220225,2.0261664
20220224,2.000538
20220223,2.1001032
20220222,2.0926512
20220221,2.2748688
20220220,2.4831036
20220219,2.5530552
20220218,2.5640388
