date,index
20221010,1.3009896
20221009,1.273158
20221008,1.543536
20221007,1.8264204
20221006,1.6517844
20221005,1.6325064
20221004,1.5424344
20221003,1.0723104
20221002,1.0176192
20221001,1.239138
20220930,1.2986892
20220929,1.242216
20220928,1.2605544
20220927,1.2409524
20220926,1.2321072
20220925,1.2207672
20220924,1.3024152
20220923,1.3279464
20220922,1.2845952
20220921,1.3140792
20220920,1.3642344
20220919,1.3725612
20220918,1.307988
20220917,1.3102236
20220916,1.3133016
20220915,1.3521816
20220914,1.4789952
20220913,1.917756
20220912,2.0334564
20220911,1.6369452
20220910,1.2536856
20220909,1.3199436
20220908,1.2366756
20220907,1.2347964
20220906,1.230714
20220905,1.221642
20220904,1.1398644
20220903,1.215
20220902,1.1864556
20220901,1.0509264
20220831,1.0370268
20220830,1.0848168
20220829,1.064826
20220828,1.0948284
20220827,1.30329
20220826,1.3561344
20220825,1.4263128
20220824,1.4854104
20220823,1.5215364
20220822,1.591164
20220821,1.588248
20220820,1.6940016
20220819,1.6896924
20220818,1.7646984
20220817,1.8631296
20220816,1.9231992
20220815,2.0675088
20220814,2.0371176
20220813,2.038122
20220812,1.7459064
20220811,1.7461008
20220810,1.5737004
20220809,1.5518952
20220808,1.7367696
20220807,1.8930024
20220806,1.8898596
20220805,1.853766
20220804,1.789614
20220803,1.7839764
20220802,1.8500076
20220801,2.0556504
20220731,2.0807928
20220730,1.9755576
20220729,1.84356
20220728,1.6582644
20220727,1.7038836
20220726,1.712016
20220725,2.013822
20220724,2.0461248
20220723,1.9168488
20220722,1.8630972
20220721,1.7826156
20220720,1.7582832
20220719,1.8588852
20220718,2.1206772
20220717,1.9376496
20220716,1.9437408
20220715,2.0219868
20220714,1.8248652
20220713,1.7229996
20220712,1.6941636
20220711,2.0722716
20220710,1.965384
20220709,1.8972792
20220708,1.8054576
20220707,1.6748532
20220706,1.6593012
20220705,1.430298
20220704,1.6643232
20220703,1.556496
20220702,1.6409952
20220701,1.5775236
20220630,1.470312
20220629,1.3462524
20220628,1.3807584
20220627,1.3993884
20220626,1.3598604
20220625,1.4788332
20220624,1.4456556
20220623,1.3049748
20220622,1.3278492
20220621,1.2858588
20220620,1.4136768
20220619,1.3407768
20220618,1.3666968
20220617,1.3743108
20220616,1.3305384
20220615,1.289358
20220614,1.20447
20220613,1.2812904
20220612,1.1753424
20220611,1.2526488
20220610,1.1834424
20220609,1.1992212
20220608,1.1178
20220607,1.153116
20220606,1.3056552
20220605,1.3038084
20220604,1.1097972
20220603,1.103058
20220602,1.1413224
20220601,1.0815444
20220531,1.0511208
20220530,1.0994292
20220529,1.079568
20220528,1.070496
20220527,1.0701396
20220526,1.0366056
20220525,1.0889964
20220524,1.1282328
20220523,1.1222064
20220522,1.126548
20220521,0.8909352
20220520,1.045062
20220519,0.9718056
20220518,0.9422244
20220517,0.9845712
20220516,1.0124676
20220515,0.9104724
20220514,0.9699588
20220513,0.9352908
20220512,0.83025
20220511,0.9555084
20220510,0.843534
20220509,0.6641676
20220508,0.6229872
20220507,0.675054
20220506,0.68607
20220505,0.7743924
20220504,0.832194
20220503,0.7561836
20220502,0.6685416
20220501,0.644112
20220430,0.69174
20220429,0.6700968
20220428,0.5804136
20220427,0.6154056
20220426,0.6051348
20220425,0.5732208
20220424,0.5362848
20220423,0.556632
20220422,0.5695596
20220421,0.6349104
20220420,0.7570584
20220419,0.8018028
20220418,0.8032608
20220417,0.7381044
20220416,0.7364844
20220415,0.7304904
20220414,0.6786504
20220413,0.6343272
20220412,0.6135912
20220411,0.65286
20220410,0.6498792
20220409,0.5845932
20220408,0.6024132
20220407,0.6254496
20220406,0.7376184
20220405,0.6170904
20220404,0.5862456
20220403,0.7213536
20220402,0.676512
20220401,0.738072
20220331,0.7250796
20220330,0.8867556
20220329,0.7927956
20220328,0.8898984
20220327,0.8168364
20220326,0.8331336
20220325,0.6937488
20220324,0.7279956
20220323,0.689796
20220322,0.757512
20220321,0.8309304
20220320,0.6385392
20220319,0.6628716
20220318,0.6953364
20220317,0.6851952
20220316,0.7273476
20220315,0.7519716
20220314,0.8285004
20220313,0.7341516
20220312,0.765936
20220311,0.8319996
20220310,0.7603632
20220309,0.7634736
20220308,0.7857324
20220307,0.8519256
20220306,0.8910972
20220305,1.035342
20220304,1.2010356
20220303,1.3999068
20220302,1.4275764
20220301,1.80711
20220228,1.4513904
20220227,1.9345392
20220226,1.9407924
20220225,1.5490116
20220224,1.4791248
20220223,1.5864012
20220222,1.6311456
20220221,1.7703684
20220220,1.7880588
20220219,1.7546544
20220218,1.8030276
20220217,1.901718
20220216,1.897506
20220215,1.264086
20220214,1.4415408
20220213,1.4940936
20220212,1.7117568
20220211,1.7859852
20220210,1.940598
20220209,2.0445696
20220208,2.0573676
20220207,2.487186
20220206,2.8650672
20220205,1.7251704
20220204,1.4861232
20220203,1.2202164
20220202,1.0027476
20220201,0.4809456
20220131,0.539946
20220130,0.7033068
20220129,0.7955496
20220128,0.8398404
20220127,0.8574336
20220126,0.8973828
20220125,0.8901576
20220124,0.8071164
20220123,0.7018812
20220122,0.6397704
20220121,0.8778132
20220120,0.9333468
20220119,0.9684684
20220118,0.9213264
20220117,0.9969804
20220116,0.9331524
20220115,0.967626
20220114,1.0041732
20220113,1.0010628
20220112,1.1537964
20220111,1.266192
20220110,1.0590264
20220109,0.9595908
20220108,1.2214152
20220107,1.1008872
20220106,1.1746296
20220105,1.2678768
20220104,1.5741864
20220103,1.6496784
20220102,1.3072104
20220101,1.3021884
20211231,1.3438548
20211230,1.1873304
20211229,1.1421
20211228,1.2251736
20211227,1.298592
20211226,1.2055068
20211225,1.0194336
20211224,1.0114956
20211223,1.197342
20211222,1.2684276
20211221,1.3683492
20211220,1.5130476
20211219,1.3902192
20211218,1.3140144
20211217,1.315602
20211216,1.1995776
20211215,1.2199248
20211214,1.2600684
20211213,1.397088
20211212,1.2604248
20211211,1.1809476
20211210,1.1178972
20211209,1.1261268
20211208,1.1829888
20211207,1.202364
20211206,1.3199112
20211205,1.2786336
20211204,1.2953844
20211203,1.1925144
20211202,1.2639564
20211201,1.2986244
20211130,1.2193416
20211129,1.379106
20211128,1.3252572
20211127,1.3185504
20211126,1.3044564
20211125,1.174824
20211124,1.1475432
20211123,1.1640672
20211122,1.2455208
20211121,1.0932732
20211120,1.0900656
20211119,1.089612
20211118,1.0734444
20211117,1.0187532
20211116,1.0270476
20211115,1.0561104
20211114,0.951264
20211113,0.9546984
20211112,0.9494172
20211111,0.8896716
20211110,0.8469684
20211109,0.897156
20211108,0.81243
20211107,0.7075512
20211106,0.8846496
20211105,0.858276
20211104,0.9083664
20211103,0.8602524
20211102,0.8300556
20211101,0.8930736
20211031,0.863622
20211030,0.8753832
20211029,0.8536104
20211028,0.8056908
20211027,0.7718976
20211026,0.7843392
20211025,0.8482644
20211024,0.87561
20211023,0.98982
20211022,1.06839
20211021,1.1120652
20211020,1.2641184
20211019,1.3657572
20211018,1.5065028
20211017,1.423494
20211016,1.4954544
20211015,1.4120892
20211014,1.383804
20211013,1.3787172
20211012,1.4154912
20211011,1.5315156
20211010,1.5278868
20211009,1.6338672
20211008,2.2930128
20211007,2.6808732
20211006,2.2295736
20211005,2.0717856
20211004,1.9963908
20211003,1.8836712
20211002,1.81602
20211001,2.00637
20210930,1.20609
20210929,1.3330332
20210928,1.3090896
20210927,1.2847896
20210926,1.164618
20210925,1.203012
20210924,1.3830912
20210923,1.764342
20210922,2.2734108
20210921,1.66698
20210920,1.2864744
20210919,1.2256272
20210918,1.4369076
20210917,1.3285296
20210916,1.4620176
20210915,1.4669748
20210914,1.2317184
20210913,1.3846788
20210912,1.3954356
20210911,1.5693264
20210910,1.3158612
20210909,1.2416652
20210908,1.219536
20210907,1.2497004
20210906,1.393038
20210905,1.5078312
20210904,1.4690484
20210903,1.5254892
20210902,1.3888908
20210901,1.1945232
20210831,1.003104
20210830,1.183734
20210829,1.116504
20210828,1.1420676
20210827,1.0950552
20210826,1.0729908
20210825,1.0388412
20210824,1.0242288
20210823,1.1023128
20210822,0.9072324
20210821,0.970866
20210820,0.858924
20210819,0.863298
20210818,0.8727912
20210817,0.9113472
20210816,1.0058256
20210815,0.9131616
20210814,0.929394
20210813,0.8884404
20210812,0.8460612
20210811,0.8279172
20210810,0.8565588
20210809,0.8988732
20210808,0.8595396
20210807,0.9011736
20210806,0.9134208
20210805,0.930366
20210804,0.9727452
20210803,1.0961244
20210802,1.25955
20210801,1.177254
20210731,1.2558564
20210730,1.168344
20210729,1.0093248
20210728,1.2733848
20210727,1.134162
20210726,1.2830724
20210725,1.2557916
20210724,1.4200272
20210723,1.34055
20210722,1.0301256
20210721,1.2105612
20210720,1.5042348
20210719,1.6069428
20210718,1.4692104
20210717,1.587762
20210716,1.5335892
20210715,1.5001848
20210714,1.4991804
20210713,1.5478128
20210712,1.4452668
20210711,1.56573
20210710,1.6493868
20210709,1.6231428
20210708,1.2745836
20210707,1.4652252
20210706,1.3702608
20210705,1.4762088
20210704,1.604286
20210703,1.6926084
20210702,1.5622632
20210701,1.4002956
20210630,1.3999392
20210629,1.4261508
20210628,1.6314048
20210627,1.4998932
20210626,1.5475536
20210625,1.4433228
20210624,1.418634
20210623,1.4706036
20210622,1.523448
20210621,1.6773804
20210620,1.5189444
20210619,1.5699096
20210618,1.4971392
20210617,1.4726448
20210616,1.7755524
20210615,2.030508
20210614,1.806138
20210613,1.475982
20210612,1.6813656
20210611,1.31058
20210610,1.3299552
20210609,1.3584024
20210608,1.3393188
20210607,1.539648
20210606,1.4599116
20210605,1.496556
20210604,1.3582728
20210603,1.3515336
20210602,1.474848
20210601,1.2406932
20210531,1.5147648
20210530,1.3508208
20210529,1.417176
20210528,1.3069836
20210527,1.2323664
20210526,1.2769488
20210525,1.2880944
20210524,1.4596524
20210523,1.3470624
20210522,1.4843088
20210521,1.3346532
20210520,1.30896
20210519,1.2816468
20210518,1.3315752
20210517,1.4446512
20210516,1.2059604
20210515,1.4235264
20210514,1.3684464
20210513,1.3043268
20210512,1.3129776
20210511,1.410372
20210510,1.5322284
20210509,1.6046748
20210508,1.6921872
20210507,1.892484
20210506,2.6883252
20210505,3.2974452
20210504,2.4420204
20210503,2.2756788
20210502,2.2870836
20210501,2.3390856
20210430,1.4441004
20210429,1.2949308
20210428,1.3344264
20210427,1.3346532
20210426,1.3782312
20210425,1.349298
20210424,1.4877108
20210423,1.3975092
20210422,1.2996612
20210421,1.3555188
20210420,1.488942
20210419,1.5861096
20210418,1.5465816
20210417,1.6118676
20210416,1.4274144
20210415,1.394658
20210414,1.441152
20210413,1.3069188
20210412,1.33326
20210411,1.3526352
20210410,1.4659704
20210409,1.4749776
20210408,1.5663132
20210407,1.730322
