date,index
20221010,1.97154
20221009,2.0271384
20221008,2.5042284
20221007,2.7020304
20221006,2.3163084
20221005,2.3434272
20221004,2.1601728
20221003,1.7778204
20221002,1.8319932
20221001,2.5289496
20220930,2.1841164
20220929,2.119932
20220928,2.1086568
20220927,2.2502448
20220926,2.4624324
20220925,2.15136
20220924,2.160756
20220923,2.1896892
20220922,1.9179828
20220921,1.8399636
20220920,1.8600516
20220919,1.91484
20220918,1.7956728
20220917,1.9686564
20220916,1.9640232
20220915,2.1716748
20220914,2.6730324
20220913,3.7053288
20220912,3.9707172
20220911,2.9366388
20220910,2.3761836
20220909,2.5071444
20220908,2.2085784
20220907,2.1459168
20220906,2.2066344
20220905,2.446848
20220904,2.0881476
20220903,2.075544
20220902,2.0841948
20220901,1.880658
20220831,1.7420508
20220830,1.7427312
20220829,1.900422
20220828,1.8670176
20220827,1.9937664
20220826,2.04363
20220825,2.0817324
20220824,2.1983076
20220823,2.5343928
20220822,3.2924232
20220821,3.058236
20220820,2.9837808
20220819,3.0294
20220818,2.9085804
20220817,3.2027076
20220816,3.3831756
20220815,4.1383224
20220814,3.7774188
20220813,3.7732716
20220812,2.7672516
20220811,3.0390228
20220810,2.9143476
20220809,2.8656504
20220808,3.813318
20220807,3.5765388
20220806,3.4287624
20220805,3.351132
20220804,3.2350104
20220803,3.2403888
20220802,3.4077024
20220801,4.2791976
20220731,3.9551004
20220730,3.654234
20220729,3.4524144
20220728,3.020004
20220727,3.0641004
20220726,3.214242
20220725,4.235166
20220724,3.97548
20220723,3.5446572
20220722,3.3855408
20220721,3.0588192
20220720,3.112182
20220719,3.2495904
20220718,4.16907
20220717,3.8343132
20220716,3.5282952
20220715,3.3182136
20220714,3.1502196
20220713,3.062448
20220712,2.9118852
20220711,4.1372856
20220710,3.5245368
20220709,3.3944184
20220708,3.0747276
20220707,2.8674972
20220706,2.799846
20220705,2.3705784
20220704,3.2907708
20220703,2.7877284
20220702,2.7036504
20220701,2.49642
20220630,2.3363964
20220629,2.0851344
20220628,2.1849588
20220627,2.3631912
20220626,2.2818996
20220625,2.3934204
20220624,2.2382568
20220623,2.1155256
20220622,2.0120076
20220621,2.0252916
20220620,2.2903236
20220619,1.995678
20220618,2.019492
20220617,1.9416348
20220616,1.8030924
20220615,1.7660592
20220614,1.77876
20220613,1.9256292
20220612,1.7732196
20220611,1.8447264
20220610,1.7783064
20220609,1.6885908
20220608,1.5679332
20220607,1.6794864
20220606,1.8499104
20220605,1.865106
20220604,1.733724
20220603,2.1647412
20220602,2.1593952
20220601,1.8500076
20220531,1.8701928
20220530,1.7114976
20220529,1.4953572
20220528,1.5552
20220527,1.553418
20220526,1.4966208
20220525,1.4609484
20220524,1.4599116
20220523,1.4923116
20220522,1.462536
20220521,1.2654144
20220520,1.4755608
20220519,1.3986432
20220518,1.35918
20220517,1.3662432
20220516,1.4615316
20220515,1.2807072
20220514,1.3602492
20220513,1.3466736
20220512,1.1669184
20220511,1.2744216
20220510,1.2510288
20220509,1.1932596
20220508,1.0169388
20220507,1.1151432
20220506,1.1555784
20220505,1.4010732
20220504,1.5250356
20220503,1.3501728
20220502,1.3569444
20220501,1.2696588
20220430,1.1960136
20220429,1.1189988
20220428,0.96228
20220427,1.0057608
20220426,1.15182
20220425,1.429326
20220424,1.4786064
20220423,1.4024988
20220422,1.2659328
20220421,1.2709548
20220420,1.2164256
20220419,1.2037896
20220418,1.3795272
20220417,1.116666
20220416,1.0955412
20220415,1.0689408
20220414,0.9737496
20220413,0.9051588
20220412,0.9184752
20220411,1.0802808
20220410,1.0021968
20220409,0.871236
20220408,0.9203868
20220407,0.9922824
20220406,1.3190364
20220405,1.1383092
20220404,0.9831132
20220403,1.1750184
20220402,1.0973556
20220401,1.1457288
20220331,1.123794
20220330,1.3722372
20220329,1.1930652
20220328,1.5016428
20220327,1.198476
20220326,1.2900384
20220325,1.0775592
20220324,1.2051828
20220323,1.119258
20220322,1.0797624
20220321,1.270404
20220320,0.923562
20220319,0.8745732
20220318,1.0324908
20220317,1.0288944
20220316,1.0725048
20220315,1.1109636
20220314,1.3220172
20220313,1.2219336
20220312,1.2426372
20220311,1.45152
20220310,1.3969584
20220309,1.5182964
20220308,1.7920764
20220307,2.5647516
20220306,2.3145912
20220305,2.4721524
20220304,2.475684
20220303,2.524446
20220302,2.2467132
20220301,2.9300292
20220228,2.7531252
20220227,3.1704696
20220226,3.0375
20220225,2.5057836
20220224,2.3444964
20220223,2.3952024
20220222,2.4298704
20220221,3.0458916
20220220,2.6547912
20220219,2.5504956
20220218,2.473254
20220217,2.6483436
20220216,2.5823448
20220215,1.48149
20220214,1.5620364
20220213,1.3924548
20220212,1.9406304
20220211,2.0683836
20220210,2.251962
20220209,2.2703976
20220208,2.3622516
20220207,3.0166668
20220206,3.2295996
20220205,1.994382
20220204,1.8034164
20220203,1.4980788
20220202,1.2959352
