date,index
20221010,0.2673972
20221009,0.4057128
20221008,0.6819552
20221007,0.900882
20221006,0.847908
20221005,0.968274
20221004,1.0038168
20221003,0.8677044
20221002,0.8717544
20221001,1.0451592
20220930,0.9472464
20220929,0.9184104
20220928,0.9888804
20220927,0.9796788
20220926,1.0357632
20220925,1.0104912
20220924,0.9651312
20220923,0.9505836
20220922,0.9052884
20220921,0.9301716
20220920,0.9419328
20220919,0.9978876
20220918,0.9327636
20220917,0.9119952
20220916,0.94446
20220915,0.958554
20220914,1.0638864
20220913,1.5761304
20220912,1.7136684
20220911,1.094796
20220910,0.7443576
20220909,0.934092
20220908,0.8902224
20220907,0.8937864
20220906,0.9035064
20220905,0.9596556
20220904,0.9145224
20220903,0.8991972
20220902,0.9237564
20220901,0.928098
20220831,0.935226
20220830,0.898614
20220829,0.9085284
20220828,0.9557028
20220827,0.9496116
20220826,0.9247284
20220825,0.8813448
20220824,0.8613216
20220823,0.8872092
20220822,0.8910648
20220821,0.9705096
20220820,0.9913104
20220819,0.845478
20220818,0.6866208
20220817,0.847908
20220816,1.0606788
20220815,1.368738
20220814,1.6809768
20220813,1.6312428
20220812,1.3126536
20220811,1.4134824
20220810,1.4839524
20220809,1.4408928
20220808,2.0093832
20220807,1.998918
20220806,1.5806016
20220805,1.6176024
20220804,1.52361
20220803,1.5535476
20220802,1.586952
20220801,1.9882584
20220731,1.9729332
20220730,1.5090948
20220729,1.4637024
20220728,1.3414572
20220727,1.3411332
20220726,1.4038596
20220725,1.8352008
20220724,1.809054
20220723,1.3338756
20220722,1.3219524
20220721,1.2530376
20220720,1.2811608
20220719,1.3025124
20220718,1.665684
20220717,1.5306732
20220716,1.2580272
20220715,1.2174624
20220714,1.0838772
20220713,1.0654092
20220712,1.062396
20220711,1.3995828
20220710,1.251612
20220709,1.0391652
20220708,1.0111068
20220707,0.920646
20220706,0.9665892
20220705,0.807246
20220704,1.0725048
20220703,0.9322128
20220702,0.75573
20220701,0.735642
20220630,0.6513048
20220629,0.6005988
20220628,0.5752944
20220627,0.5619456
20220626,0.56862
20220625,0.5586084
20220624,0.5549148
20220623,0.4864536
20220622,0.4921884
20220621,0.459108
20220620,0.4669812
20220619,0.4823712
20220618,0.4465044
20220617,0.4765392
20220616,0.4447872
20220615,0.4617324
20220614,0.4313736
20220613,0.443718
20220612,0.4889484
20220611,0.4284252
20220610,0.430596
20220609,0.4372056
20220608,0.3872448
20220607,0.3980988
20220606,0.4389228
20220605,0.4199688
20220604,0.390096
20220603,0.402084
20220602,0.4455324
20220601,0.384588
20220531,0.3789504
20220530,0.349758
20220529,0.3386448
20220528,0.3557844
20220527,0.3595752
20220526,0.3524796
20220525,0.343764
20220524,0.3477168
20220523,0.3322296
20220522,0.3559464
20220521,0.3160944
20220520,0.3585384
20220519,0.3408156
20220518,0.3420144
20220517,0.3251988
20220516,0.3325212
20220515,0.31752
20220514,0.3362796
20220513,0.339876
20220512,0.322056
20220511,0.338904
20220510,0.3410424
20220509,0.314766
20220508,0.2912436
20220507,0.2925396
20220506,0.281394
20220505,0.3150576
20220504,0.3013848
20220503,0.2802276
20220502,0.2746548
20220501,0.2937384
20220430,0.3127248
20220429,0.3101976
20220428,0.2680452
20220427,0.2703132
20220426,0.2825928
20220425,0.3089016
20220424,0.3111372
20220423,0.2933172
20220422,0.3028428
20220421,0.2837916
20220420,0.292896
20220419,0.2954232
20220418,0.3153492
20220417,0.2806164
20220416,0.272808
20220415,0.282204
20220414,0.2855736
20220413,0.2655504
20220412,0.2683692
20220411,0.313794
20220410,0.311202
20220409,0.2742984
20220408,0.2855088
20220407,0.3112992
20220406,0.3396492
20220405,0.2173068
20220404,0.2184408
20220403,0.2575152
20220402,0.2187648
20220401,0.2135808
20220331,0.2008476
20220330,0.2631204
20220329,0.2163996
20220328,0.2799684
20220327,0.2477304
20220326,0.2768256
20220325,0.2584872
20220324,0.309744
20220323,0.2640276
20220322,0.3318084
20220321,0.4602744
20220320,0.3167748
20220319,0.2196396
20220318,0.2071656
20220317,0.3066012
20220316,0.3728268
20220315,0.414558
20220314,0.506898
20220313,0.449874
20220312,0.4258656
20220311,0.4861944
20220310,0.4843476
20220309,0.4709988
20220308,0.5062824
20220307,0.6387012
20220306,0.5602608
20220305,0.566676
20220304,0.6328368
20220303,0.590004
20220302,0.5420844
20220301,0.7113744
20220228,0.7075188
20220227,0.9233028
20220226,0.8438256
20220225,0.6818256
20220224,0.6061392
20220223,0.635364
20220222,0.6727212
20220221,0.7723188
20220220,0.7537212
20220219,0.6950448
20220218,0.65448
20220217,0.7986924
20220216,0.8351424
20220215,0.4415148
20220214,0.4138776
20220213,0.4339008
20220212,0.6415848
20220211,0.704052
20220210,0.7657092
20220209,0.8530272
20220208,0.9163692
20220207,1.2487284
20220206,1.4378796
20220205,0.6445008
20220204,0.5846256
20220203,0.4392468
20220202,0.333072
20220201,0.171558
20220131,0.274428
20220130,0.3134052
20220129,0.3594132
20220128,0.3793716
20220127,0.3888648
20220126,0.417798
20220125,0.395118
20220124,0.4172472
20220123,0.3704292
20220122,0.3161268
20220121,0.4107672
20220120,0.4842828
20220119,0.4761504
20220118,0.4786776
20220117,0.5391684
20220116,0.4952988
20220115,0.524394
20220114,0.5491476
20220113,0.5261112
20220112,0.5829084
20220111,0.6886944
20220110,0.6139476
20220109,0.5132808
20220108,0.6298236
20220107,0.54918
20220106,0.578016
20220105,0.6421356
20220104,1.029186
20220103,0.9660708
20220102,0.6096384
20220101,0.736776
20211231,0.8211456
20211230,0.6381828
20211229,0.5893884
20211228,0.6373404
20211227,0.7669728
20211226,0.6556788
20211225,0.5678424
20211224,0.7075836
20211223,0.665334
20211222,0.6624828
20211221,0.6696432
20211220,0.821502
20211219,0.7401132
20211218,0.7075512
20211217,0.6952068
20211216,0.615762
20211215,0.6143364
20211214,0.6273936
20211213,0.7452972
20211212,0.6308928
20211211,0.6376644
20211210,0.6670512
20211209,0.5866668
20211208,0.5947992
20211207,0.6292728
20211206,0.7859916
20211205,0.6746328
20211204,0.6525036
20211203,0.7159428
20211202,0.6361092
20211201,0.6456348
20211130,0.5863104
20211129,0.7670376
20211128,0.7253388
20211127,0.75249
20211126,0.7893288
20211125,0.6638112
20211124,0.5837508
20211123,0.5626908
20211122,0.6091848
20211121,0.5437044
20211120,0.5453892
20211119,0.5531652
20211118,0.5263056
20211117,0.5214132
20211116,0.5670972
20211115,0.6400296
20211114,0.5509944
20211113,0.5583816
20211112,0.6080832
20211111,0.587898
20211110,0.5262084
20211109,0.4554144
20211108,0.348462
20211107,0.2358072
20211106,0.517428
20211105,0.5375484
20211104,0.51921
20211103,0.4940676
20211102,0.4822092
20211101,0.5657364
20211031,0.521802
20211030,0.5216076
20211029,0.5603904
20211028,0.5288328
20211027,0.569106
20211026,0.61155
20211025,0.7836588
20211024,0.734346
20211023,0.7335036
20211022,0.8207244
20211021,0.7917912
20211020,0.8152488
20211019,0.8279496
20211018,1.0066356
20211017,0.9394056
20211016,0.9370728
20211015,0.9539208
20211014,0.8719812
20211013,0.8591508
20211012,0.8873064
20211011,0.969894
20211010,0.9896256
20211009,1.0569852
20211008,1.680102
20211007,2.2738644
20211006,2.0797884
20211005,1.9269252
20211004,1.897992
20211003,1.8021852
20211002,1.6165008
20211001,1.863324
20210930,1.00764
20210929,1.0193688
20210928,0.981072
20210927,0.9449136
20210926,0.9963
20210925,1.0425996
20210924,1.1031228
20210923,1.3388004
20210922,1.8835416
20210921,1.318518
20210920,1.0329768
20210919,1.1452104
20210918,1.118286
20210917,1.0317132
20210916,0.9403452
20210915,0.9744948
20210914,0.8533188
20210913,1.044738
20210912,1.0465848
20210911,1.0634976
20210910,0.9922824
20210909,0.8622288
20210908,0.847908
20210907,0.8703288
20210906,1.0208268
20210905,1.0114308
20210904,1.0759716
20210903,1.0219608
20210902,0.9767628
20210901,0.9252792
20210831,0.853092
20210830,0.9671076
20210829,0.8862696
20210828,0.819234
20210827,0.7862184
20210826,0.748926
20210825,0.7577388
20210824,0.7615296
20210823,0.9000396
20210822,0.6326424
20210821,0.6725268
20210820,0.6509808
20210819,0.5955768
20210818,0.6490044
20210817,0.648648
20210816,0.7589052
20210815,0.6687036
20210814,0.6474492
20210813,0.6263892
20210812,0.60507
20210811,0.5959656
20210810,0.6364656
20210809,0.7271208
20210808,0.69822
20210807,0.7255332
20210806,0.7825572
20210805,0.7984656
20210804,0.8497548
20210803,0.9630576
20210802,1.291626
20210801,1.1928384
20210731,1.0951848
20210730,1.0577952
20210729,1.037286
20210728,1.1309868
20210727,0.9896256
20210726,1.3084416
20210725,1.1579112
20210724,1.188756
20210723,1.1373696
20210722,1.081512
20210721,1.1344212
20210720,1.192644
20210719,1.5216012
20210718,1.2743244
20210717,1.20285
20210716,1.1585592
20210715,1.0779804
20210714,1.0001232
20210713,0.9288108
20210712,1.1707416
20210711,1.2757176
20210710,1.1169576
20210709,1.1032524
20210708,0.877554
20210707,0.9013032
20210706,0.8194608
20210705,1.0909404
20210704,1.1232108
20210703,1.0741248
20210702,1.0068624
20210701,0.7838208
20210630,0.8268804
20210629,0.8900604
20210628,1.1088576
20210627,0.9681768
20210626,0.9766656
20210625,0.945594
20210624,0.9055152
20210623,0.8991324
20210622,0.8612568
20210621,1.0721484
20210620,0.953532
20210619,0.9406368
20210618,0.935226
20210617,0.8560728
20210616,1.1507832
20210615,1.661796
20210614,1.5541308
20210613,1.1021832
20210612,1.218888
20210611,0.889704
20210610,0.8738928
20210609,0.8648856
20210608,0.8535456
20210607,1.0829052
20210606,0.9504864
20210605,0.946566
20210604,0.8643348
20210603,0.8209512
20210602,0.8990676
20210601,0.72981
20210531,0.9797112
20210530,0.8314488
20210529,0.8971236
20210528,0.8445708
20210527,0.7083288
20210526,0.7368408
20210525,0.763344
20210524,0.9832428
20210523,0.8591832
20210522,0.9457236
20210521,0.8424324
20210520,0.7684632
20210519,0.7542072
20210518,0.7674912
20210517,0.950616
20210516,0.824256
20210515,0.887274
20210514,0.8106804
20210513,0.7542396
20210512,0.7547904
20210511,0.7858296
20210510,0.855684
20210509,0.8693568
20210508,0.8913564
20210507,1.0128888
20210506,1.7510904
20210505,2.443932
20210504,1.6352604
20210503,1.6885584
20210502,1.7101044
20210501,1.8263232
20210430,0.9863532
20210429,0.8008632
20210428,0.750708
20210427,0.7458156
20210426,0.7791228
20210425,0.7989192
20210424,0.8175816
20210423,0.804654
20210422,0.7530732
20210421,0.7811316
20210420,0.8348508
20210419,0.955638
20210418,0.8516988
20210417,0.8799516
20210416,0.7892316
20210415,0.7638624
20210414,0.7742952
20210413,0.7095924
20210412,0.7903656
20210411,0.7386876
20210410,0.8560728
20210409,0.8593128
20210408,0.8649504
