date,index
20221010,1.4787684
20221009,1.4908212
20221008,1.7578944
20221007,2.0471292
20221006,1.8970524
20221005,1.909494
20221004,1.7708544
20221003,1.4594904
20221002,1.49121
20221001,1.9092996
20220930,1.6710624
20220929,1.5507936
20220928,1.5689376
20220927,1.6494192
20220926,1.6849296
20220925,1.6325064
20220924,1.6792596
20220923,1.7146728
20220922,1.5818976
20220921,1.5859476
20220920,1.6575516
20220919,1.6583616
20220918,1.6042212
20220917,1.6396668
20220916,1.6254108
20220915,1.623564
20220914,1.8037728
20220913,2.1880368
20220912,2.3534388
20220911,1.866726
20220910,1.5095484
20220909,1.6963992
20220908,1.515672
20220907,1.4600412
20220906,1.5225084
20220905,1.5504048
20220904,1.4508396
20220903,1.5023556
20220902,1.528308
20220901,1.4582916
20220831,1.4214852
20220830,1.4858964
20220829,1.5587964
20220828,1.6524972
20220827,1.7163252
20220826,1.7295768
20220825,1.6729092
20220824,1.6263828
20220823,1.6085628
20220822,1.5440868
20220821,1.622592
20220820,1.7529696
20220819,1.9399824
20220818,2.0129472
20220817,2.1820104
20220816,2.3000436
20220815,2.4702084
20220814,2.486376
20220813,2.6747172
20220812,2.0137896
20220811,2.0397096
20220810,1.937682
20220809,1.9638612
20220808,2.1134196
20220807,2.119932
20220806,2.267514
20220805,2.3416776
20220804,2.1633156
20220803,2.1597192
20220802,2.258118
20220801,2.352888
20220731,2.260386
20220730,2.375082
20220729,2.2436352
20220728,1.876446
20220727,1.9670688
20220726,2.0550348
20220725,2.2512168
20220724,2.1742668
20220723,2.234304
20220722,2.1253752
20220721,2.0007
20220720,2.0240928
20220719,2.1089484
20220718,2.2968684
20220717,2.2686804
20220716,2.3118048
20220715,2.2196916
20220714,2.0540304
20220713,1.9023336
20220712,1.811646
20220711,2.1848292
20220710,2.0009268
20220709,2.1267684
20220708,2.0917764
20220707,1.9776312
20220706,1.9136736
20220705,1.7549136
20220704,1.9677492
20220703,1.8501696
20220702,1.9462356
20220701,1.8507852
20220630,1.646892
20220629,1.5246468
20220628,1.5547788
20220627,1.4856372
20220626,1.5583752
20220625,1.691928
20220624,1.6822728
20220623,1.511946
20220622,1.5145056
20220621,1.5656004
20220620,1.6618608
20220619,1.50255
20220618,1.5285672
20220617,1.5611616
20220616,1.39725
20220615,1.3694184
20220614,1.3571064
20220613,1.3459284
20220612,1.2637944
20220611,1.3610592
20220610,1.290816
20220609,1.2526164
20220608,1.1613132
20220607,1.22472
20220606,1.2302604
20220605,1.210788
20220604,1.1411604
20220603,1.3376988
20220602,1.3857156
20220601,1.2983976
20220531,1.2381336
20220530,1.180494
20220529,1.1453076
20220528,1.3138848
20220527,1.2559536
20220526,1.2105288
20220525,1.1760876
20220524,1.1727828
20220523,1.2335328
20220522,1.2240072
20220521,1.1111256
20220520,1.2634056
20220519,1.2041136
20220518,1.1805588
20220517,1.2278628
20220516,1.3107744
20220515,1.23606
20220514,1.3234428
20220513,1.2726072
20220512,1.1120328
20220511,1.22877
20220510,1.1458908
20220509,1.1062332
20220508,0.9655848
20220507,1.0411416
20220506,1.0620072
20220505,1.1241828
20220504,1.1983788
20220503,1.0923012
20220502,1.049112
20220501,1.055106
20220430,1.0844928
20220429,1.0274364
20220428,0.8544852
20220427,0.892944
20220426,0.91044
20220425,0.9045432
20220424,0.8719488
20220423,0.8633304
20220422,0.8477136
20220421,0.8172576
20220420,0.794772
20220419,0.7826544
20220418,0.7620804
20220417,0.7372944
20220416,0.70956
20220415,0.6808536
20220414,0.6346512
20220413,0.6321564
20220412,0.6110316
20220411,0.6965676
20220410,0.7485372
20220409,0.619812
20220408,0.6029316
20220407,0.60183
20220406,0.5892912
20220405,0.4453056
20220404,0.4898232
20220403,0.594216
20220402,0.5682312
20220401,0.6464124
20220331,0.6131376
20220330,0.6235056
20220329,0.5232924
20220328,0.56943
20220327,0.519048
20220326,0.5461668
20220325,0.4580064
20220324,0.4901796
20220323,0.4235328
20220322,0.3729888
20220321,0.3258792
20220320,0.1894428
20220319,0.166374
20220318,0.1682532
20220317,0.1686744
20220316,0.1924884
20220315,0.2092716
20220314,0.2804868
20220313,0.3953772
20220312,0.584982
20220311,0.7849872
20220310,0.9295884
20220309,1.1829888
20220308,1.450062
20220307,1.6083036
20220306,1.5768108
20220305,1.703268
20220304,1.7466516
20220303,1.7477532
20220302,1.5222816
20220301,1.9273464
20220228,1.6480584
20220227,2.0797236
20220226,2.156058
20220225,1.7967744
20220224,1.6488684
20220223,1.6892064
20220222,1.7349228
20220221,1.8249624
20220220,1.8161172
20220219,1.8406764
20220218,1.8759276
20220217,2.0453472
20220216,1.9171404
20220215,1.0172952
20220214,0.9607248
20220213,1.128978
20220212,1.5678684
20220211,1.6771212
20220210,1.8046152
20220209,1.7724744
20220208,1.7304192
20220207,2.0401632
20220206,2.3980536
20220205,1.6266096
20220204,1.48311
20220203,1.2904272
20220202,1.1226276
20220201,0.5241348
20220131,0.6699348
20220130,0.8867556
20220129,0.9796788
20220128,1.0163232
20220127,1.0511856
20220126,1.053
20220125,1.0675476
20220124,1.0515096
20220123,0.836082
20220122,0.80028
20220121,1.0577952
20220120,1.1009196
20220119,1.0648584
20220118,1.0615536
20220117,1.1116764
20220116,1.0551384
20220115,1.1120976
20220114,1.1367864
20220113,1.1343564
20220112,1.30815
20220111,1.4150376
20220110,1.3097052
20220109,1.2522924
20220108,1.4974632
20220107,1.3891176
20220106,1.4375232
20220105,1.5126588
20220104,1.830114
20220103,1.918242
20220102,1.52604
20220101,1.6011432
20211231,1.7230644
20211230,1.4637024
20211229,1.4029848
20211228,1.4877108
20211227,1.5878916
20211226,1.5705252
20211225,1.3665348
20211224,1.4239476
20211223,1.6347744
20211222,1.5776856
20211221,1.5428232
20211220,1.7561448
20211219,1.721898
20211218,1.7098452
20211217,1.6473456
20211216,1.5439572
20211215,1.6032492
20211214,1.5886692
20211213,1.7247168
20211212,1.60542
20211211,1.5969636
20211210,1.4901408
20211209,1.492182
20211208,1.4715432
20211207,1.5097428
20211206,1.6562232
20211205,1.55277
20211204,1.6099884
20211203,1.5596064
20211202,1.5121404
20211201,1.5489792
20211130,1.4368752
20211129,1.6292988
20211128,1.5904512
20211127,1.6790328
20211126,1.6638048
20211125,1.4817168
20211124,1.458486
20211123,1.5019668
20211122,1.5775884
20211121,1.4707332
20211120,1.5673824
20211119,1.573668
20211118,1.3610268
20211117,1.3492332
20211116,1.4421564
20211115,1.5531912
20211114,1.3915152
20211113,1.4414436
20211112,1.4578704
20211111,1.4082012
20211110,1.4259564
20211109,1.3652388
20211108,0.8933652
20211107,0.9072
20211106,1.5358572
20211105,1.412964
20211104,1.4078772
20211103,1.2633408
20211102,1.2609756
20211101,1.4025312
20211031,1.351404
20211030,1.2892608
20211029,1.3643964
20211028,1.292112
20211027,1.2946392
20211026,1.3660812
20211025,1.544022
20211024,1.4491224
20211023,1.5633
20211022,1.6166304
