date,index
20221010,2.2625892
20221009,2.03553
20221008,3.0844152
20221007,2.3115456
20221006,2.0848104
20221005,2.2711428
20221004,2.6918892
20221003,2.3934204
20221002,2.9058912
20221001,4.1284728
20220930,3.1958388
20220929,3.1750056
20220928,2.7586656
20220927,2.9858868
20220926,4.1987808
20220925,2.8099872
20220924,2.7362448
20220923,3.0178332
20220922,3.1318164
20220921,2.6800956
20220920,2.9361528
20220919,3.6627876
20220918,2.2837464
20220917,2.4209604
20220916,2.3748228
20220915,2.047356
20220914,2.3335452
20220913,3.8622096
20220912,3.4687116
20220911,3.1298724
20220910,2.9718252
20220909,3.1934088
20220908,3.2878872
20220907,2.6710236
20220906,2.7980316
20220905,3.9846492
20220904,2.6170776
20220903,2.5236684
20220902,2.8925748
20220901,3.1762044
20220831,2.4522588
20220830,2.5701624
20220829,3.6690408
20220828,2.6343468
20220827,2.7640116
20220826,2.970594
20220825,3.567402
20220824,3.082212
20220823,3.1924368
20220822,4.513482
20220821,3.4644024
20220820,3.5747244
20220819,3.6134424
20220818,3.5727804
20220817,3.5416116
20220816,3.701052
20220815,5.1766452
20220814,3.6236808
20220813,3.9457692
20220812,3.49758
20220811,4.0783176
20220810,3.4231572
20220809,3.3662628
20220808,4.8255912
20220807,3.556548
20220806,3.7830564
20220805,3.6960624
20220804,3.940164
20220803,3.4327152
20220802,3.5909244
20220801,4.9895676
20220731,3.8687544
20220730,3.8686572
20220729,3.6666108
20220728,3.5286192
20220727,3.1334364
20220726,3.3541776
20220725,4.877496
20220724,3.724542
20220723,3.6361872
20220722,3.5486424
20220721,3.73005
20220720,3.2932008
20220719,3.4669944
20220718,4.9112568
20220717,3.8524896
20220716,3.8009412
20220715,3.56481
20220714,3.7468008
20220713,3.2625828
20220712,3.0951072
20220711,4.7912472
20220710,3.3437124
20220709,3.3615324
20220708,3.16224
20220707,3.3978852
20220706,2.9000916
20220705,2.5734672
20220704,4.1166468
20220703,2.8473444
20220702,2.8589112
20220701,2.808594
20220630,3.0641328
20220629,2.3012748
20220628,2.4890976
20220627,3.238056
20220626,2.380752
20220625,2.2171644
20220624,2.3468292
20220623,2.5561008
20220622,2.0341368
20220621,2.14812
20220620,3.0872016
20220619,2.0458332
20220618,1.9659348
20220617,2.2012236
20220616,2.1090456
20220615,2.1134844
20220614,2.1809412
20220613,1.78848
20220612,1.3731768
20220611,1.4553108
20220610,1.8335808
20220609,2.0412648
20220608,1.4835636
20220607,1.5438276
20220606,2.2290228
20220605,1.3788144
20220604,1.2522924
20220603,1.2683304
20220602,1.459944
20220601,0.9436824
20220531,0.5544612
20220530,0.758808
20220529,0.8993268
20220528,1.0229652
20220527,1.0135368
20220526,0.9908892
20220525,0.9743004
20220524,0.9973044
20220523,0.989334
20220522,1.055106
20220521,0.9306252
20220520,1.179846
20220519,1.1062008
20220518,1.173042
20220517,1.2262752
20220516,1.3424292
20220515,1.0673208
20220514,1.173852
20220513,1.3024152
20220512,1.248696
20220511,1.2598092
20220510,1.2659652
20220509,1.3862016
20220508,1.0608732
20220507,1.1491956
20220506,1.1755368
20220505,1.3417812
20220504,1.2185316
20220503,1.1232108
20220502,1.0971936
20220501,1.157814
20220430,1.1860344
20220429,1.16073
20220428,1.1255436
20220427,1.7982648
20220426,1.4958756
20220425,1.8259668
20220424,2.3592708
20220423,1.3080852
20220422,1.6508772
20220421,1.9735488
20220420,1.4713488
20220419,1.3460256
20220418,2.124144
20220417,1.1271312
20220416,0.797688
20220415,1.1319588
20220414,1.4677524
20220413,1.0548792
20220412,0.9545688
20220411,1.6762788
20220410,0.9868392
20220409,0.623862
20220408,0.9649368
20220407,1.0686492
20220406,1.3795596
20220405,0.6491664
20220404,0.329022
20220403,0.3213108
20220402,0.2956824
20220401,0.2894616
20220331,0.2798712
20220330,0.2776356
20220329,0.2572884
20220328,0.244782
20220327,0.2301696
20220326,0.2442636
20220325,0.2374272
20220324,0.2136132
20220323,0.226638
20220322,0.23247
20220321,0.22923
20220320,0.1893132
20220319,0.1869804
20220318,0.211734
20220317,0.2197044
20220316,0.248994
20220315,0.3140208
20220314,0.4316976
20220313,0.9565452
20220312,1.3710384
20220311,1.736154
20220310,2.509704
20220309,2.3490972
20220308,2.7740232
20220307,4.3521624
20220306,2.7437616
20220305,2.7335556
20220304,3.07152
20220303,3.9049776
20220302,2.6067744
20220301,3.496122
20220228,3.8243988
20220227,2.9209248
20220226,2.8267056
20220225,2.8633176
20220224,3.2515992
20220223,2.67462
20220222,2.837268
20220221,4.1877
20220220,2.810376
20220219,2.5822152
20220218,2.4297408
20220217,2.806002
20220216,2.3448204
20220215,1.9629216
20220214,2.6044416
20220213,1.4370696
20220212,1.8008892
20220211,1.9869624
20220210,2.2050792
20220209,2.283714
20220208,1.673622
20220207,2.5408404
20220206,1.877256
20220205,1.4536584
20220204,1.4215824
20220203,1.525068
20220202,1.5609672
20220201,0.8531568
20220131,1.4811984
20220130,1.9400472
20220129,1.3884696
20220128,1.6070724
20220127,2.0516652
20220126,2.1108276
20220125,2.4887412
20220124,3.6431208
20220123,2.3064588
20220122,2.070846
20220121,2.5017984
20220120,3.1820688
20220119,2.529792
20220118,2.5260336
20220117,3.7737576
20220116,2.3272596
20220115,2.3169888
20220114,2.6363556
20220113,3.026646
20220112,2.6390448
20220111,3.206952
20220110,3.8905272
20220109,2.4647976
20220108,2.9907792
20220107,3.3461748
20220106,2.7956016
20220105,2.9839104
20220104,4.6823508
20220103,3.3999264
20220102,2.8705752
20220101,3.1406616
20211231,3.5078832
20211230,3.5391168
20211229,2.7806652
20211228,2.9185596
20211227,4.2497784
20211226,2.7525096
20211225,2.340414
20211224,3.0322512
20211223,3.313872
20211222,2.8694412
20211221,2.9906172
20211220,4.4878212
20211219,3.0652668
20211218,2.8757592
20211217,3.017412
20211216,3.369114
20211215,2.8188324
20211214,2.9212812
20211213,4.409802
20211212,2.8514916
20211211,2.7714636
20211210,2.9690712
20211209,3.3657768
20211208,2.756268
20211207,2.8842804
20211206,4.4003412
20211205,2.8292652
20211204,2.8257336
20211203,2.9747088
20211202,3.3754644
20211201,2.8350648
20211130,2.7839376
20211129,4.273722
20211128,2.8670436
20211127,2.8184436
20211126,2.9831976
20211125,3.2912568
20211124,2.6145504
20211123,2.73861
20211122,4.039632
20211121,2.5582716
20211120,2.62683
20211119,2.8091448
20211118,2.8785132
20211117,2.3833116
20211116,2.95731
20211115,4.3694964
20211114,2.7987768
20211113,2.6544024
20211112,2.9483028
20211111,3.2989032
20211110,2.5813404
20211109,2.9269836
20211108,3.5668836
20211107,1.7179452
20211106,2.4074172
20211105,2.830464
20211104,3.1471092
20211103,2.5346196
20211102,2.5005024
20211101,3.783672
20211031,2.367954
20211030,2.3100228
20211029,2.5494264
20211028,2.8287792
20211027,2.354022
20211026,2.525742
20211025,3.952152
20211024,2.9081592
20211023,2.7857196
20211022,3.1566024
20211021,3.4524468
20211020,2.9520612
20211019,3.1184676
20211018,4.6296684
20211017,3.3373944
20211016,3.2834484
20211015,3.2825412
20211014,3.5249904
20211013,2.9038824
20211012,3.1090716
20211011,4.1478804
20211010,2.8453356
20211009,3.0021516
20211008,4.5173376
20211007,3.8914344
20211006,3.1978476
20211005,3.347892
20211004,3.7832508
20211003,4.0490928
20211002,5.2697952
20211001,6.5346264
20210930,3.2945292
20210929,3.977586
20210928,3.1537836
20210927,3.1006152
20210926,3.693438
20210925,2.9165184
20210924,2.728242
20210923,3.373164
20210922,5.3506656
20210921,3.9585672
20210920,3.101652
20210919,3.6929844
20210918,3.5475084
20210917,3.0787452
20210916,3.4288272
20210915,3.2366304
20210914,2.753028
20210913,3.9093516
20210912,2.8114776
20210911,3.0064932
20210910,2.8446228
20210909,2.8499364
20210908,2.5118424
20210907,2.7996192
20210906,3.6202464
20210905,2.7181008
20210904,2.6879364
20210903,2.7537408
20210902,3.0254796
20210901,2.5862328
20210831,2.5561332
20210830,3.6680688
20210829,2.5074684
20210828,2.509542
20210827,2.4876072
20210826,2.735532
20210825,2.51748
20210824,2.4240708
20210823,3.4263972
20210822,2.0805336
20210821,2.2481388
20210820,2.1626676
20210819,2.250018
20210818,2.0798856
20210817,2.2239684
20210816,3.135024
20210815,1.951614
20210814,1.94319
20210813,2.0545812
20210812,1.9602648
20210811,1.919862
20210810,2.0059812
20210809,2.9147364
20210808,1.8567144
20210807,1.9579644
20210806,2.2356648
20210805,2.357586
20210804,2.1739428
20210803,2.6262468
20210802,3.7151784
20210801,2.6601372
20210731,2.888136
20210730,2.4376464
20210729,2.6610444
20210728,2.9489184
20210727,2.5987068
20210726,3.589272
20210725,2.7637524
20210724,3.2200092
20210723,3.024216
20210722,3.2200416
20210721,2.9682612
20210720,3.2946264
20210719,4.259304
20210718,3.2654016
20210717,3.2209164
20210716,3.3227496
20210715,3.3132564
20210714,3.1230684
20210713,3.3073596
20210712,3.3522336
20210711,3.2316732
20210710,3.5902764
20210709,3.5280684
20210708,2.9135376
20210707,3.175362
20210706,2.7696492
20210705,3.8016864
20210704,3.1671648
20210703,3.0470256
20210702,3.2248692
20210701,3.0824388
20210630,2.8601424
20210629,2.9677104
20210628,4.020354
20210627,2.8607256
20210626,3.0420684
20210625,2.902716
20210624,2.9977452
20210623,2.8240488
20210622,3.0001104
20210621,4.2462144
20210620,2.8816884
20210619,3.1207356
20210618,3.2305716
20210617,2.7422388
20210616,3.4855596
20210615,4.8637584
20210614,3.5239212
20210613,3.5199684
20210612,4.1124672
20210611,2.9291868
20210610,3.1703076
20210609,2.8340928
20210608,2.9987172
20210607,4.3254972
20210606,3.0427164
20210605,3.25782
20210604,2.994894
20210603,3.0203604
20210602,3.1663872
20210601,2.816694
20210531,4.0351932
20210530,2.8424844
20210529,3.021948
20210528,2.7775548
20210527,2.773116
20210526,2.6544024
20210525,2.745738
20210524,4.0713192
20210523,2.8024056
20210522,3.049164
20210521,2.8509408
20210520,2.9340468
20210519,2.629908
20210518,2.759346
20210517,3.9091572
20210516,2.7320328
20210515,2.7859464
20210514,2.7620028
20210513,2.8228176
20210512,2.6107596
20210511,2.7553932
20210510,3.4441524
20210509,2.7063072
20210508,2.6863164
20210507,2.864646
20210506,4.0873248
20210505,3.983256
20210504,3.4451568
20210503,4.283928
20210502,5.0219352
20210501,5.8979988
20210430,3.3695028
20210429,2.8412208
20210428,2.947428
20210427,2.6277696
20210426,2.9786292
20210425,3.2414256
20210424,2.8060344
20210423,2.8421928
20210422,2.8210356
20210421,2.6926344
20210420,2.855736
20210419,4.0521384
20210418,2.992626
20210417,3.0860352
20210416,2.8287468
20210415,2.9682936
20210414,2.7572076
20210413,2.6136756
20210412,3.5963352
20210411,2.5615116
20210410,2.794986
20210409,2.7524124
20210408,2.4367068
20210407,2.6695332
20210406,4.001886
20210405,3.4015788
20210404,2.9661552
20210403,3.4753212
20210402,2.599776
20210401,2.6200908
20210331,2.3264496
20210330,2.4992712
20210329,3.5430048
20210328,2.4125688
20210327,2.551662
20210326,2.448468
20210325,2.5169292
20210324,2.2706892
20210323,2.4584796
20210322,3.5482536
20210321,2.4351516
20210320,2.3991552
20210319,2.3761188
20210318,2.4041448
20210317,2.3040612
20210316,2.5003728
20210315,2.977398
20210314,2.0173212
20210313,2.1606264
20210312,2.069712
20210311,2.2072176
20210310,1.9580292
20210309,2.138724
20210308,2.9440908
20210307,1.866888
20210306,1.9975896
20210305,2.0360484
20210304,2.0941416
20210303,1.9009404
20210302,2.1742668
20210301,2.7154116
20210228,1.8248976
20210227,1.9574784
20210226,1.8822456
20210225,1.96911
20210224,1.7053416
20210223,1.8051012
20210222,2.4268896
20210221,1.696788
