date,index
20221010,1.961172
20221009,1.9390428
20221008,2.1882636
20221007,2.0831256
20221006,1.9297764
20221005,1.9498644
20221004,1.9844028
20221003,1.817316
20221002,2.22426
20221001,3.7431072
20220930,2.0215656
20220929,1.7337564
20220928,1.780056
20220927,1.8431388
20220926,1.8757008
20220925,1.7117568
20220924,1.9713456
20220923,1.9721556
20220922,1.9616256
20220921,2.02905
20220920,1.9668096
20220919,1.9035
20220918,1.5600924
20220917,1.6513632
20220916,1.6504236
20220915,1.7172648
20220914,2.128356
20220913,2.5593084
20220912,2.1915036
20220911,1.9364508
20220910,2.3685696
20220909,1.9385568
20220908,1.6061004
20220907,1.5699744
20220906,1.2751344
20220905,0.984474
20220904,0.95337
20220903,0.9557028
20220902,0.8873388
20220901,0.88776
20220831,0.8529624
20220830,0.9672696
20220829,1.0696212
20220828,1.38996
20220827,1.7518032
20220826,2.1168216
20220825,2.272374
20220824,2.27205
20220823,2.4817428
20220822,2.3831496
20220821,2.3273568
20220820,2.5681212
20220819,2.6060292
20220818,2.7764208
20220817,2.8889136
20220816,2.95164
20220815,3.2742468
20220814,2.9213136
20220813,3.2567184
20220812,2.9426004
20220811,2.9481732
20220810,2.6594244
20220809,2.6148744
20220808,2.978046
20220807,3.0016656
20220806,3.4906788
20220805,3.1763988
20220804,3.0224664
20220803,3.2338764
20220802,3.3713496
20220801,3.8429316
20220731,3.6336276
20220730,4.0862556
20220729,3.3433236
20220728,2.9475576
20220727,3.0385692
20220726,3.015792
20220725,3.54375
20220724,3.3722568
20220723,3.6059904
20220722,3.1624344
20220721,2.9321352
20220720,3.0116772
20220719,3.1738716
20220718,3.5584272
20220717,3.3451056
20220716,3.8060604
20220715,3.2210784
20220714,2.9988468
20220713,2.9256552
20220712,2.697462
20220711,3.391794
20220710,3.0391524
20220709,3.5062632
20220708,2.992788
20220707,2.7983232
20220706,3.0015684
20220705,2.5877556
20220704,3.1082616
20220703,2.7749628
20220702,3.2008608
20220701,2.6463996
20220630,2.430972
20220629,2.4137028
20220628,2.4492456
20220627,2.4317172
20220626,2.2158036
20220625,2.6239788
20220624,2.4023628
20220623,2.2440564
20220622,2.2514436
20220621,2.3378868
20220620,2.5016364
20220619,2.1751416
20220618,2.4583824
20220617,2.270754
20220616,2.2344984
20220615,2.2285692
20220614,2.2822236
20220613,2.3607936
20220612,2.0165436
20220611,2.3251536
20220610,2.282094
20220609,2.146014
20220608,2.0828016
20220607,2.2988772
20220606,2.5050384
20220605,2.3027976
20220604,2.5185168
20220603,3.7411308
20220602,2.872746
20220601,2.780406
20220531,2.9357964
20220530,2.9022948
20220529,2.2529664
20220528,2.4498288
20220527,2.213568
20220526,2.1129984
20220525,2.0815704
20220524,2.05983
20220523,2.069064
20220522,1.9563444
20220521,1.7414352
20220520,1.8150156
20220519,1.733238
20220518,1.772604
20220517,1.7841384
20220516,1.866564
20220515,1.5863364
20220514,1.7245872
20220513,1.6551216
20220512,1.4596524
20220511,1.6328952
20220510,1.6041888
20220509,1.4804856
20220508,1.2900708
20220507,1.403082
20220506,1.510002
20220505,1.7012268
20220504,1.5732792
20220503,1.357884
20220502,1.2889044
20220501,1.4597496
20220430,1.7170056
20220429,1.3904136
20220428,1.2751992
20220427,1.3613508
20220426,1.3343292
20220425,1.3829292
20220424,1.3208508
