时间,连通分量,分量的城市
20200101,1,"['白城', '兴安盟', '曲靖', '昆明', '楚雄彝族自治州', '玉溪', '红河哈尼族彝族自治州', '大理白族自治州', '昭通', '文山壮族苗族自治州', '丽江', '鄂尔多斯', '榆林', '西安', '延安', '忻州', '吕梁', '张家口', '北京', '大同', '通辽', '赤峰', '沈阳', '贺州', '梧州', '郑州', '驻马店', '信阳', '漯河', '南阳', '周口', '贵阳', '铜仁', '遵义', '重庆', '黔东南苗族侗族自治州', '长治', '太原', '晋城', '晋中', '辽阳', '鞍山', '哈尔滨', '牡丹江', '泸州', '毕节', '黔南布依族苗族自治州', '新乡', '焦作', '安阳', '宿州', '徐州', '淮北', '合肥', '蚌埠', '清远', '广州', '佛山', '韶关', '东莞', '恩施土家族苗族自治州', '湘西土家族苗族自治州', '抚顺', '凉山彝族自治州', '成都', '攀枝花', '益阳', '长沙', '岳阳', '常德', '呼和浩特', '乌兰察布', '包头', '巴彦淖尔', '德州', '济南', '衡水', '沧州', '聊城', '天津', '滨州', '鹤壁', '濮阳', '邯郸', '渭南', '咸阳', '湖州', '杭州', '嘉兴', '苏州', '宣城', '上海', '葫芦岛', '锦州', '秦皇岛', '北海', '钦州', '南宁', '邵阳', '娄底', '黄冈', '武汉', '黄石', '九江', '深圳', '梅州', '荆州', '宜昌', '承德', '唐山', '邢台', '石家庄', '保定', '镇江', '南京', '滁州', '马鞍山', '扬州', '常州', '无锡', '宿迁', '盐城', '南通', '泰州', '芜湖', '南昌', '金华', '绍兴', '衢州', '丽水', '温州', '宁波', '台州', '潜江', '潮州', '汕头', '揭阳', '庆阳', '铁岭', '四平', '淄博', '东营', '盘锦', '营口', '舟山', '泰安', '济宁', '临沂', '永州', '衡阳', '开封', '商丘', '廊坊', '潍坊', '抚州', '乌海', '连云港', '商洛', '六盘水', '肇庆', '云浮', '郴州', '株洲', '安顺', '枣庄', '本溪', '阳泉', '长春', '吉林', '朔州', '达州', '巴中', '宜春', '新余', '丹东', '青岛', '烟台', '日照', '来宾', '柳州', '桂林', '河池', '安庆', '池州', '许昌', '洛阳', '平顶山', '三门峡', '湘潭', '张家界', '绥化', '大庆', '齐齐哈尔', '安康', '南充', '广安', '黔西南布依族苗族自治州', '宝鸡', '怀化', '萍乡', '厦门', '龙岩', '漳州', '菏泽', '亳州', '泉州', '自贡', '内江', '湛江', '茂名', '玉林', '大连', '阜新', '朝阳', '鄂州', '孝感', '雅安', '防城港', '宁德', '眉山', '乐山', '莆田', '福州', '遂宁', '资阳', '汉中', '德阳', '绵阳', '广元', '甘孜藏族自治州', '佳木斯', '临汾', '运城', '随州', '仙桃', '上饶', '景德镇', '鹰潭', '铜川', '松原', '通化', '呼伦贝尔', '惠州', '中山', '河源', '江门', '汕尾', '济源', '崇左', '贵港', '三明', '吉安', '赣州', '百色', '威海', '六安', '珠海', '阜阳', '淮南', '咸宁', '阳江', '南平']"
20200101,2,"['保山', '德宏傣族景颇族自治州']"
20200101,3,"['西宁', '海西蒙古族藏族自治州']"
20200101,4,"['白银', '定西', '武威', '临夏回族自治州', '兰州', '天水']"
20200102,1,"['曲靖', '昆明', '红河哈尼族彝族自治州', '楚雄彝族自治州', '玉溪', '昭通', '大理白族自治州', '文山壮族苗族自治州', '丽江', '西安', '榆林', '鄂尔多斯', '延安', '张家口', '北京', '郑州', '驻马店', '信阳', '漯河', '贵阳', '铜仁', '遵义', '长治', '太原', '晋城', '晋中', '辽阳', '沈阳', '鞍山', '哈尔滨', '牡丹江', '重庆', '毕节', '泸州', '新乡', '焦作', '安阳', '宿州', '徐州', '淮北', '合肥', '清远', '广州', '佛山', '湘西土家族苗族自治州', '长沙', '抚顺', '成都', '凉山彝族自治州', '攀枝花', '益阳', '呼和浩特', '乌兰察布', '包头', '巴彦淖尔', '锡林郭勒盟', '德州', '济南', '天津', '衡水', '聊城', '沧州', '濮阳', '鹤壁', '邯郸', '渭南', '咸阳', '湖州', '杭州', '嘉兴', '上海', '苏州', '宣城', '葫芦岛', '锦州', '南宁', '北海', '钦州', '邵阳', '娄底', '黄冈', '武汉', '黄石', '深圳', '梅州', '宜昌', '荆州', '恩施土家族苗族自治州', '承德', '唐山', '保定', '石家庄', '邢台', '廊坊', '镇江', '南京', '滁州', '扬州', '马鞍山', '无锡', '常州', '宿迁', '盐城', '南通', '泰州', '连云港', '九江', '南昌', '金华', '衢州', '温州', '绍兴', '宁波', '丽水', '台州', '潮州', '汕头', '庆阳', '铁岭', '淄博', '滨州', '东营', '盘锦', '芜湖', '舟山', '泰安', '济宁', '临沂', '永州', '开封', '商丘', '潍坊', '抚州', '乌海', '商洛', '六盘水', '云浮', '肇庆', '衡阳', '郴州', '安顺', '枣庄', '本溪', '阳泉', '长春', '吉林', '揭阳', '大同', '朔州', '忻州', '达州', '宜春', '丹东', '青岛', '烟台', '来宾', '柳州', '桂林', '河池', '黔南布依族苗族自治州', '黔东南苗族侗族自治州', '安庆', '周口', '洛阳', '许昌', '南阳', '平顶山', '三门峡', '株洲', '湘潭', '张家界', '大庆', '绥化', '齐齐哈尔', '延边朝鲜族自治州', '秦皇岛', '安康', '南充', '黔西南布依族苗族自治州', '韶关', '宝鸡', '岳阳', '常德', '怀化', '厦门', '龙岩', '菏泽', '广安', '漳州', '泉州', '自贡', '内江', '湛江', '茂名', '大连', '朝阳', '营口', '阜新', '鄂州', '孝感', '雅安', '防城港', '宁德', '眉山', '乐山', '莆田', '福州', '遂宁', '汉中', '蚌埠', '日照', '德阳', '绵阳', '资阳', '巴中', '广元', '甘孜藏族自治州', '佳木斯', '黑河', '鸡西', '伊春', '临汾', '运城', '随州', '仙桃', '上饶', '景德镇', '铜川', '吕梁', '四平', '松原', '白城', '通化', '呼伦贝尔', '东莞', '惠州', '中山', '河源', '威海', '汕尾', '崇左', '玉林', '贵港', '三明', '赣州', '吉安', '百色', '六安', '珠海', '江门', '赤峰', '十堰', '淮南', '阜阳', '亳州', '咸宁', '阳江', '南平']"
20200102,2,"['保山', '德宏傣族景颇族自治州']"
20200102,3,"['西宁', '海西蒙古族藏族自治州']"
20200102,4,"['白银', '定西', '武威', '临夏回族自治州', '兰州', '天水']"
20200103,1,"['白城', '兴安盟', '曲靖', '昆明', '玉溪', '楚雄彝族自治州', '红河哈尼族彝族自治州', '昭通', '大理白族自治州', '文山壮族苗族自治州', '保山', '丽江', '西双版纳傣族自治州', '重庆', '临沧', '六盘水', '成都', '西安', '榆林', '鄂尔多斯', '延安', '忻州', '吕梁', '张家口', '北京', '石家庄', '保定', '天津', '大同', '通辽', '赤峰', '沈阳', '贺州', '桂林', '梧州', '郑州', '驻马店', '信阳', '漯河', '周口', '南阳', '贵阳', '铜仁', '遵义', '黔东南苗族侗族自治州', '长治', '太原', '晋城', '晋中', '临汾', '辽阳', '鞍山', '哈尔滨', '牡丹江', '毕节', '泸州', '黔南布依族苗族自治州', '新乡', '安阳', '焦作', '开封', '鹤壁', '淮北', '宿州', '徐州', '合肥', '蚌埠', '商丘', '清远', '广州', '佛山', '韶关', '东莞', '深圳', '湘西土家族苗族自治州', '长沙', '怀化', '恩施土家族苗族自治州', '抚顺', '凉山彝族自治州', '攀枝花', '益阳', '岳阳', '常德', '呼和浩特', '乌兰察布', '包头', '巴彦淖尔', '锡林郭勒盟', '德宏傣族景颇族自治州', '德州', '济南', '衡水', '沧州', '聊城', '滨州', '濮阳', '邯郸', '渭南', '咸阳', '湖州', '杭州', '苏州', '嘉兴', '宣城', '上海', '葫芦岛', '锦州', '秦皇岛', '南宁', '北海', '钦州', '邵阳', '娄底', '黄冈', '武汉', '黄石', '九江', '鄂州', '梅州', '宜昌', '荆州', '承德', '唐山', '邢台', '廊坊', '镇江', '南京', '滁州', '马鞍山', '扬州', '常州', '无锡', '南通', '宿迁', '盐城', '泰州', '芜湖', '连云港', '南昌', '金华', '绍兴', '衢州', '宁波', '上饶', '丽水', '温州', '台州', '潜江', '潮州', '汕头', '揭阳', '庆阳', '铁岭', '四平', '辽源', '长春', '淄博', '东营', '潍坊', '盘锦', '营口', '舟山', '阜阳', '六安', '泰安', '济宁', '临沂', '永州', '衡阳', '郴州', '许昌', '海西蒙古族藏族自治州', '西宁', '兰州', '抚州', '乌海', '商洛', '武威', '肇庆', '云浮', '株洲', '安顺', '枣庄', '本溪', '阳泉', '亳州', '吉林', '朔州', '天水', '陇南', '达州', '巴中', '宜春', '新余', '萍乡', '丹东', '大连', '青岛', '烟台', '日照', '来宾', '柳州', '河池', '安庆', '池州', '铜陵', '洛阳', '平顶山', '三门峡', '湘潭', '张家界', '定西', '绥化', '大庆', '齐齐哈尔', '运城', '自贡', '延边朝鲜族自治州', '安康', '南充', '广安', '绵阳', '广元', '遂宁', '黔西南布依族苗族自治州', '宝鸡', '厦门', '龙岩', '漳州', '福州', '泉州', '菏泽', '平凉', '内江', '湛江', '茂名', '玉林', '阜新', '朝阳', '孝感', '雅安', '防城港', '宁德', '眉山', '乐山', '莆田', '资阳', '汉中', '德阳', '甘孜藏族自治州', '佳木斯', '黑河', '伊春', '鸡西', '随州', '仙桃', '景德镇', '鹰潭', '铜川', '松原', '通化', '白山', '呼伦贝尔', '惠州', '中山', '河源', '江门', '珠海', '威海', '汕尾', '济源', '崇左', '贵港', '鹤岗', '三明', '南平', '临夏回族自治州', '赣州', '吉安', '百色', '淮南', '白银', '十堰', '咸宁', '天门', '阳江']"
20200104,1,"['白城', '兴安盟', '通辽', '曲靖', '昆明', '楚雄彝族自治州', '玉溪', '红河哈尼族彝族自治州', '昭通', '大理白族自治州', '文山壮族苗族自治州', '保山', '临沧', '丽江', '重庆', '西双版纳傣族自治州', '六盘水', '成都', '凉山彝族自治州', '鄂尔多斯', '榆林', '西安', '延安', '吕梁', '忻州', '张家口', '北京', '大同', '石家庄', '保定', '乌兰察布', '天津', '锡林郭勒盟', '赤峰', '沈阳', '阜新', '贺州', '桂林', '梧州', '郑州', '驻马店', '信阳', '漯河', '周口', '南阳', '阜阳', '平顶山', '贵阳', '铜仁', '遵义', '怀化', '黔东南苗族侗族自治州', '长治', '太原', '晋城', '晋中', '邯郸', '临汾', '辽阳', '鞍山', '哈尔滨', '牡丹江', '泸州', '毕节', '黔南布依族苗族自治州', '新乡', '安阳', '焦作', '开封', '鹤壁', '宿州', '徐州', '淮北', '合肥', '蚌埠', '商丘', '清远', '广州', '佛山', '韶关', '东莞', '深圳', '肇庆', '百色', '恩施土家族苗族自治州', '湘西土家族苗族自治州', '长沙', '张家界', '抚顺', '攀枝花', '益阳', '岳阳', '常德', '娄底', '呼和浩特', '包头', '巴彦淖尔', '德宏傣族景颇族自治州', '德州', '济南', '衡水', '聊城', '沧州', '滨州', '濮阳', '渭南', '咸阳', '运城', '铜川', '湖州', '杭州', '嘉兴', '苏州', '上海', '宣城', '葫芦岛', '锦州', '秦皇岛', '朝阳', '南宁', '北海', '钦州', '玉林', '邵阳', '黄冈', '武汉', '黄石', '九江', '鄂州', '梅州', '揭阳', '荆州', '宜昌', '承德', '唐山', '邢台', '廊坊', '阳泉', '镇江', '南京', '滁州', '马鞍山', '扬州', '常州', '无锡', '南通', '宿迁', '盐城', '泰州', '芜湖', '连云港', '南昌', '金华', '绍兴', '衢州', '宁波', '丽水', '上饶', '温州', '台州', '潜江', '潮州', '汕头', '庆阳', '平凉', '兰州', '铁岭', '四平', '辽源', '长春', '通化', '淄博', '东营', '潍坊', '盘锦', '营口', '舟山', '泰安', '济宁', '临沂', '永州', '衡阳', '郴州', '菏泽', '许昌', '海西蒙古族藏族自治州', '西宁', '抚州', '乌海', '商洛', '武威', '金昌', '黔西南布依族苗族自治州', '云浮', '株洲', '安顺', '枣庄', '本溪', '亳州', '吉林', '延边朝鲜族自治州', '朔州', '天水', '陇南', '达州', '巴中', '广安', '宜春', '新余', '吉安', '萍乡', '丹东', '大连', '青岛', '烟台', '日照', '来宾', '柳州', '河池', '安庆', '池州', '铜陵', '洛阳', '三门峡', '济源', '湘潭', '定西', '绥化', '大庆', '齐齐哈尔', '自贡', '安康', '南充', '广元', '绵阳', '遂宁', '宝鸡', '厦门', '龙岩', '漳州', '泉州', '福州', '内江', '乐山', '湛江', '茂名', '孝感', '随州', '雅安', '临夏回族自治州', '防城港', '宁德', '眉山', '莆田', '资阳', '汉中', '德阳', '甘孜藏族自治州', '汕尾', '佳木斯', '黑河', '伊春', '鸡西', '仙桃', '景德镇', '鹰潭', '松原', '白山', '呼伦贝尔', '惠州', '中山', '河源', '江门', '珠海', '威海', '崇左', '贵港', '鹤岗', '三明', '南平', '赣州', '六安', '淮南', '白银', '十堰', '咸宁', '天门', '阳江']"
