0,1,2
上海,常州,{'weight': 0.0733610843999999}
徐州,南京,{'weight': 0.07189404075}
南昌,吉安,{'weight': 0.0695543986799999}
南京,泰州,{'weight': 0.0672825633299999}
大庆,哈尔滨,{'weight': 0.0637600361399999}
北海,南宁,{'weight': 0.0620536812299999}
广州,河源,{'weight': 0.0598687985699999}
沈阳,营口,{'weight': 0.0595341357299999}
深圳,珠海,{'weight': 0.0564241212899999}
苏州,宿迁,{'weight': 0.0548715829499999}
上海,绍兴,{'weight': 0.0546546908699999}
松原,白城,{'weight': 0.0534037949099999}
长春,白城,{'weight': 0.0531185566499999}
沈阳,朝阳,{'weight': 0.0530235071999999}
保定,天津,{'weight': 0.0527968400399999}
合肥,南京,{'weight': 0.0524671117199999}
湖州,上海,{'weight': 0.0522381854699999}
哈尔滨,佳木斯,{'weight': 0.05133412584}
上海,舟山,{'weight': 0.0499640553899999}
苏州,镇江,{'weight': 0.0490743878399999}
苏州,宁波,{'weight': 0.0489503784599999}
葫芦岛,秦皇岛,{'weight': 0.04694641173}
徐州,连云港,{'weight': 0.0450830901599999}
宁波,温州,{'weight': 0.0447976040399999}
焦作,洛阳,{'weight': 0.04413682629}
三明,南平,{'weight': 0.04385684412}
乌兰察布,大同,{'weight': 0.0437636066399999}
鞍山,盘锦,{'weight': 0.04322170449}
佛山,珠海,{'weight': 0.0430139265299999}
贺州,梧州,{'weight': 0.0425350925999999}
淄博,临沂,{'weight': 0.04168567962}
