city_name_remove,city_id_name_remove
南阳,平顶山
榆林,忻州
宣城,南京
驻马店,南阳
榆林,吕梁
娄底,湘潭
嘉兴,绍兴
漯河,周口
荆州,潜江
镇江,扬州
鞍山,盘锦
黄冈,九江
常州,泰州
通辽,沈阳
益阳,岳阳
周口,许昌
商丘,菏泽
上饶,鹰潭
清远,东莞
曲靖,红河哈尼族彝族自治州
聊城,邯郸
梧州,贵港
潮州,揭阳
重庆,资阳
遵义,黔南布依族苗族自治州
周口,开封
宿州,蚌埠
淄博,东营
葫芦岛,秦皇岛
东莞,江门
宜春,新余
长沙,萍乡
永州,衡阳
铜仁,重庆
黔南布依族苗族自治州,安顺
定西,临夏回族自治州
漯河,平顶山
周口,阜阳
恩施土家族苗族自治州,湘西土家族苗族自治州
佛山,珠海
常德,张家界
白城,松原
西安,运城
铜仁,黔东南苗族侗族自治州
徐州,连云港
湛江,玉林
钦州,防城港
深圳,江门
六盘水,黔西南布依族苗族自治州
商丘,亳州
安顺,黔西南布依族苗族自治州
衡水,邢台
焦作,洛阳
镇江,无锡
益阳,常德
聊城,邢台
白城,兴安盟
贺州,梧州
内江,资阳
徐州,枣庄
南京,芜湖
盐城,连云港
六盘水,安顺
焦作,济源
宿迁,连云港
德州,滨州
南充,广安
滁州,扬州
忻州,朔州
盘锦,营口
赤峰,朝阳
遂宁,绵阳
大同,乌兰察布
龙岩,漳州
铁岭,四平
通辽,赤峰
清远,韶关
安庆,池州
达州,巴中
茂名,玉林
张家口,大同
驻马店,周口
徐州,济宁
潍坊,日照
晋中,临汾
衡阳,株洲
