city_name_add,city_id_name_add
芜湖,铜陵
郑州,济源
长沙,上海
通化,白山
昆明,凉山彝族自治州
驻马店,平顶山
吉林,延边朝鲜族自治州
石家庄,太原
韶关,深圳
兴安盟,通辽
东莞,肇庆
天津,承德
嘉兴,金华
庆阳,兰州
南阳,洛阳
蚌埠,亳州
西安,平凉
辽源,通化
韶关,郴州
聊城,泰安
乌兰察布,锡林郭勒盟
株洲,萍乡
益阳,娄底
达州,广安
大理白族自治州,临沧
北海,玉林
蚌埠,淮南
百色,河池
洛阳,济源
赤峰,承德
上海,宿迁
定西,临夏回族自治州
绥化,齐齐哈尔
绍兴,台州
重庆,自贡
文山壮族苗族自治州,百色
清远,肇庆
怀化,黔东南苗族侗族自治州
宜春,吉安
保山,临沧
庆阳,平凉
石家庄,阳泉
邯郸,濮阳
徐州,淮北
钦州,玉林
湘西土家族苗族自治州,张家界
来宾,贵港
张家口,乌兰察布
天津,上海
池州,铜陵
深圳,肇庆
张家口,锡林郭勒盟
信阳,阜阳
铜仁,怀化
周口,亳州
镇江,泰州
通辽,阜新
重庆,广州
扬州,常州
临沂,菏泽
深圳,赣州
渭南,运城
孝感,随州
揭阳,汕尾
菏泽,青岛
梅州,揭阳
曲靖,黔西南布依族苗族自治州
濮阳,菏泽
常德,荆州
鄂尔多斯,忻州
自贡,乐山
长治,邯郸
驻马店,阜阳
哈尔滨,吉林
聊城,菏泽
天津,滨州
葫芦岛,朝阳
阜新,锦州
巴中,南充
沧州,滨州
武威,金昌
信阳,六安
曲靖,毕节
渭南,铜川
开封,菏泽
北京,烟台
石家庄,承德
百色,黔西南布依族苗族自治州
