edges,indicator_value
驻马店-平顶山,2.4604
石家庄-太原,2.4604
金华-上饶,2.4604
庆阳-兰州,2.4603
西安-平凉,2.4603
大理白族自治州-临沧,2.4603
绥化-齐齐哈尔,2.4603
庆阳-平凉,2.4603
钦州-玉林,2.4603
扬州-盐城,2.4602
天水-定西,2.4602
保定-邯郸,2.4602
扬州-常州,2.4602
临沂-菏泽,2.4602
扬州-南通,2.4602
巴中-南充,2.4601
聊城-菏泽,2.4600
张家口-天津,2.4598
菏泽-青岛,2.4597
天津-滨州,2.4594
周口-亳州,2.4587
驻马店-阜阳,2.4587
沧州-滨州,2.4585
天津-承德,2.4583
信阳-阜阳,2.4583
清远-肇庆,2.4582
深圳-肇庆,2.4582
石家庄-承德,2.4582
邯郸-濮阳,2.4581
濮阳-菏泽,2.4581
张家口-乌兰察布,2.4577
蚌埠-亳州,2.4573
北京-烟台,2.4570
张家口-锡林郭勒盟,2.4565
绍兴-台州,2.4562
郑州-济源,2.4559
洛阳-济源,2.4559
葫芦岛-朝阳,2.4558
通辽-阜新,2.4557
南阳-洛阳,2.4549
乌兰察布-锡林郭勒盟,2.4549
赤峰-承德,2.4549
长治-晋中,2.4549
吕梁-临汾,2.4549
长治-临汾,2.4549
聊城-泰安,2.4548
太原-晋城,2.4548
渭南-铜川,2.4548
鄂尔多斯-忻州,2.4532
长治-邯郸,2.4521
石家庄-阳泉,2.4516
来宾-贵港,2.4504
运城-三门峡,2.4503
榆林-吕梁,2.4502
自贡-乐山,2.4493
渭南-运城,2.4472
延安-渭南,2.4472
佛山-贵港,2.4377
