edges,indicator_value
张家口-保定,2.2338
张家口-石家庄,2.2335
兴安盟-齐齐哈尔,2.2293
渭南-运城,2.2291
延安-渭南,2.2291
抚州-鹰潭,2.2252
韶关-赣州,2.2251
广州-赣州,2.2224
上饶-抚州,2.2196
黄冈-孝感,2.2180
孝感-天门,2.2180
南阳-十堰,2.2135
南昌-鹰潭,2.2124
百色-崇左,2.2124
哈尔滨-吉林,2.2124
贺州-永州,2.2115
重庆-德阳,2.2111
遂宁-德阳,2.2111
嘉兴-绍兴,2.2100
徐州-淮北,2.2100
淮北-合肥,2.2098
桂林-来宾,2.2096
唐山-廊坊,2.2096
佛山-惠州,2.2096
保定-唐山,2.2096
恩施土家族苗族自治州-武汉,2.2096
信阳-南阳,2.2093
宿迁-盐城,2.2089
宿迁-苏州,2.2088
昭通-重庆,2.2084
重庆-荆州,2.2084
娄底-衡阳,2.2084
赤峰-承德,2.2073
周口-洛阳,2.2073
徐州-苏州,2.2072
扬州-南通,2.2072
扬州-盐城,2.2071
武汉-深圳,2.2071
苏州-扬州,2.2071
保定-邯郸,2.2071
阜阳-上海,2.2071
葫芦岛-朝阳,2.2071
广州-武汉,2.2070
庆阳-平凉,2.2070
昆明-德宏傣族景颇族自治州,2.2070
重庆-武汉,2.2069
合肥-池州,2.2069
滨州-潍坊,2.2069
北京-长春,2.2069
齐齐哈尔-绥化,2.2069
兰州-陇南,2.2069
牡丹江-鸡西,2.2069
龙岩-泉州,2.2069
宿州-亳州,2.2069
桂林-梧州,2.2068
赤峰-锡林郭勒盟,2.1984
呼和浩特-锡林郭勒盟,2.1984
