city_name,indicator_value,edgenum
周口,1.46,5
安顺,1.46,3
徐州,1.45,3
连云港,1.45,3
漯河,1.45,2
益阳,1.45,2
重庆,1.45,2
资阳,1.44,2
平顶山,1.44,2
白城,1.43,2
常德,1.43,2
南京,1.42,2
六盘水,1.42,2
盘锦,1.40,2
黔南布依族苗族自治州,1.40,2
江门,1.40,2
驻马店,1.40,2
榆林,1.39,2
忻州,1.38,2
聊城,1.38,2
东莞,1.38,2
铜仁,1.37,2
玉林,1.36,2
黔西南布依族苗族自治州,1.36,2
镇江,1.36,2
清远,1.36,2
邢台,1.36,2
扬州,1.36,2
南阳,1.36,2
商丘,1.31,2
通辽,1.30,2
衡阳,1.27,2
赤峰,1.27,2
大同,1.23,2
梧州,1.21,2
焦作,1.18,2
岳阳,1.18,1
定西,1.18,1
临夏回族自治州,1.18,1
松原,1.18,1
钦州,1.18,1
防城港,1.18,1
内江,1.18,1
芜湖,1.18,1
南充,1.18,1
广安,1.18,1
鞍山,1.18,1
许昌,1.18,1
遵义,1.18,1
深圳,1.18,1
营口,1.18,1
龙岩,1.18,1
漳州,1.18,1
嘉兴,1.18,1
绍兴,1.18,1
常州,1.18,1
泰州,1.18,1
邯郸,1.18,1
佛山,1.18,1
珠海,1.18,1
济宁,1.18,1
湛江,1.18,1
无锡,1.18,1
韶关,1.18,1
衡水,1.18,1
茂名,1.18,1
黔东南苗族侗族自治州,1.18,1
吕梁,1.18,1
晋中,1.17,1
临汾,1.17,1
西安,1.15,1
运城,1.15,1
枣庄,1.15,1
盐城,1.15,1
滁州,1.15,1
宣城,1.15,1
淄博,1.15,1
东营,1.15,1
宿迁,1.15,1
开封,1.15,1
潍坊,1.15,1
日照,1.15,1
宿州,1.15,1
蚌埠,1.15,1
亳州,1.15,1
沈阳,1.15,1
潮州,1.15,1
揭阳,1.15,1
永州,1.15,1
朝阳,1.15,1
达州,1.14,1
巴中,1.14,1
阜阳,1.14,1
朔州,1.14,1
菏泽,1.14,1
张家口,1.14,1
荆州,1.14,1
潜江,1.14,1
上饶,1.13,1
鹰潭,1.13,1
宜春,1.12,1
新余,1.12,1
长沙,1.12,1
萍乡,1.12,1
恩施土家族苗族自治州,1.11,1
湘西土家族苗族自治州,1.11,1
张家界,1.11,1
兴安盟,1.11,1
贺州,1.11,1
济源,1.11,1
安庆,1.10,1
池州,1.10,1
娄底,1.10,1
湘潭,1.10,1
德州,1.10,1
滨州,1.10,1
贵港,1.10,1
曲靖,1.09,1
红河哈尼族彝族自治州,1.09,1
遂宁,1.08,1
绵阳,1.08,1
洛阳,1.08,1
株洲,1.08,1
铁岭,1.07,1
四平,1.07,1
乌兰察布,1.07,1
黄冈,1.05,1
九江,1.05,1
葫芦岛,1.03,1
秦皇岛,1.03,1
