city_name,indicator_value,edgenum
重庆,2.21,4
武汉,2.22,4
保定,2.25,3
苏州,2.25,3
扬州,2.25,3
张家口,2.25,2
齐齐哈尔,2.28,2
渭南,2.31,2
抚州,2.33,2
鹰潭,2.33,2
赣州,2.35,2
广州,2.35,2
孝感,2.38,2
南阳,2.39,2
德阳,2.39,2
徐州,2.39,2
淮北,2.39,2
合肥,2.39,2
桂林,2.40,2
唐山,2.40,2
宿迁,2.40,2
盐城,2.40,2
赤峰,2.39,2
锡林郭勒盟,2.44,2
石家庄,2.44,1
兴安盟,2.44,1
运城,2.44,1
延安,2.44,1
韶关,2.44,1
上饶,2.44,1
黄冈,2.44,1
天门,2.44,1
十堰,2.44,1
南昌,2.44,1
百色,2.45,1
崇左,2.45,1
哈尔滨,2.45,1
吉林,2.45,1
贺州,2.46,1
永州,2.46,1
遂宁,2.46,1
嘉兴,2.46,1
绍兴,2.46,1
来宾,2.46,1
廊坊,2.46,1
佛山,2.47,1
惠州,2.47,1
恩施土家族苗族自治州,2.47,1
信阳,2.47,1
昭通,2.47,1
荆州,2.47,1
娄底,2.47,1
衡阳,2.47,1
承德,2.47,1
周口,2.47,1
洛阳,2.47,1
南通,2.47,1
深圳,2.47,1
邯郸,2.47,1
阜阳,2.47,1
上海,2.47,1
葫芦岛,2.48,1
朝阳,2.48,1
庆阳,2.48,1
平凉,2.48,1
昆明,2.48,1
德宏傣族景颇族自治州,2.48,1
池州,2.48,1
滨州,2.48,1
潍坊,2.48,1
北京,2.48,1
长春,2.48,1
绥化,2.48,1
兰州,2.48,1
陇南,2.48,1
牡丹江,2.48,1
鸡西,2.48,1
龙岩,2.48,1
泉州,2.48,1
宿州,2.48,1
亳州,2.48,1
梧州,2.48,1
呼和浩特,2.48,1
