city_name_add,city_id_name_add
长春,吉林
鄂尔多斯,呼和浩特
上饶,景德镇
厦门,龙岩
安阳,鹤壁
佛山,深圳
南京,马鞍山
周口,亳州
忻州,太原
吕梁,太原
湛江,玉林
郑州,洛阳
徐州,临沂
南充,广元
兰州,白银
保山,德宏傣族景颇族自治州
深圳,汕尾
南昌,宜春
玉林,南宁
广元,绵阳
常德,张家界
贵阳,黔东南苗族侗族自治州
成都,广元
郑州,新乡
宁波,台州
铜仁,黔东南苗族侗族自治州
泰州,无锡
周口,开封
昆明,大理白族自治州
朝阳,赤峰
榆林,忻州
郑州,开封
镇江,南京
周口,驻马店
泉州,三明
宿州,商丘
沈阳,锦州
大理白族自治州,丽江
周口,郑州
广州,肇庆
广州,韶关
眉山,乐山
郑州,许昌
杭州,宁波
新乡,安阳
肇庆,云浮
南京,滁州
太原,晋中
杭州,衢州
惠州,河源
安庆,合肥
南昌,抚州
杭州,嘉兴
巴中,南充
许昌,漯河
长春,松原
鞍山,营口
驻马店,阜阳
兰州,临夏回族自治州
长春,四平
南昌,上饶
杭州,绍兴
新乡,焦作
广州,茂名
杭州,金华
南宁,贵港
成都,乐山
贵港,梧州
九江,南昌
沈阳,鞍山
湖州,杭州
安阳,濮阳
