edges,indicator_value
哈尔滨-绥化,24
汕尾-深圳,23
曲靖-黔西南布依族苗族自治州,23
成都-巴中,23
凉山彝族自治州-攀枝花,23
南昌-抚州,23
湖州-苏州,23
曲靖-昭通,23
衡水-沧州,23
福州-三明,23
广州-珠海,23
杭州-上海,23
成都-达州,23
东莞-中山,23
贵阳-黔东南苗族侗族自治州,23
呼和浩特-乌兰察布,23
成都-自贡,23
昆明-文山壮族苗族自治州,23
成都-广元,23
郑州-焦作,23
曲靖-红河哈尼族彝族自治州,23
柳州-桂林,23
佛山-深圳,23
丽水-温州,23
鄂尔多斯-乌海,23
重庆-恩施土家族苗族自治州,23
文山壮族苗族自治州-百色,23
驻马店-漯河,23
广州-韶关,23
上海-无锡,23
鞍山-盘锦,23
邯郸-石家庄,23
周口-亳州,23
周口-开封,23
贺州-梧州,23
周口-漯河,23
滨州-东营,23
定西-临夏回族自治州,23
烟台-威海,23
宁波-舟山,23
沈阳-阜新,23
郑州-商丘,23
大理白族自治州-临沧,23
清远-韶关,23
芜湖-宣城,23
营口-大连,23
贵阳-六盘水,23
金华-绍兴,23
南京-扬州,23
揭阳-汕尾,23
合肥-芜湖,23
杭州-衢州,23
洛阳-平顶山,23
柳州-河池,22
柳州-南宁,22
济南-淄博,22
南昌-上饶,22
阜阳-合肥,22
延安-西安,22
来宾-南宁,22
济南-滨州,22
大理白族自治州-保山,22
