city_name,indicator_value,edgenum,degree
成都,31,3,"[('成都', 5)]"
重庆,32,2,"[('重庆', 1)]"
郑州,34,2,"[('郑州', 1)]"
广州,34,2,"[('广州', 6)]"
江门,35,2,"[('江门', 0)]"
石家庄,36,1,"[('石家庄', 2)]"
衡水,36,1,"[('衡水', 0)]"
唐山,37,1,"[('唐山', 1)]"
秦皇岛,37,1,"[('秦皇岛', 0)]"
遂宁,37,1,"[('遂宁', 0)]"
泸州,37,1,"[('泸州', 1)]"
新乡,37,1,"[('新乡', 0)]"
许昌,37,1,"[('许昌', 0)]"
忻州,38,1,"[('忻州', 0)]"
太原,38,1,"[('太原', 2)]"
呼和浩特,39,1,"[('呼和浩特', 0)]"
包头,39,1,"[('包头', 0)]"
乐山,39,1,"[('乐山', 0)]"
南京,40,1,"[('南京', 1)]"
滁州,40,1,"[('滁州', 0)]"
淄博,41,1,"[('淄博', 1)]"
潍坊,41,1,"[('潍坊', 1)]"
衡阳,41,1,"[('衡阳', 3)]"
株洲,41,1,"[('株洲', 2)]"
中山,41,1,"[('中山', 2)]"
娄底,41,1,"[('娄底', 2)]"
湘潭,41,1,"[('湘潭', 2)]"
佛山,41,1,"[('佛山', 3)]"
