city_name,indicator_value,edgenum,degree
苏州,8,3,"[('苏州', 13)]"
上海,8,3,"[('上海', 11)]"
南京,8,3,"[('南京', 15)]"
宁波,8,2,"[('宁波', 9)]"
沈阳,7,2,"[('沈阳', 10)]"
哈尔滨,7,2,"[('哈尔滨', 4)]"
白城,7,2,"[('白城', 2)]"
徐州,7,2,"[('徐州', 7)]"
珠海,7,2,"[('珠海', 5)]"
温州,7,1,"[('温州', 6)]"
舟山,7,1,"[('舟山', 2)]"
营口,7,1,"[('营口', 4)]"
三明,7,1,"[('三明', 3)]"
南平,7,1,"[('南平', 2)]"
保定,7,1,"[('保定', 6)]"
天津,7,1,"[('天津', 6)]"
大庆,7,1,"[('大庆', 2)]"
松原,7,1,"[('松原', 2)]"
泰州,7,1,"[('泰州', 7)]"
淄博,7,1,"[('淄博', 4)]"
临沂,7,1,"[('临沂', 10)]"
宿迁,7,1,"[('宿迁', 4)]"
佳木斯,7,1,"[('佳木斯', 1)]"
鞍山,7,1,"[('鞍山', 4)]"
盘锦,7,1,"[('盘锦', 3)]"
贺州,7,1,"[('贺州', 1)]"
梧州,7,1,"[('梧州', 2)]"
南昌,7,1,"[('南昌', 6)]"
吉安,7,1,"[('吉安', 2)]"
广州,7,1,"[('广州', 20)]"
河源,7,1,"[('河源', 4)]"
深圳,7,1,"[('深圳', 13)]"
佛山,7,1,"[('佛山', 10)]"
镇江,7,1,"[('镇江', 4)]"
合肥,7,1,"[('合肥', 12)]"
常州,7,1,"[('常州', 6)]"
北海,7,1,"[('北海', 2)]"
南宁,7,1,"[('南宁', 11)]"
焦作,7,1,"[('焦作', 3)]"
洛阳,7,1,"[('洛阳', 4)]"
长春,7,1,"[('长春', 5)]"
湖州,7,1,"[('湖州', 5)]"
连云港,7,1,"[('连云港', 4)]"
乌兰察布,6,1,"[('乌兰察布', 2)]"
大同,6,1,"[('大同', 2)]"
朝阳,6,1,"[('朝阳', 2)]"
葫芦岛,5,1,"[('葫芦岛', 2)]"
秦皇岛,5,1,"[('秦皇岛', 2)]"
