city_name_remove,city_id_name_remove
清远,韶关
周口,阜阳
西安,运城
上饶,鹰潭
镇江,扬州
重庆,资阳
忻州,朔州
安庆,池州
荆州,潜江
通辽,沈阳
长沙,萍乡
商丘,亳州
驻马店,周口
徐州,济宁
常德,张家界
榆林,忻州
贺州,梧州
潍坊,日照
钦州,防城港
聊城,邯郸
宣城,南京
赤峰,朝阳
焦作,济源
徐州,连云港
永州,衡阳
遵义,黔南布依族苗族自治州
白城,兴安盟
内江,资阳
黄冈,九江
驻马店,南阳
安顺,黔西南布依族苗族自治州
宿州,蚌埠
六盘水,黔西南布依族苗族自治州
湛江,玉林
东莞,江门
梧州,贵港
漯河,平顶山
聊城,邢台
龙岩,漳州
焦作,洛阳
佛山,珠海
葫芦岛,秦皇岛
嘉兴,绍兴
益阳,岳阳
鞍山,盘锦
大同,乌兰察布
恩施土家族苗族自治州,湘西土家族苗族自治州
南充,广安
铜仁,黔东南苗族侗族自治州
漯河,周口
茂名,玉林
益阳,常德
铁岭,四平
淄博,东营
徐州,枣庄
周口,开封
周口,许昌
通辽,赤峰
南京,芜湖
六盘水,安顺
清远,东莞
铜仁,重庆
常州,泰州
白城,松原
黔南布依族苗族自治州,安顺
潮州,揭阳
宿迁,连云港
榆林,吕梁
滁州,扬州
达州,巴中
晋中,临汾
深圳,江门
盐城,连云港
娄底,湘潭
定西,临夏回族自治州
宜春,新余
南阳,平顶山
镇江,无锡
盘锦,营口
商丘,菏泽
曲靖,红河哈尼族彝族自治州
德州,滨州
张家口,大同
遂宁,绵阳
衡水,邢台
衡阳,株洲
