city_name_add,city_id_name_add
清远,韶关
周口,阜阳
西安,运城
南充,广元
上饶,鹰潭
镇江,扬州
杭州,无锡
重庆,资阳
广州,武汉
北京,菏泽
忻州,朔州
兰州,陇南
梧州,佛山
安庆,池州
荆州,潜江
丹东,大连
济宁,青岛
唐山,廊坊
张家口,石家庄
通辽,沈阳
天津,衡水
长沙,萍乡
商丘,亳州
驻马店,周口
合肥,池州
常德,张家界
徐州,济宁
宜春,萍乡
常州,南通
榆林,忻州
淮北,合肥
贺州,梧州
潍坊,日照
天水,定西
钦州,防城港
聊城,邯郸
北京,长沙
宣城,南京
昆明,成都
重庆,西安
赤峰,朝阳
重庆,上海
漳州,福州
延安,渭南
焦作,济源
信阳,武汉
郑州,武汉
徐州,连云港
新乡,鹤壁
太原,晋城
深圳,武汉
东莞,湛江
茂名,阳江
永州,衡阳
遵义,黔南布依族苗族自治州
白城,兴安盟
衢州,上饶
大理白族自治州,保山
北京,合肥
长春,白山
泸州,自贡
内江,资阳
黄冈,九江
苏州,连云港
保定,邢台
驻马店,南阳
辽源,长春
岳阳,荆州
南充,绵阳
合肥,苏州
合肥,宣城
安顺,黔西南布依族苗族自治州
沧州,唐山
扬州,无锡
三明,南平
宿州,蚌埠
六盘水,黔西南布依族苗族自治州
长治,临汾
南充,遂宁
湛江,玉林
梧州,南宁
长沙,宜春
东莞,江门
保定,邯郸
桂林,永州
梧州,贵港
漯河,平顶山
黄冈,鄂州
聊城,邢台
龙岩,漳州
西安,天水
焦作,洛阳
郑州,上海
贺州,桂林
齐齐哈尔,黑河
佛山,珠海
滨州,潍坊
吕梁,临汾
葫芦岛,秦皇岛
保定,唐山
杭州,宣城
嘉兴,绍兴
益阳,岳阳
鞍山,盘锦
六安,淮南
大同,乌兰察布
南充,广安
铜仁,黔东南苗族侗族自治州
杭州,上饶
天津,秦皇岛
张家口,天津
漯河,周口
宿州,商丘
重庆,铜仁
永州,郴州
西安,郑州
茂名,玉林
重庆,宜昌
益阳,常德
铁岭,四平
淄博,东营
西安,上海
徐州,枣庄
周口,开封
周口,许昌
安庆,铜陵
广州,郴州
通辽,赤峰
南京,芜湖
连云港,日照
合肥,铜陵
三门峡,运城
清远,深圳
天水,陇南
开封,许昌
六盘水,安顺
恩施土家族苗族自治州,武汉
赤峰,锡林郭勒盟
绵阳,遂宁
清远,东莞
上海,六安
湘西土家族苗族自治州,恩施土家族苗族自治州
常州,泰州
楚雄彝族自治州,大理白族自治州
南昌,新余
济南,东营
江门,阳江
西宁,兰州
白城,松原
兰州,平凉
黔南布依族苗族自治州,安顺
厦门,莆田
昆明,临沧
北京,聊城
潮州,揭阳
湘西土家族苗族自治州,怀化
西安,兰州
宿迁,连云港
阜阳,六安
榆林,吕梁
佛山,茂名
滁州,扬州
上海,南昌
达州,巴中
龙岩,福州
晋中,临汾
上海,阜阳
深圳,江门
东莞,珠海
盐城,连云港
淄博,临沂
济南,日照
扬州,南通
南昌,景德镇
巴彦淖尔,乌海
成都,贵阳
天津,济南
北京,潍坊
昆明,西双版纳傣族自治州
曲靖,昭通
娄底,湘潭
武汉,潜江
昆明,保山
龙岩,泉州
宣城,上海
宜春,新余
南阳,平顶山
武汉,天门
扬州,盐城
镇江,无锡
厦门,三明
淮北,亳州
昆明,六盘水
成都,深圳
昆明,重庆
佳木斯,鹤岗
北京,济宁
盘锦,营口
商丘,菏泽
金华,上饶
怀化,邵阳
成都,广州
北京,大连
曲靖,红河哈尼族彝族自治州
新乡,开封
德州,滨州
张家口,大同
张家口,保定
合肥,杭州
南昌,鹰潭
衡水,邢台
衡阳,株洲
