city_name,city_name_another
白城,兴安盟
白城,长春
白城,松原
曲靖,昆明
曲靖,六盘水
曲靖,红河哈尼族彝族自治州
昆明,楚雄彝族自治州
昆明,玉溪
昆明,红河哈尼族彝族自治州
昆明,大理白族自治州
昆明,昭通
昆明,文山壮族苗族自治州
昆明,丽江
玉溪,红河哈尼族彝族自治州
红河哈尼族彝族自治州,文山壮族苗族自治州
大理白族自治州,丽江
昭通,凉山彝族自治州
昭通,毕节
鄂尔多斯,榆林
鄂尔多斯,呼和浩特
鄂尔多斯,乌海
鄂尔多斯,包头
鄂尔多斯,巴彦淖尔
榆林,西安
榆林,延安
西安,渭南
西安,庆阳
西安,商洛
西安,安康
西安,咸阳
西安,汉中
西安,成都
西安,运城
西安,延安
西安,宝鸡
西安,铜川
西安,北京
忻州,太原
吕梁,太原
吕梁,晋中
张家口,北京
张家口,大同
北京,德州
北京,承德
北京,石家庄
北京,上海
北京,沧州
北京,保定
北京,郑州
北京,唐山
北京,沈阳
北京,成都
北京,衡水
北京,哈尔滨
北京,秦皇岛
北京,太原
北京,邢台
北京,赤峰
北京,深圳
北京,广州
北京,廊坊
北京,济南
北京,天津
北京,邯郸
大同,朔州
大同,太原
大同,乌兰察布
赤峰,朝阳
沈阳,辽阳
沈阳,抚顺
沈阳,葫芦岛
沈阳,铁岭
沈阳,盘锦
沈阳,锦州
沈阳,本溪
沈阳,丹东
沈阳,鞍山
沈阳,大连
沈阳,阜新
沈阳,朝阳
沈阳,营口
贺州,梧州
梧州,贵港
郑州,驻马店
郑州,新乡
郑州,安阳
郑州,开封
郑州,周口
郑州,许昌
郑州,洛阳
郑州,焦作
郑州,商丘
郑州,平顶山
郑州,南阳
郑州,信阳
郑州,漯河
郑州,濮阳
郑州,三门峡
郑州,鹤壁
驻马店,信阳
驻马店,漯河
漯河,平顶山
漯河,许昌
南阳,平顶山
周口,商丘
贵阳,铜仁
贵阳,遵义
贵阳,毕节
贵阳,黔南布依族苗族自治州
贵阳,安顺
贵阳,黔东南苗族侗族自治州
贵阳,六盘水
贵阳,黔西南布依族苗族自治州
贵阳,重庆
铜仁,遵义
铜仁,黔东南苗族侗族自治州
遵义,重庆
遵义,泸州
遵义,毕节
遵义,黔南布依族苗族自治州
重庆,达州
重庆,泸州
重庆,南充
重庆,广安
重庆,成都
重庆,恩施土家族苗族自治州
重庆,遂宁
重庆,内江
黔东南苗族侗族自治州,黔南布依族苗族自治州
长治,太原
长治,晋城
长治,晋中
太原,阳泉
太原,运城
太原,晋中
太原,临汾
晋中,阳泉
晋中,临汾
辽阳,鞍山
鞍山,盘锦
鞍山,营口
鞍山,大连
哈尔滨,牡丹江
哈尔滨,大庆
哈尔滨,绥化
哈尔滨,长春
哈尔滨,齐齐哈尔
哈尔滨,佳木斯
泸州,成都
毕节,六盘水
毕节,安顺
新乡,焦作
新乡,安阳
焦作,洛阳
焦作,济源
安阳,鹤壁
安阳,濮阳
安阳,邯郸
宿州,徐州
宿州,淮北
宿州,合肥
宿州,蚌埠
徐州,南京
徐州,宿迁
徐州,苏州
徐州,临沂
合肥,南京
合肥,上海
合肥,安庆
合肥,芜湖
合肥,马鞍山
合肥,滁州
合肥,六安
合肥,淮南
合肥,阜阳
合肥,蚌埠
合肥,亳州
蚌埠,滁州
清远,广州
清远,佛山
清远,韶关
清远,东莞
广州,梅州
广州,上海
广州,云浮
广州,衡阳
广州,汕头
广州,韶关
广州,长沙
广州,湛江
广州,揭阳
广州,东莞
广州,惠州
广州,中山
广州,河源
广州,佛山
广州,深圳
广州,肇庆
广州,江门
广州,珠海
广州,茂名
广州,赣州
广州,阳江
广州,汕尾
佛山,云浮
佛山,韶关
佛山,湛江
佛山,东莞
佛山,惠州
佛山,中山
佛山,肇庆
佛山,江门
佛山,深圳
佛山,贵港
佛山,珠海
东莞,深圳
东莞,惠州
东莞,中山
东莞,河源
东莞,茂名
东莞,江门
恩施土家族苗族自治州,湘西土家族苗族自治州
恩施土家族苗族自治州,宜昌
凉山彝族自治州,成都
凉山彝族自治州,攀枝花
成都,达州
成都,南充
成都,广安
成都,自贡
成都,雅安
成都,眉山
成都,德阳
成都,绵阳
成都,资阳
成都,乐山
成都,内江
成都,遂宁
成都,广元
成都,巴中
成都,甘孜藏族自治州
益阳,长沙
益阳,岳阳
长沙,邵阳
长沙,永州
长沙,衡阳
长沙,株洲
长沙,岳阳
长沙,湘潭
长沙,常德
长沙,娄底
长沙,怀化
长沙,郴州
长沙,萍乡
长沙,武汉
呼和浩特,乌兰察布
呼和浩特,包头
呼和浩特,巴彦淖尔
乌兰察布,包头
包头,巴彦淖尔
保山,德宏傣族景颇族自治州
德州,济南
德州,衡水
德州,沧州
德州,聊城
德州,天津
德州,滨州
济南,滨州
济南,泰安
济南,枣庄
济南,潍坊
济南,菏泽
济南,聊城
济南,临沂
济南,青岛
济南,济宁
济南,淄博
衡水,石家庄
衡水,沧州
衡水,保定
衡水,邢台
沧州,石家庄
沧州,天津
沧州,保定
沧州,廊坊
聊城,濮阳
聊城,邢台
聊城,邯郸
天津,石家庄
天津,保定
天津,唐山
天津,廊坊
天津,邯郸
滨州,淄博
滨州,东营
邯郸,石家庄
邯郸,邢台
渭南,咸阳
咸阳,宝鸡
湖州,杭州
湖州,嘉兴
湖州,苏州
湖州,宣城
湖州,上海
杭州,金华
杭州,上海
杭州,苏州
杭州,嘉兴
杭州,绍兴
杭州,宁波
杭州,温州
杭州,衢州
杭州,台州
杭州,丽水
嘉兴,上海
嘉兴,苏州
嘉兴,绍兴
嘉兴,宁波
苏州,南京
苏州,上海
苏州,宿迁
苏州,盐城
苏州,无锡
苏州,南通
苏州,常州
苏州,泰州
苏州,镇江
苏州,扬州
宣城,南京
宣城,芜湖
上海,南京
上海,金华
上海,南通
上海,无锡
上海,宁波
上海,盐城
上海,常州
上海,绍兴
上海,泰州
上海,舟山
上海,扬州
上海,温州
葫芦岛,锦州
葫芦岛,秦皇岛
锦州,盘锦
秦皇岛,唐山
北海,钦州
北海,南宁
钦州,南宁
钦州,防城港
南宁,柳州
南宁,防城港
南宁,桂林
南宁,崇左
南宁,玉林
南宁,河池
南宁,百色
南宁,贵港
南宁,来宾
邵阳,娄底
娄底,湘潭
黄冈,武汉
黄冈,黄石
黄冈,九江
武汉,宜昌
武汉,荆州
武汉,鄂州
武汉,孝感
武汉,随州
武汉,仙桃
武汉,咸宁
武汉,黄石
黄石,鄂州
九江,南昌
深圳,梅州
深圳,汕头
深圳,湛江
深圳,揭阳
深圳,惠州
深圳,中山
深圳,河源
深圳,汕尾
深圳,珠海
深圳,茂名
深圳,江门
荆州,宜昌
荆州,潜江
承德,唐山
邢台,石家庄
石家庄,保定
保定,廊坊
镇江,南京
镇江,常州
南京,滁州
南京,马鞍山
南京,扬州
南京,常州
南京,无锡
南京,宿迁
南京,盐城
南京,南通
南京,泰州
南京,芜湖
马鞍山,芜湖
扬州,泰州
常州,泰州
常州,无锡
无锡,盐城
无锡,南通
无锡,泰州
盐城,泰州
盐城,南通
南通,泰州
南昌,抚州
南昌,宜春
南昌,上饶
南昌,吉安
南昌,赣州
金华,绍兴
金华,衢州
金华,丽水
金华,温州
金华,宁波
金华,台州
绍兴,宁波
丽水,温州
温州,台州
温州,宁德
宁波,台州
宁波,舟山
潮州,汕头
潮州,揭阳
汕头,揭阳
铁岭,四平
四平,长春
淄博,东营
淄博,潍坊
淄博,青岛
东营,潍坊
盘锦,营口
营口,大连
泰安,济宁
泰安,临沂
济宁,枣庄
济宁,菏泽
济宁,临沂
临沂,枣庄
临沂,潍坊
临沂,日照
临沂,青岛
临沂,连云港
永州,衡阳
衡阳,郴州
衡阳,株洲
开封,商丘
海西蒙古族藏族自治州,西宁
潍坊,青岛
潍坊,烟台
潍坊,日照
武威,兰州
兰州,天水
兰州,定西
兰州,临夏回族自治州
兰州,白银
六盘水,黔西南布依族苗族自治州
肇庆,云浮
株洲,湘潭
长春,吉林
长春,松原
长春,通化
达州,巴中
宜春,新余
青岛,烟台
青岛,日照
烟台,威海
来宾,柳州
柳州,桂林
柳州,河池
安庆,池州
许昌,平顶山
洛阳,三门峡
洛阳,平顶山
绥化,大庆
大庆,齐齐哈尔
齐齐哈尔,呼伦贝尔
南充,广安
厦门,龙岩
厦门,漳州
厦门,泉州
厦门,福州
龙岩,漳州
漳州,泉州
亳州,阜阳
泉州,莆田
泉州,三明
泉州,福州
自贡,内江
湛江,茂名
湛江,玉林
茂名,玉林
玉林,贵港
定西,临夏回族自治州
宁德,福州
眉山,乐山
莆田,福州
福州,三明
福州,南平
遂宁,绵阳
德阳,绵阳
绵阳,广元
临汾,运城
上饶,景德镇
上饶,鹰潭
惠州,河源
惠州,汕尾
中山,珠海
中山,江门
江门,珠海
吉安,赣州
阜阳,淮南
