city_name,city_name_another
曲靖,昆明
曲靖,六盘水
昆明,红河哈尼族彝族自治州
昆明,楚雄彝族自治州
昆明,玉溪
昆明,昭通
昆明,大理白族自治州
昆明,文山壮族苗族自治州
昆明,丽江
昆明,重庆
昆明,成都
昆明,临沧
昆明,西双版纳傣族自治州
昆明,保山
昆明,六盘水
红河哈尼族彝族自治州,文山壮族苗族自治州
红河哈尼族彝族自治州,玉溪
昭通,凉山彝族自治州
昭通,毕节
大理白族自治州,丽江
西安,榆林
西安,渭南
西安,庆阳
西安,商洛
西安,安康
西安,咸阳
西安,汉中
西安,成都
西安,延安
西安,宝鸡
西安,北京
西安,铜川
西安,上海
西安,运城
西安,重庆
西安,天水
西安,郑州
西安,兰州
榆林,鄂尔多斯
榆林,延安
鄂尔多斯,呼和浩特
鄂尔多斯,乌海
鄂尔多斯,包头
鄂尔多斯,巴彦淖尔
张家口,北京
张家口,石家庄
张家口,天津
张家口,大同
张家口,保定
北京,呼和浩特
北京,德州
北京,承德
北京,石家庄
北京,南京
北京,上海
北京,沧州
北京,保定
北京,郑州
北京,唐山
北京,杭州
北京,沈阳
北京,重庆
北京,成都
北京,衡水
北京,哈尔滨
北京,秦皇岛
北京,太原
北京,长春
北京,大同
北京,青岛
北京,邢台
北京,赤峰
北京,武汉
北京,深圳
北京,广州
北京,廊坊
北京,济南
北京,天津
北京,邯郸
北京,菏泽
北京,长沙
北京,合肥
北京,聊城
北京,潍坊
北京,济宁
北京,大连
郑州,驻马店
郑州,新乡
郑州,安阳
郑州,开封
郑州,周口
郑州,洛阳
郑州,商丘
郑州,许昌
郑州,南阳
郑州,平顶山
郑州,焦作
郑州,信阳
郑州,漯河
郑州,濮阳
郑州,三门峡
郑州,鹤壁
郑州,武汉
郑州,上海
驻马店,信阳
驻马店,漯河
驻马店,周口
信阳,武汉
漯河,许昌
漯河,周口
贵阳,铜仁
贵阳,遵义
贵阳,毕节
贵阳,黔南布依族苗族自治州
贵阳,安顺
贵阳,黔东南苗族侗族自治州
贵阳,六盘水
贵阳,黔西南布依族苗族自治州
贵阳,重庆
贵阳,成都
铜仁,遵义
铜仁,重庆
遵义,重庆
遵义,毕节
遵义,泸州
长治,太原
长治,晋城
长治,晋中
太原,阳泉
太原,朔州
太原,忻州
太原,运城
太原,晋中
太原,吕梁
太原,临汾
太原,大同
晋中,阳泉
晋中,吕梁
辽阳,沈阳
辽阳,鞍山
沈阳,抚顺
沈阳,葫芦岛
沈阳,铁岭
沈阳,盘锦
沈阳,锦州
沈阳,本溪
沈阳,丹东
沈阳,大连
沈阳,鞍山
沈阳,朝阳
沈阳,营口
沈阳,阜新
沈阳,长春
沈阳,哈尔滨
鞍山,营口
鞍山,大连
哈尔滨,牡丹江
哈尔滨,大庆
哈尔滨,绥化
哈尔滨,齐齐哈尔
哈尔滨,长春
哈尔滨,佳木斯
哈尔滨,黑河
哈尔滨,鸡西
哈尔滨,伊春
重庆,达州
重庆,泸州
重庆,南充
重庆,广安
重庆,成都
重庆,恩施土家族苗族自治州
重庆,遂宁
重庆,内江
重庆,上海
重庆,资阳
重庆,宜昌
毕节,六盘水
毕节,安顺
泸州,成都
新乡,焦作
新乡,安阳
安阳,濮阳
安阳,鹤壁
安阳,邯郸
宿州,徐州
宿州,淮北
宿州,合肥
徐州,南京
徐州,上海
徐州,宿迁
徐州,苏州
徐州,临沂
徐州,连云港
徐州,济宁
淮北,合肥
合肥,南京
合肥,上海
合肥,安庆
合肥,芜湖
合肥,马鞍山
合肥,滁州
合肥,六安
合肥,淮南
合肥,阜阳
合肥,亳州
合肥,蚌埠
合肥,池州
合肥,苏州
合肥,宣城
合肥,铜陵
合肥,杭州
清远,广州
清远,佛山
清远,深圳
清远,东莞
广州,梅州
广州,上海
广州,云浮
广州,衡阳
广州,汕头
广州,韶关
广州,长沙
广州,湛江
广州,揭阳
广州,东莞
广州,惠州
广州,南宁
广州,中山
广州,河源
广州,佛山
广州,深圳
广州,江门
广州,肇庆
广州,茂名
广州,珠海
广州,赣州
广州,阳江
广州,汕尾
广州,武汉
广州,成都
广州,郴州
佛山,云浮
佛山,韶关
佛山,湛江
佛山,东莞
佛山,惠州
佛山,中山
佛山,肇庆
佛山,江门
佛山,深圳
佛山,贵港
佛山,梧州
佛山,珠海
佛山,茂名
湘西土家族苗族自治州,长沙
长沙,益阳
长沙,邵阳
长沙,永州
长沙,衡阳
长沙,株洲
长沙,张家界
长沙,岳阳
长沙,湘潭
长沙,常德
长沙,娄底
长沙,怀化
长沙,郴州
长沙,武汉
长沙,深圳
成都,凉山彝族自治州
成都,上海
成都,达州
成都,南充
成都,广安
成都,自贡
成都,雅安
成都,眉山
成都,德阳
成都,绵阳
成都,资阳
成都,内江
成都,乐山
成都,遂宁
成都,巴中
成都,广元
成都,甘孜藏族自治州
成都,攀枝花
成都,深圳
凉山彝族自治州,攀枝花
呼和浩特,乌兰察布
呼和浩特,包头
呼和浩特,巴彦淖尔
呼和浩特,锡林郭勒盟
乌兰察布,包头
包头,巴彦淖尔
保山,德宏傣族景颇族自治州
德州,济南
德州,天津
德州,衡水
德州,聊城
德州,沧州
济南,滨州
济南,泰安
济南,枣庄
济南,潍坊
济南,菏泽
济南,聊城
济南,临沂
济南,青岛
济南,济宁
济南,淄博
济南,烟台
济南,天津
天津,石家庄
天津,沧州
天津,保定
天津,唐山
天津,廊坊
天津,邯郸
天津,衡水
天津,秦皇岛
衡水,石家庄
衡水,沧州
衡水,保定
聊城,濮阳
沧州,石家庄
沧州,保定
沧州,廊坊
邯郸,石家庄
邯郸,邢台
邯郸,保定
渭南,咸阳
咸阳,宝鸡
湖州,杭州
湖州,嘉兴
湖州,上海
湖州,苏州
湖州,宣城
杭州,南京
杭州,金华
杭州,上海
杭州,苏州
杭州,绍兴
杭州,嘉兴
杭州,宁波
杭州,温州
杭州,台州
杭州,衢州
杭州,丽水
杭州,上饶
杭州,无锡
杭州,宣城
嘉兴,上海
嘉兴,苏州
嘉兴,宁波
上海,南京
上海,金华
上海,苏州
上海,南通
上海,无锡
上海,宁波
上海,盐城
上海,常州
上海,绍兴
上海,泰州
上海,深圳
上海,扬州
上海,温州
上海,芜湖
上海,舟山
上海,武汉
上海,台州
上海,镇江
