city_name_add,city_id_name_add
周口,亳州
张家口,石家庄
北京,合肥
嘉兴,金华
北京,长沙
太原,晋城
佳木斯,鹤岗
重庆,广州
永州,郴州
韶关,郴州
沧州,唐山
重庆,自贡
昆明,六盘水
武汉,潜江
成都,上海
南昌,新余
湘西土家族苗族自治州,长沙
黄冈,鄂州
曲靖,昭通
北京,呼和浩特
怀化,黔东南苗族侗族自治州
哈尔滨,鸡西
芜湖,铜陵
北京,青岛
天水,陇南
滨州,潍坊
兴安盟,通辽
韶关,深圳
来宾,贵港
东莞,肇庆
濮阳,菏泽
成都,深圳
徐州,淮北
重庆,西安
淄博,临沂
上海,芜湖
深圳,肇庆
唐山,廊坊
常州,南通
通辽,阜新
兰州,陇南
赤峰,承德
武汉,天门
深圳,长沙
济南,日照
上海,台州
乌兰察布,锡林郭勒盟
百色,黔西南布依族苗族自治州
通化,白山
保定,邢台
济南,烟台
阜阳,六安
湘西土家族苗族自治州,张家界
昆明,凉山彝族自治州
苏州,宁波
西安,兰州
重庆,上海
杭州,无锡
恩施土家族苗族自治州,武汉
辽源,长春
深圳,武汉
张家口,锡林郭勒盟
蚌埠,淮南
郑州,济源
徐州,上海
六安,淮南
广州,郴州
济宁,青岛
广州,南宁
合肥,苏州
梧州,南宁
长沙,宜春
株洲,萍乡
新乡,开封
张家口,保定
龙岩,泉州
梅州,揭阳
扬州,无锡
平凉,兰州
三明,南平
长治,邯郸
淮北,亳州
南阳,洛阳
巴中,南充
上海,宣城
杭州,南京
钦州,玉林
葫芦岛,朝阳
扬州,盐城
合肥,池州
昆明,保山
厦门,三明
长治,临汾
龙岩,福州
开封,菏泽
吕梁,临汾
石家庄,廊坊
曲靖,黔西南布依族苗族自治州
合肥,铜陵
昆明,西双版纳傣族自治州
保定,唐山
丹东,大连
怀化,邵阳
常德,荆州
运城,三门峡
深圳,上海
文山壮族苗族自治州,百色
天津,衡水
齐齐哈尔,黑河
新乡,鹤壁
绥化,齐齐哈尔
铜仁,怀化
洛阳,济源
合肥,宣城
长春,白山
北京,南京
揭阳,汕尾
贺州,桂林
池州,铜陵
达州,广安
安庆,铜陵
上海,武汉
开封,许昌
天津,承德
苏州,连云港
北京,潍坊
南昌,景德镇
哈尔滨,吉林
桂林,永州
宜春,萍乡
扬州,南通
天津,秦皇岛
信阳,阜阳
哈尔滨,伊春
泸州,自贡
重庆,北京
益阳,娄底
北京,烟台
昆明,临沧
庆阳,平凉
上海,宿迁
北京,长春
天津,滨州
锡林郭勒盟,呼和浩特
曲靖,毕节
合肥,杭州
镇江,泰州
清远,深圳
西安,上海
渭南,铜川
杭州,上饶
辽源,通化
吉林,延边朝鲜族自治州
蚌埠,亳州
厦门,莆田
菏泽,青岛
张家口,乌兰察布
阜阳,上海
太原,朔州
天津,上海
济南,东营
北京,杭州
临沂,菏泽
大理白族自治州,保山
张家口,天津
鄂尔多斯,忻州
东莞,珠海
绍兴,台州
武威,金昌
北海,玉林
楚雄彝族自治州,大理白族自治州
江门,阳江
石家庄,太原
成都,贵阳
南京,连云港
石家庄,阳泉
郑州,武汉
怀化,湘西土家族苗族自治州
驻马店,阜阳
武汉,十堰
广州,武汉
漳州,福州
驻马店,平顶山
哈尔滨,黑河
沈阳,哈尔滨
保山,临沧
宁波,温州
北京,菏泽
延安,渭南
保定,邯郸
西安,郑州
巴彦淖尔,乌海
石家庄,承德
长春,延边朝鲜族自治州
阜新,锦州
大理白族自治州,临沧
宜春,吉安
深圳,赣州
沈阳,长春
邯郸,濮阳
清远,肇庆
信阳,六安
北京,聊城
成都,广州
杭州,宣城
南充,绵阳
南充,遂宁
成都,攀枝花
信阳,武汉
上海,镇江
佛山,茂名
衢州,上饶
连云港,日照
重庆,宜昌
宿州,商丘
北京,大同
天水,定西
青岛,威海
孝感,随州
淮北,合肥
茂名,阳江
聊城,泰安
兰州,西宁
郑州,上海
庆阳,兰州
西安,平凉
南昌,鹰潭
聊城,菏泽
金华,上饶
百色,河池
南充,广元
天津,济南
锡林郭勒盟,赤峰
北京,武汉
昆明,重庆
渭南,运城
扬州,常州
自贡,乐山
长沙,上海
石家庄,唐山
沧州,滨州
岳阳,荆州
北京,大连
长沙,张家界
昆明,成都
西安,天水
