city_name,degree_superNode,degree_origion,edgenum
北京,20,28,8
武汉,9,14,6
长沙,12,16,4
太原,7,9,3
上海,17,20,3
哈尔滨,9,12,3
运城,1,3,3
郑州,15,18,3
佛山,8,10,2
兴安盟,1,3,2
通辽,1,2,2
赣州,2,4,2
石家庄,8,10,2
扬州,4,5,2
抚州,1,2,2
云浮,1,2,2
济南,12,13,2
天门,1,2,2
沈阳,15,15,2
宜春,4,5,2
长春,8,10,2
十堰,0,1,2
广州,20,20,2
呼和浩特,4,5,2
菏泽,4,6,2
三门峡,1,1,2
濮阳,3,3,2
南京,16,18,2
惠州,5,5,1
合肥,14,15,1
池州,2,2,1
杭州,11,12,1
丽水,2,2,1
韶关,3,3,1
南昌,6,7,1
景德镇,1,1,1
天津,6,6,1
滁州,3,3,1
百色,4,5,1
崇左,1,1,1
成都,24,25,1
贵阳,9,9,1
随州,1,1,1
泰州,6,6,1
上饶,5,5,1
潜江,1,2,1
仙桃,3,3,1
江门,4,5,1
阳江,1,1,1
湘西土家族苗族自治州,5,5,1
晋中,4,5,1
临汾,2,2,1
恩施土家族苗族自治州,3,3,1
昆明,12,13,1
临沧,2,2,1
驻马店,6,7,1
平顶山,5,5,1
吉林,1,1,1
金华,6,7,1
宁波,5,5,1
九江,3,3,1
张家界,2,2,1
萍乡,2,2,1
白山,1,1,1
西安,15,15,1
齐齐哈尔,5,5,1
秦皇岛,2,2,1
张家口,4,4,1
南通,6,7,1
无锡,6,6,1
徐州,9,9,1
孝感,3,3,1
朔州,2,2,1
梧州,3,4,1
南宁,11,11,1
绍兴,3,3,1
衡水,5,5,1
伊春,0,0,1
滨州,4,5,1
潍坊,7,7,1
南阳,3,3,1
连云港,4,4,1
辽源,1,1,1
芜湖,4,4,1
保定,7,8,1
唐山,5,5,1
鹤壁,2,2,1
清远,3,4,1
肇庆,3,3,1
锡林郭勒盟,1,1,1
青岛,7,7,1
枣庄,3,3,1
赤峰,2,2,1
