city_name,degree_superNode,degree_origion,edgenum
广州,19,14,5
绵阳,5,3,2
东莞,7,5,2
河源,4,4,2
长沙,10,8,2
衡水,5,3,2
茂名,5,4,2
广安,4,2,2
枣庄,2,[],2
南通,6,4,2
沈阳,9,7,2
南宁,11,9,2
南京,10,9,2
南充,6,5,2
泉州,5,4,1
三明,2,2,1
遂宁,2,2,1
镇江,3,2,1
扬州,3,3,1
龙岩,2,1,1
漳州,3,3,1
鄂尔多斯,5,4,1
巴彦淖尔,2,2,1
南昌,5,4,1
吉安,2,2,1
怀化,2,2,1
保定,5,5,1
永州,3,3,1
成都,17,17,1
天水,3,2,1
陇南,1,1,1
郑州,9,8,1
漯河,5,5,1
济宁,5,5,1
张家口,1,[],1
北京,4,4,1
徐州,4,4,1
阳江,1,1,1
无锡,7,7,1
营口,4,4,1
防城港,1,1,1
阜新,1,1,1
北海,2,2,1
海西蒙古族藏族自治州,1,[],1
西宁,1,1,1
邢台,4,4,1
重庆,9,9,1
安庆,3,2,1
池州,1,1,1
宿州,5,4,1
合肥,10,10,1
佛山,9,9,1
盐城,6,6,1
达州,4,4,1
百色,4,3,1
河池,3,3,1
德州,5,4,1
滨州,4,4,1
潍坊,5,4,1
烟台,2,2,1
汕头,3,3,1
汕尾,3,3,1
梅州,2,2,1
