city_name,city_name_another
廊坊,北京
廊坊,天津
廊坊,唐山
廊坊,保定
廊坊,沧州
廊坊,超级节点
北京,保定
北京,天津
北京,张家口
北京,承德
北京,唐山
北京,石家庄
北京,邯郸
北京,沧州
北京,超级节点
保定,天津
保定,石家庄
保定,沧州
保定,衡水
保定,超级节点
天津,唐山
天津,沧州
天津,邯郸
天津,德州
天津,超级节点
张家口,大同
张家口,超级节点
承德,唐山
承德,超级节点
唐山,秦皇岛
唐山,超级节点
石家庄,邢台
石家庄,衡水
石家庄,邯郸
石家庄,沧州
石家庄,超级节点
邯郸,邢台
邯郸,安阳
邯郸,聊城
邯郸,濮阳
邯郸,超级节点
沧州,衡水
沧州,德州
沧州,超级节点
德州,衡水
德州,济南
德州,聊城
德州,滨州
德州,超级节点
邢台,聊城
邢台,衡水
邢台,超级节点
衡水,超级节点
秦皇岛,葫芦岛
秦皇岛,超级节点
葫芦岛,锦州
葫芦岛,超级节点
安阳,郑州
安阳,鹤壁
安阳,新乡
安阳,濮阳
安阳,超级节点
聊城,济南
聊城,濮阳
聊城,超级节点
濮阳,郑州
濮阳,超级节点
大同,太原
大同,朔州
大同,乌兰察布
大同,超级节点
晋中,太原
晋中,阳泉
晋中,长治
晋中,吕梁
晋中,临汾
晋中,超级节点
太原,吕梁
太原,忻州
太原,临汾
太原,长治
太原,阳泉
太原,运城
太原,朔州
太原,超级节点
吕梁,榆林
吕梁,超级节点
忻州,朔州
忻州,榆林
忻州,超级节点
临汾,运城
临汾,超级节点
长治,晋城
长治,超级节点
阳泉,超级节点
运城,渭南
运城,三门峡
运城,超级节点
朔州,超级节点
乌兰察布,呼和浩特
乌兰察布,超级节点
晋城,超级节点
渭南,西安
渭南,铜川
渭南,咸阳
渭南,超级节点
三门峡,郑州
三门峡,洛阳
三门峡,超级节点
榆林,鄂尔多斯
榆林,西安
榆林,延安
榆林,超级节点
呼和浩特,包头
呼和浩特,鄂尔多斯
呼和浩特,超级节点
包头,鄂尔多斯
包头,巴彦淖尔
包头,超级节点
鄂尔多斯,乌海
鄂尔多斯,巴彦淖尔
鄂尔多斯,超级节点
巴彦淖尔,超级节点
乌海,超级节点
朝阳,赤峰
朝阳,沈阳
朝阳,超级节点
赤峰,通辽
赤峰,锡林郭勒盟
赤峰,超级节点
通辽,超级节点
锡林郭勒盟,超级节点
白城,兴安盟
白城,长春
白城,超级节点
兴安盟,超级节点
铁岭,沈阳
铁岭,四平
铁岭,超级节点
沈阳,抚顺
沈阳,辽阳
沈阳,鞍山
沈阳,锦州
沈阳,本溪
沈阳,大连
沈阳,营口
沈阳,阜新
沈阳,丹东
沈阳,盘锦
沈阳,超级节点
抚顺,超级节点
辽阳,鞍山
辽阳,超级节点
鞍山,营口
鞍山,盘锦
鞍山,超级节点
锦州,盘锦
锦州,超级节点
本溪,超级节点
大连,营口
大连,超级节点
营口,盘锦
营口,超级节点
阜新,超级节点
丹东,超级节点
盘锦,超级节点
四平,长春
四平,超级节点
长春,吉林
长春,松原
长春,超级节点
松原,超级节点
绥化,哈尔滨
绥化,大庆
绥化,超级节点
哈尔滨,超级节点
大庆,超级节点
苏州,上海
苏州,南京
苏州,无锡
