全局效率,平均点连通性,连通性损失,自然连通性,连通数量,最大组件大小,Diversity
0.225988675,1.487003473,0.071583045,3.805421152,4,262,11.0467565
0.253559539,1.16948963,0.072621965,4.189661893,4,258,10.4143791
0.295121545,1.965400453,0,5.81563551,1,287,10.6792618
0.297317396,2.46046264,0,6.257535647,1,288,11.0069565
0.304963178,2.295439254,0,6.495924838,1,289,9.971666
0.303257419,2.133976965,0,6.101382569,1,288,10.0317932
0.299383532,2.115853659,0,6.042802197,1,288,10.3805282
0.309341384,2.39701897,0,6.541326708,1,288,10.0761682
0.311240419,2.466124661,0,6.76599065,1,288,10.0819356
0.296447426,2.330401306,0,6.070756673,1,287,11.2123333
0.300912272,2.504065041,0,6.255365269,1,288,10.2053234
0.289272775,2.340349865,0,5.31222451,1,289,11.5267687
0.298882143,2.319928378,0,5.724217787,1,288,10.0794179
0.287132383,2.102424506,0,5.238420366,1,288,11.5911497
0.287585566,2.046660656,0,5.284454694,1,287,11.7364349
0.279908259,2.055870445,0.01388821,5.018731877,2,284,13.2694664
0.2762467,2.020088955,0.013936596,4.619515964,2,283,13.1451618
0.277567764,2.123739418,0.01388821,4.902559251,2,284,13.2131232
0.26868675,2.123301211,0.013936596,4.5815152,2,283,12.6325567
0.268355923,2.206821249,0.01388821,4.553608013,2,284,12.7940908
0.277344162,2.475768134,0.013840158,4.888824492,2,285,12.7770136
0.264732868,2.27445725,0.013840158,4.340743765,2,285,13.2578961
0.239359104,1.969187052,0.013936596,3.958869429,2,283,12.6030407
0.179884884,1.521274054,0.118902479,3.158074358,6,258,12.2881047
0.070454495,0.517270627,0.643931006,2.453299169,16,26,8.8804149
0.133592818,1.275126334,0.145505887,3.826970184,5,253,14.5395934
0.095310886,0.631352858,0.571093987,3.185306653,7,148,9.2148215
0.076711911,0.467363531,0.598816842,2.272478426,8,138,8.8236343
0.046925892,0.204732254,0.835247934,1.922424343,17,67,5.37484
0.045463813,0.196296296,0.834790809,1.687598711,18,66,5.0241039
0.042960964,0.17726672,0.840815253,1.424176784,24,64,4.7363455
0.03468265,0.099681739,0.906626056,1.184309918,26,36,2.9934321
0.044863642,0.186381582,0.83113968,1.350138216,23,65,4.85841
0.033895319,0.093211168,0.912617878,1.177958806,25,33,2.9738584
0.027355638,0.056896552,0.943448276,1.006865409,30,12,1.5617269
0.027950619,0.05971223,0.941530612,0.959126377,30,12,1.5347276
0.031380583,0.063804413,0.933491124,0.954978498,26,12,1.6017368
0.031996408,0.06544049,0.931059554,0.910890778,26,12,1.6411879
0.033427456,0.068319559,0.931220545,1.01274,25,12,1.5619876
0.025734088,0.049089567,0.94909668,0.911022885,31,5,1.1773876
0.026830244,0.053082795,0.946098712,0.962932622,28,12,1.097777
0.025042017,0.046778711,0.950416667,0.864339554,30,12,1.000186
0.025485173,0.046421363,0.948137889,0.773339003,29,13,0.9387184
0.022974223,0.041046832,0.954033194,0.769010404,32,11,0.9570712
0.021904572,0.038118086,0.95723445,0.764132369,33,11,0.9282921
0.022385225,0.039595499,0.956147165,0.774390838,35,12,0.9677364
0.022881356,0.041304657,0.952475108,0.717433019,34,15,0.8564552
0.02635533,0.064206505,0.941367023,1.023104023,32,24,1.6862088
0.025590284,0.064340045,0.942933333,1.031220842,34,24,1.6370544
0.029622419,0.079768894,0.929427553,1.072892313,31,29,1.8882165
0.031317833,0.088966589,0.920524691,1.075706336,31,32,1.8938516
0.032807032,0.093627789,0.9160189,1.209295969,28,36,2.4721189
0.040411359,0.155220547,0.856342012,1.370887386,23,59,4.1122906
0.039891996,0.160999628,0.861547707,1.324771656,23,57,4.0887557
0.052278566,0.256071429,0.779417284,1.664330703,18,71,5.4418823
0.052355504,0.248253968,0.790716049,1.639692475,17,72,5.2805352
0.053064703,0.277306214,0.787149235,1.64274625,18,67,5.4263654
0.055605215,0.290358744,0.770288584,1.619475699,16,70,5.7740654
0.055295397,0.287003411,0.777047264,1.810134609,17,71,5.5846699
0.060441277,0.340248233,0.773690937,2.093071574,16,73,6.0871438
0.0560002,0.320007529,0.790952194,1.981622105,15,40,5.9308016
0.052690682,0.280625144,0.824621956,1.975597486,16,37,5.2490831
0.057508145,0.306480667,0.80911574,1.96922798,16,40,5.6893103
0.064172726,0.353781761,0.761594142,1.976156913,15,71,6.1159627
0.061417643,0.348559486,0.779020511,1.978734916,15,70,6.0157129
0.063621223,0.358350757,0.763459712,2.125631397,15,71,6.1593232
0.063968197,0.33864339,0.777618832,2.372593727,13,73,6.0997549
0.057913741,0.325323607,0.812725881,2.145854464,15,49,5.7190474
0.060015231,0.317398119,0.795555886,2.57692024,15,40,5.6616516
0.064807877,0.345185719,0.759551853,2.357915053,13,72,6.262396
0.065837233,0.399933632,0.759336374,2.238218333,12,71,6.8609723
0.072515511,0.469700927,0.704051769,2.400528286,12,72,8.2477435
0.076409282,0.507091633,0.672846463,2.624630574,9,82,8.9890626
0.084005302,0.562905318,0.643951686,3.20792331,9,100,9.0097453
0.101382924,0.803185232,0.401027582,2.808397947,8,197,10.9431358
