日期,数值
20200101,262
20200102,258
20200103,287
20200104,288
20200105,289
20200106,288
20200107,288
20200108,288
20200109,288
20200110,287
20200111,288
20200112,289
20200113,288
20200114,288
20200115,287
20200116,284
20200117,283
20200118,284
20200119,283
20200120,284
20200121,285
20200122,285
20200123,283
20200124,258
20200125,26
20200126,253
20200127,148
20200128,138
20200129,67
20200130,66
20200131,64
20200201,36
20200202,65
20200203,33
20200204,12
20200205,12
20200206,12
20200207,12
20200208,12
20200209,5
20200210,12
20200211,12
20200212,13
20200213,11
20200214,11
20200215,12
20200216,15
20200217,24
20200218,24
20200219,29
20200220,32
20200221,36
20200222,59
20200223,57
20200224,71
20200225,72
20200226,67
20200227,70
20200228,71
20200229,73
20200301,40
20200302,37
20200303,40
20200304,71
20200305,70
20200306,71
20200307,73
20200308,49
20200309,40
20200310,72
20200311,71
20200312,72
20200313,82
20200314,100
20200315,197
20200316,92
20200317,99
20200318,101
20200319,86
20200320,221
20200321,256
20200322,249
20200323,229
20200324,228
20200325,257
20200326,252
20200327,227
20200328,229
20200329,257
20200330,259
20200331,261
20200401,210
20200402,91
20200403,116
20200404,229
20200405,226
20200406,144
20200407,127
20200408,195
20200409,62
20200410,183
20200411,227
20200412,244
20200413,250
20200414,246
20200415,245
20200416,245
20200417,244
20200418,239
20200419,238
20200420,239
20200421,237
20200422,234
20200423,212
20200424,238
20200425,236
20200426,263
20200427,264
20200428,267
20200429,264
20200430,265
20200501,285
20200502,283
20200503,283
20201001,273
20201002,273
20201003,272
20201004,271
20201005,271
20201006,272
20201007,269
20201008,268
20201009,266
20201010,256
20201011,256
20201012,263
20201013,247
20201014,245
20201015,230
20201016,257
20201017,265
20201018,251
20201019,263
20201020,246
20201021,246
20201022,248
20201023,261
20201024,265
20201025,249
20201026,264
20201027,254
20201028,246
20201029,239
20201030,257
20201031,264
20201101,250
20201102,256
20201103,241
20201104,256
20201105,249
20201106,246
20201107,265
20201108,245
20201109,264
20201110,246
20201111,245
20201112,245
20201113,244
20201114,250
20201115,243
20201116,248
20201117,249
20201118,245
20201119,230
20201120,227
20201121,248
20201122,239
20201123,244
20201124,244
20201125,223
20201126,225
20201127,241
20201128,251
20201129,241
20201130,249
20201201,241
20201202,223
20201203,236
20201204,239
20201205,248
20201206,239
20201207,245
20201208,238
20201209,228
20201210,219
20201211,234
20201212,253
20201213,231
20201214,235
20201215,236
20201216,216
20201217,217
20201218,241
20201219,246
20201220,220
20201221,250
20201222,217
20201223,214
20201224,242
20201225,179
20201226,203
20201227,196
20201228,254
20201229,198
20201230,166
20201231,207
20210101,242
20210102,204
20210103,197
20210104,230
20210105,34
20210106,8
20210107,9
20210108,171
20210109,139
20210110,124
20210111,161
20210112,148
20210113,139
20210114,139
20210115,171
20210116,188
20210117,128
20210118,175
20210119,207
20210120,205
20210121,202
20210122,209
20210123,212
20210124,174
20210125,208
20210126,171
20210127,212
20210128,209
20210129,165
20210130,202
20210131,96
20210201,211
20210202,196
20210203,194
20210204,194
20210205,196
20210206,201
20210207,199
20210208,210
20210209,176
20210210,168
20210211,150
20210212,156
20210213,258
20210214,243
20210215,264
20210216,263
20210217,274
20210218,266
20210219,265
20210220,263
20210221,264
20210222,266
20210223,265
20210224,265
20210225,266
20210226,267
20210227,274
20210228,264
20210301,277
20210302,255
20210303,267
20210304,261
20210305,270
20210306,278
20210307,265
20210308,270
20210309,263
20210310,262
20210311,258
20210312,265
20210313,283
20210314,266
20210315,279
20210316,263
20210317,263
20210318,269
20210319,272
20210320,279
20210321,264
20210322,271
20210323,266
20210324,265
20210325,268
20210326,279
20210327,283
20210328,279
20210329,283
20210330,273
20210331,269
20210401,270
20210402,282
20210403,291
20210404,285
20210405,286
20210406,284
20210407,266
20210408,253
20210409,269
20210410,277
20210411,262
20210412,275
20210413,264
20210414,277
20210415,278
20210416,282
20210417,286
20210418,282
20210419,288
20210420,279
20210421,277
20210422,276
20210423,278
20210424,279
20210425,278
20210426,279
20210427,274
20210428,275
20210429,279
20210430,291
20210501,292
20210502,292
20210503,292
20210504,292
20210505,292
20210506,291
20210507,281
20210508,279
20210509,278
20210510,279
20210511,275
20210512,273
20210513,277
20210514,278
20210515,285
20210516,279
20210517,286
20210518,272
20210519,272
20210520,279
20210521,284
20210522,289
20210523,279
20210524,288
20210525,279
20210526,273
20210527,272
20210528,278
20210529,288
20210530,282
20210531,283
20210601,276
20210602,286
20210603,276
20210604,281
20210605,291
20210606,288
20210607,290
20210608,248
20210609,253
20210610,251
20210611,288
20210612,292
20210613,291
20210614,290
20210615,273
20210616,289
20210617,284
20210618,255
20210619,291
20210620,254
20210621,256
20210622,253
20210623,250
20210624,251
20210625,257
20210626,256
20210627,253
20210628,289
20210629,283
20210630,284
20210701,284
20210702,290
20210703,290
20210704,289
20210705,291
20210706,287
20210707,290
20210709,290
20210710,291
20210711,290
20210712,291
20210713,290
20210714,291
20210715,291
20210716,291
20210717,291
20210718,291
20210719,290
20210720,290
20210721,290
20210722,289
20210723,290
20210724,288
20210725,288
20210726,287
20210727,283
20210728,288
20210729,287
20210730,288
20210801,276
20210802,275
20210803,271
20210804,266
20210805,264
20210806,204
20210807,205
20210808,196
20210809,199
20210810,197
20210811,194
20210813,196
20210814,202
20210815,197
20210816,255
20210817,250
20210818,249
20210819,253
20210820,196
20210821,199
20210822,147
20210823,263
20210824,260
20210826,264
20210827,268
20210828,276
20210829,272
20210830,271
20210901,267
20210902,266
20210903,271
20210904,287
20210905,273
20210906,274
20210907,270
20210908,266
20210909,267
20210910,283
20210911,288
20210912,276
20210913,286
20210914,267
20210915,289
20210916,280
20210917,280
20210918,282
20210919,282
20210920,280
20210921,279
20210922,282
20210923,266
20210924,269
20210925,269
20210926,269
20210927,272
20210928,267
20210929,268
20211001,281
20211002,279
20211003,281
20211004,281
20211005,281
20211006,282
20211007,282
20211008,280
20211009,276
20211010,274
20211011,278
20211012,279
20211013,277
20211014,277
20211015,278
20211016,287
20211017,285
20211018,288
20211019,274
20211020,271
20211021,271
20211022,275
20211023,276
20211024,274
20211025,276
20211026,271
20211027,270
20211028,268
