时间,连通分量,城市
20200101,0,"['天水', '兰州', '临夏回族自治州', '定西', '陇南', '武威', '白银']"
20200101,1,"['南宁', '河池', '柳州', '百色', '宜春', '新余', '大连', '营口', '鞍山', '沈阳', '盘锦', '广州', '阳江', '茂名', '上饶', '鹰潭', '佛山', '东莞', '深圳', '清远', '中山', '惠州', '肇庆', '江门', '湛江', '珠海', '韶关', '云浮', '梅州', '揭阳', '河源', '汕头', '北京', '衡阳', '长沙', '上海', '赣州', '汕尾', '常德', '益阳', '张家界', '大理白族自治州', '丽江', '昆明', '榆林', '荆州', '潜江', '哈尔滨', '齐齐哈尔', '呼伦贝尔', '大庆', '娄底', '邵阳', '湘潭', '晋中', '太原', '吕梁', '忻州', '临汾', '长治', '阳泉', '运城', '大同', '朔州', '武汉', '黄石', '鄂州', '黄冈', '宁波', '舟山', '铁岭', '抚顺', '辽阳', '锦州', '本溪', '阜新', '丹东', '通辽', '朝阳', '葫芦岛', '萍乡', '成都', '凉山彝族自治州', '昭通', '攀枝花', '来宾', '桂林', '晋城', '宜宾', '毕节', '绥化', '乐山', '眉山', '贵阳', '安顺', '六盘水', '黔南布依族苗族自治州', '黔西南布依族苗族自治州', '郑州', '安阳', '鹤壁', '新乡', '濮阳', '邯郸', '济南', '泰安', '济宁', '临沂', '镇江', '南京', '滁州', '马鞍山', '扬州', '淮安', '常州', '苏州', '无锡', '宿迁', '徐州', '泰州', '盐城', '南通', '合肥', '芜湖', '宣城', '连云港', '南昌', '吉安', '呼和浩特', '乌兰察布', '包头', '郴州', '唐山', '秦皇岛', '岳阳', '株洲', '永州', '怀化', '青岛', '潍坊', '淄博', '东营', '烟台', '日照', '滨州', '九江', '抚州', '台州', '温州', '杭州', '丽水', '宁德', '金华', '德州', '聊城', '菏泽', '枣庄', '铜陵', '玉溪', '红河哈尼族彝族自治州', '孝感', '咸宁', '襄阳', '随州', '仙桃', '荆门', '宜昌', '信阳', '衢州', '赤峰', '重庆', '广安', '遵义', '达州', '泸州', '恩施土家族苗族自治州', '南充', '内江', '遂宁', '铜仁', '资阳', '安庆', '池州', '阜阳', '亳州', '周口', '淮南', '邢台', '石家庄', '保定', '衡水', '沧州', '天津', '西安', '宝鸡', '咸阳', '廊坊', '焦作', '嘉兴', '湖州', '楚雄彝族自治州', '长春', '松原', '白城', '普洱', '西双版纳傣族自治州', '济源', '汉中', '巴彦淖尔', '鄂尔多斯', '佳木斯', '双鸭山', '鹤岗', '绍兴', '钦州', '北海', '防城港', '雅安', '贵港', '保山', '德宏傣族景颇族自治州', '梧州', '贺州', '开封', '商丘', '厦门', '龙岩', '漳州', '天门', '曲靖', '文山壮族苗族自治州', '洛阳', '德阳', '绵阳', '阿坝藏族羌族自治州', '自贡', '广元', '巴中', '甘孜藏族自治州', '六安', '蚌埠', '宿州', '景德镇', '福州', '泉州', '莆田', '南平', '三明', '吉林', '玉林', '通化', '延安', '张家口', '承德', '渭南', '商洛', '安康', '铜川', '庆阳', '许昌', '平顶山', '漯河', '三门峡', '崇左', '思茅', '驻马店', '四平', '南阳', '湘西土家族苗族自治州', '黔东南苗族侗族自治州', '威海', '延边朝鲜族自治州', '辽源', '襄樊', '十堰', '兴安盟', '牡丹江', '潮州', '淮北', '乌海']"
20200101,2,"['西宁', '海北藏族自治州', '海西蒙古族藏族自治州', '海南藏族自治州', '海东']"
20200101,3,['澄迈县']
20200101,4,['定安县']
20200101,5,['临高县']
20200101,6,['山南']
20200101,7,['吐鲁番']
20200101,8,['屯昌县']
20200102,0,"['天水', '兰州', '临夏回族自治州', '定西', '平凉', '陇南', '武威', '白银']"
