cityName,start_date,end_date,lockdown_day,list_cityone,Threshold
石家庄,20210107,20210129,23,["石家庄","北京","衡水","秦皇岛","唐山","廊坊","天津","承德","保定","沧州","邯郸","邢台","张家口"],0.04
西安,20211223,20220115,24,['铜川', '渭南', '成都', '宝鸡', '咸阳', '延安', '商洛', '榆林', '汉中', '庆阳', '北京', '安康', '西安'],0.01
张家界,20210801,20210825,25,["张家界","常德","长沙","湘西土家族苗族自治州","恩施土家族苗族自治州","益阳","重庆","株洲","岳阳","邵阳","广州","衡阳","深圳"],0.03
呼伦贝尔,20211127,20211225,29,["齐齐哈尔","兴安盟","哈尔滨","黑河","呼和浩特","大兴安岭地区","大庆","北京","绥化","通辽","天津","赤峰","呼伦贝尔"],0.02
吉林,20200513,20200607,26,["长春","通化","哈尔滨","延边朝鲜族自治州","四平","沈阳","松原","辽源","白山","白城","北京","大连","吉林"],0.02
通化,20200115,20210221,38,["辽源","长春","白山","吉林","抚顺","沈阳","四平","丹东","本溪","铁岭","大连","延边朝鲜族自治州","通化"],0.02
松原,20210120,20210203,15,["长春","白城","四平","大庆","通辽","哈尔滨","吉林","沈阳","绥化","铁岭","齐齐哈尔","大连","松原"],0.02
黑河,20211028,20211222,56,["齐齐哈尔","绥化","哈尔滨","黑河","呼伦贝尔","伊春","大庆","大兴安岭","沈阳","佳木斯","大连","天津","营口"],0.02
绥化,20210112,20210206,26,["齐齐哈尔","大庆","哈尔滨","黑河","伊春","佳木斯","长春","北京","沈阳","大连","天津","松原","绥化"],0.02
扬州,20210731,20210903,35,["泰州","南京","淮安","镇江","滁州","苏州","盐城","无锡","常州","南通","宿迁","上海","扬州"],0.02
株洲,20210801,20210820,20,["长沙","湘潭","衡阳","萍乡","郴州","邵阳","娄底","益阳","岳阳","常德","深圳","株洲","广州"],0.02
张掖,20211023,20211119,28,["酒泉","兰州","嘉峪关","武威","海北藏族自治州","金昌","西宁","定西","西安","哈密","阿拉善","张掖","中卫"],0.02
保定,20200618,20200702,15,["石家庄","北京","廊坊","沧州","衡水","天津","邯郸","张家口","唐山","邢台","忻州","大同","保定"],0.02
哈尔滨,20210118,20210212,26,["齐齐哈尔","绥化","哈尔滨","长春","佳木斯","大庆","北京","牡丹江","上海","天津","青岛","沈阳","鸡西"],0.02
齐齐哈尔,20210112,20210207,27,["哈尔滨","呼伦贝尔","齐齐哈尔","兴安盟","大庆","黑河","天津","北京","绥化","白城","廊坊","沈阳","大连"],0.02
绍兴,20211211,20211231,21,["杭州","宁波","金华","上海","嘉兴","温州","台州","苏州","湖州","衢州","无锡","南京","绍兴"],0.02
许昌,20220102,20220131,21,["郑州","平顶山","漯河","周口","开封","洛阳","南阳","商丘","新乡","驻马店","上海","许昌","苏州"],0.02
周口,20211104,20211125,22,["郑州","商丘","阜阳","驻马店","漯河","金华","上海","许昌","北京","开封","苏州","杭州","周口"],0.02
咸阳,20211223,20220120,29,["西安","宝鸡","渭南","铜川","延安","庆阳","榆林","平凉","商洛","汉中","上海","咸阳","安康"],0.02
天水,20211027,20211125,30,["兰州","陇南","定西","西安","平凉","宝鸡","上海","苏州","北京","乌鲁木齐","杭州","天水","白银"],0.02

