date,index
20190112,4.9260312
20190113,4.3309728
20190114,4.7742696
20190115,4.262868
20190116,4.226094
20190117,4.5257616
20190118,4.736556
20190119,5.1411348
20190120,4.6300572
20190121,4.9049388
20190122,4.5637668
20190123,4.7602728
20190124,5.0963904
20190125,5.225958
20190126,5.7314952
20190127,5.1859116
20190128,5.379534
20190129,4.996242
20190130,4.954608
20190131,4.7393424
20190201,4.6771344
20190202,4.342734
20190203,3.7576224
20190204,3.2695812
20190205,4.9231476
20190206,6.8194224
20190207,8.7643296
20190208,9.7743996
20190209,11.278278
20190210,11.9878056
20190211,13.7164752
20190212,11.2233276
20190213,10.0964232
20190214,8.4065364
20190215,8.3278692
20190216,8.8226172
20190217,7.6373928
20190218,6.4521684
20190219,5.6234088
20190220,6.7976496
20190221,7.4804796
20190222,6.853086
20190223,8.1655128
20190224,8.2602504
20190225,5.9422572
20190226,4.9570704
20190227,5.4627696
20190228,6.5967372
20190301,5.8027428
20190302,6.457482
20190303,5.5067688
20190304,5.608764
20190305,4.7254428
20190306,4.4496864
20190307,4.4982216
20190308,5.3000244
20190309,5.9588784
20200101,3.6544284
20200102,3.5754696
20200103,5.9046408
20200104,6.216912
20200105,6.2945424
20200106,5.6924856
20200107,5.7907224
20200108,6.3708444
20200109,6.690762
20200110,6.0681636
20200111,6.5808612
20200112,5.84901
20200113,6.0449328
20200114,5.374998
20200115,5.0950296
20200116,5.0293224
20200117,5.4417744
20200118,5.6561652
20200119,5.5336284
20200120,5.4210384
20200121,5.7319812
20200122,4.9652028
20200123,4.2617988
20200124,3.3263784
20200125,2.368926
20200126,3.3599124
20200127,3.2841612
20200128,2.7813456
20200129,2.65032
20200130,2.5791696
20200131,2.277882
20200201,2.0555208
20200202,1.9318176
20200203,1.4543712
20200204,1.031292
20200205,0.959202
20200206,0.8573364
20200207,0.7787988
20200208,0.703728
20200209,0.6490368
20200210,0.5261112
20200211,0.4104432
20200212,0.391716
20200213,0.3895128
20200214,0.4027968
20200215,0.4031856
20200216,0.399006
20200217,0.4805244
20200218,0.4901472
20200219,0.5200524
20200220,0.5774652
20200221,0.6488424
20200222,0.8596368
20200223,1.1486772
20200224,1.4515848
20200225,1.6040916
20200401,3.5787744
20200402,3.3186024
20200403,3.577284
20200404,4.1730876
20200405,4.7706408
20200406,5.90814
20200407,5.9853168
20200501,6.4186668
20200502,5.193072
20200503,6.135588
20200504,7.1486712
20200505,7.2989748
20200625,5.4134892
20200626,4.942296
20200627,6.9155856
20210119,2.7512136
20210120,2.6856036
20210121,2.823498
20210122,2.8751112
20210123,3.1228416
20210124,2.6740368
20210125,3.1070952
20210126,2.6313012
20210127,2.6701164
20210128,2.6568648
20210129,2.5198452
20210130,2.754648
20210131,2.149254
20210201,3.0052944
20210202,2.3822424
20210203,2.3814972
20210204,2.5303104
20210205,2.6384292
20210206,2.846988
20210207,2.6670384
20210208,2.5680564
20210209,2.4365772
20210210,2.2123368
20210211,1.8665964
20210212,2.0325168
20210213,2.7683856
20210214,4.3188552
20210215,5.8208544
20210216,7.0855884
20210217,9.5445216
20210218,10.0079388
20210219,7.0945308
20210220,6.8233104
20210221,6.8628708
20210222,6.5006712
20210223,5.5437372
20210224,5.0043096
20210225,4.6418832
20210226,5.3126928
20210227,8.1561168
20210228,8.2661796
20210301,6.990624
20210302,5.696244
20210303,5.256576
20210304,4.9438836
20210305,5.0548536
20210306,6.1928712
20210307,4.945536
20210308,5.3007372
20210309,4.2429096
20210310,4.0390488
20210311,4.093416
20210312,4.8236796
20210313,5.921586
20210314,4.742064
20210315,5.3109108
20210316,4.2996744
20210317,3.9964428
20210318,4.1368644
20210319,4.4334864
20210320,5.21316
20210321,4.330908
20210322,5.05602
20210323,4.0233024
20210324,3.89853
20210325,4.1705928
20210326,4.669974
20210327,5.5521288
20210328,4.7588796
20210329,5.2735212
20210330,4.0967532
20210331,3.9681252
20210401,4.093092
20210402,4.7340612
20210403,7.001316
20210404,5.468634
20210405,8.53092
20210406,8.9050428
20210407,4.8325248
20210408,4.4304732
20210409,4.6661508
20210410,5.4504252
20210411,4.47849
20210412,5.1184872
20210413,4.443336
20210414,4.647132
20210415,4.9680864
20210416,5.592726
20210417,6.6329928
20210418,5.4601128
20210419,6.184998
20210420,5.0568624
20210421,4.7235312
20210422,4.791474
20210423,5.1273
20210424,5.0650596
20210425,4.8605508
20210426,4.8371904
20210427,4.6925892
20210428,4.7806524
20210429,5.1276888
20210430,6.7230648
20210501,11.822112
20210502,10.44819
20210503,9.5165928
20210504,10.2149748
20210505,14.7000744
20210506,10.916046
20210507,5.936328
20210508,5.295132
20210509,5.2268652
20210510,5.3842968
20210511,4.8186252
20210512,4.4962452
20210513,4.8089376
20210514,5.2808112
20210515,5.8474548
20210516,4.8812544
20210517,5.7179844
20210518,4.6678032
20210519,4.4949492
20210520,5.0598108
20210521,5.7867696
20210522,6.6276792
20210523,5.2543404
20210524,6.0570828
20210525,4.6375092
20210526,4.3971336
20210527,4.4312508
20210528,5.1604776
20210529,6.2293212
20210530,5.1311556
20210531,5.7836268
20210601,4.3236828
20210602,4.9954968
20210603,4.7297844
20210604,5.222718
20210605,6.1674696
20210606,5.4423576
20210607,6.125544
20210608,4.738662
20210609,5.1698736
20210610,5.2289064
20210611,5.5111752
20210612,8.0242812
20210613,5.9727132
20210614,8.5199688
20210615,9.83583
20210616,6.3651744
20210617,5.1239952
20210618,5.6025756
20210619,6.2829432
20210620,5.352318
20210621,6.148872
20210622,5.1751224
20210623,4.8700116
20210624,5.0420556
20210625,5.5253016
20210626,6.1441416
20210627,5.3803116
20210628,6.3082476
20210629,5.0931504
20210630,5.105916
20210701,5.5012284
20210702,5.76558
20210703,6.6738492
20210704,6.2004852
20210705,6.2764956
20210706,5.4556416
20210707,5.6114208
20210708,5.659956
20210709,6.8734656
20210710,6.8652684
20210711,6.018624
20210712,7.1627976
20210713,6.0828732
20210714,5.8050108
20210715,6.1778376
20210716,6.5631708
20210717,7.0822836
20210718,6.6340296
20210719,7.4141568
20210720,5.973588
20210721,5.5496988
20210722,5.6656584
20210723,5.9146848
20210724,6.4642536
20210725,5.7238812
20210726,6.4468224
20210727,5.0555664
20210728,5.7447792
20210729,5.382288
20210730,5.3960904
20210731,4.9841568
20210801,4.3517088
20210802,4.9689936
20210803,3.7086012
20210804,3.4206948
20210805,3.4764876
20210806,3.3286464
20210807,3.3633468
20210808,3.356964
20210809,3.9935916
20210810,3.1815828
20210811,3.01401
20210812,3.1028184
20210813,3.3100812
20210814,3.8023668
20210815,3.9608676
20210816,4.8169404
20210817,3.6003852
20210818,3.4261704
20210819,3.5178948
20210820,3.748194
20210821,4.1568228
20210822,3.8308788
20210823,4.6757412
20210824,4.0808124
20210825,4.1808636
20210826,4.414338
20210827,5.0564088
20210828,6.4546956
20210829,5.9947128
20210830,5.3810892
20210831,4.119174
20210901,4.0528836
20210902,4.4003736
20210903,4.74093
20210904,5.4235332
20210905,4.7308212
20210906,4.8899376
20210907,4.0808124
20210908,4.0730364
20210909,4.1928192
20210910,4.7458872
20210911,5.3518644
20210912,4.6996848
20210913,5.1209172
20210914,3.8999556
20210915,4.7157876
20210916,4.7137464
20210917,4.5694368
20210918,5.5675512
20210919,6.6693456
20210920,5.5328832
20210921,8.7751836
20210922,9.7319232
20210923,5.4547344
20210924,4.6276596
20210925,4.6078632
20210926,4.3131204
20210927,4.4271036
20210928,4.6356624
20210929,5.3640468
20210930,6.2029152
20211001,11.1825684
20211002,8.6917536
20211003,9.7053228
20211004,10.384524
20211005,10.4256396
20211006,11.906838
20211007,14.5872252
20211008,9.319374
20211009,5.825358
20211010,5.2542432
20211011,5.5379376
20211012,5.053914
20211013,4.8827448
20211014,5.2621812
20211015,6.0297372
20211016,6.6043188
20211017,5.8913244
20211018,5.8644648
20211019,4.0134204
20211020,3.2687712
20211021,3.2565564
20211022,3.5075592
20211023,3.1394628
20211024,3.1946724
20211025,3.6619452
20211026,2.6682372
20211027,2.4271812
20211028,2.640276
20211029,3.0299184
20211030,3.1489236
20211031,3.1530384
20211101,3.6240696
20211102,2.9039472
20211103,3.1634064
20211104,3.497742
20211105,4.0625388
20211106,4.2244092
20211107,3.9021588
20211108,4.5145836
20211109,3.6233892
20211110,3.5584272
20211111,3.910194
20211112,4.613922
20211113,5.0180148
20211114,5.1048792
20211115,5.407722
20211116,4.4409384
20211117,4.2104772
20211118,4.4391888
20211119,5.2825932
20211120,5.6012148
20211121,5.3801172
20211122,5.6336796
20211123,4.5689508
20211124,4.4472564
20211125,4.7725848
20211126,5.6539944
20211127,6.3622908
20211128,5.9128056
20211129,5.8695192
20211130,4.8734784
20211201,4.8362832
20211202,4.981662
20211203,5.6074032
20211204,6.0306444
20211205,5.5680696
20211206,5.949126
20211207,4.784346
20211208,4.4981244
20211209,4.9062348
20211210,5.576364
20211211,5.6326752
20211212,5.4938412
20211213,5.374674
20211214,3.957822
20211215,3.5943264
20211216,3.282768
20211217,2.9124036
20211218,2.4947352
20211219,2.11896
20211220,2.1849912
20211221,1.5919092
20211222,1.2052152
20211223,0.7486992
20211224,0.3927852
20211225,0.270054
20211226,0.2766636
20211227,0.2452356
20211228,0.2015928
20211229,0.1837404
20211230,0.211734
20211231,0.2391444
20220101,0.2280312
20220102,0.2437776
20220103,0.216918
20220104,0.208494
20220105,0.1961496
20220106,0.1973808
20220107,0.188892
20220108,0.2298456
20220109,0.1827036
20220110,0.2156868
20220111,0.3020976
20220112,0.319788
20220113,0.3948264
20220114,0.4838292
20220115,0.5435748
20220116,0.4942296
20220117,0.4684392
20220118,0.454896
20220119,0.4374648
20220120,0.6361416
20220121,0.6767388
20220122,0.768204
20220123,0.7914996
20220124,1.3240584
20220125,2.4682644
20220126,2.7244512
20220127,2.648538
20220128,2.940786
20220129,3.033936
20220130,2.7409104
20220131,2.2623624
20220201,2.2593492
20220202,3.949074
20220203,5.9048676
20220204,7.9561116
20220205,10.8564624
20220206,12.4366104
20220207,10.3978404
20220208,8.6984604
20220209,8.4258792
20220210,8.2698732
20220211,7.7699736
20220212,7.6688532
20220213,7.8992172
20220214,7.8201288
20220215,5.7042792
20220216,7.4299356
20220217,7.3471212
20220218,6.3729828
20220219,7.4740644
20220220,7.1940636
20220221,7.1881344
20220222,6.2160048
20220223,6.052644
20220224,6.2835264
20220225,7.0120404
20220226,8.2335528
20220227,7.5997764
20220228,6.4104696
20220301,6.5032308
20220302,5.2863516
20220303,6.2586432
20220304,7.1613072
20220305,8.6982984
20220306,7.1868708
20220307,5.578632
20220308,3.6920772
20220309,2.8953936
20220310,2.6925372
20220311,2.77344
20220312,2.442798
20220313,2.1791268
20220314,2.5490052
20220315,1.9751364
20220316,1.4446512
20220317,1.3018968
20220318,1.39077
20220319,1.2613644
20220320,1.3431096
20220321,2.0852964
20220322,2.1625056
20220323,2.3842188
20220324,2.7940464
20220325,2.8637712
20220326,3.7584972
20220327,3.9026772
20220328,4.165344
20220329,3.1605552
20220330,3.4608384
20220331,3.208248
20220401,3.4419168
20220402,4.2349392
20220403,5.5688472
20220404,4.7971764
20220405,9.0428076
20220406,8.1995004
20220407,4.6940148
20220408,4.402026
20220409,3.6310032
20220410,3.0185784
20220411,2.7723708
20220412,2.0836764
20220413,2.4525504
20220414,2.5126524
20220415,2.4286716
20220416,1.8327708
20220417,1.59327
20220418,1.986282
20220419,1.9601676
20220420,2.5504956
20220421,2.7855576
20220422,3.55752
20220423,3.425004
20220424,3.6609084
20220425,3.77946
20220426,3.6612324
20220427,3.7458936
20220428,3.9539016
20220429,5.0972004
20220430,6.0828732
20220501,5.1400656
20220502,6.5052072
20220503,9.3263076
20220504,11.977632
20220505,7.3708704
20220506,4.76766
20220507,4.7953296
20220508,4.8615876
20220509,5.214942
20220510,4.8490164
20220511,4.7640636
20220512,5.1460596
20220513,5.7261492
20220514,5.7833352
20220515,5.8047516
20220516,6.196986
20220517,5.0329188
20220518,4.8746124
20220519,5.2950996
20220520,6.1419708
20220521,5.7709908
20220522,6.3334872
20220523,6.211242
20220524,4.9517568
20220525,4.627692
20220526,4.7936448
20220527,5.4356508
20220528,5.5024596
