date,index
20190112,5.3477496
20190113,4.576176
20190114,4.872312
20190115,4.2924492
20190116,4.5401472
20190117,4.8725064
20190118,4.8708864
20190119,5.5091664
20190120,5.0505768
20190121,5.3885736
20190122,5.2312068
20190123,5.3904204
20190124,5.3536464
20190125,5.5857924
20190126,6.8384736
20190127,6.5246148
20190128,7.0636212
20190129,6.8427828
20190130,6.999372
20190131,7.2142488
20190201,8.7631956
20190202,9.70056
20190203,10.0633752
20190204,9.2832804
20190205,5.9154948
20190206,7.1068752
20190207,6.9438708
20190208,6.4018512
20190209,6.6560292
20190210,6.0331716
20190211,6.2729964
20190212,5.411772
20190213,5.2890084
20190214,4.9478688
20190215,5.1302484
20190216,5.8083156
20190217,5.3119476
20190218,5.3136648
20190219,5.0486652
20190220,4.564026
20190221,4.259628
20190222,4.1982948
20190223,5.1479712
20190224,5.4146232
20190225,4.6588284
20190226,3.9039084
20190227,4.3233912
20190228,5.3702676
20190301,4.5987264
20190302,5.2215192
20190303,4.8344364
20190304,5.2497072
20190305,4.330422
20190306,4.1452884
20190307,4.2167304
20190308,4.8723444
20190309,5.9147172
20200101,4.1499864
20200102,4.1021316
20200103,6.5348856
20200104,7.4995308
20200105,7.0064676
20200106,6.3919368
20200107,6.6148812
20200108,7.131402
20200109,7.8460812
20200110,6.5177784
20200111,7.619022
20200112,7.147116
20200113,6.9271524
20200114,6.2620776
20200115,6.1731072
20200116,6.1993512
20200117,6.6826944
20200118,7.6370364
20200119,7.9096176
20200120,8.49042
20200121,10.4358132
20200122,11.1733668
20200123,12.4744212
20200124,11.059254
20200125,5.1815376
20200126,3.5284572
20200127,2.4103008
20200128,1.753326
20200129,1.395144
20200130,1.2208644
20200131,1.0599336
20200201,0.9793224
20200202,1.1279736
20200203,1.076328
20200204,0.826524
20200205,0.751842
20200206,0.6580116
20200207,0.6020568
20200208,0.5717952
20200209,0.5582844
20200210,0.56457
20200211,0.43659
20200212,0.407916
20200213,0.43254
20200214,0.439182
20200215,0.4096332
20200216,0.434322
20200217,0.5288976
20200218,0.4900824
20200219,0.5055696
20200220,0.5311656
20200221,0.5434452
20200222,0.6218532
20200223,0.7494444
20200224,1.015416
20200225,1.0973232
20200401,3.674808
20200402,3.5165988
20200403,4.5251784
20200404,9.5573844
20200405,4.6873404
20200406,3.3029856
20200407,3.7172844
20200501,13.2195888
20200502,8.4394548
20200503,6.106752
20200504,5.160186
20200505,4.2088572
20200625,12.188394
20200626,6.2256276
20200627,4.357962
20210119,3.4093548
20210120,3.3892344
20210121,3.4887024
20210122,3.3578064
20210123,3.91068
20210124,3.3944184
20210125,3.7754748
20210126,3.4734744
20210127,3.8004876
20210128,3.4637868
20210129,2.962008
20210130,3.5172144
20210131,2.6729028
20210201,3.5464068
20210202,3.023082
20210203,3.0276504
20210204,3.2668596
20210205,3.426786
20210206,4.247316
20210207,4.3172028
20210208,4.79844
20210209,5.7529116
20210210,6.836238
20210211,7.484724
20210212,3.8863476
20210213,4.261086
20210214,4.1221548
20210215,3.7158264
20210216,3.627666
20210217,3.811212
20210218,3.8788308
20210219,3.3395976
20210220,3.4508268
20210221,3.9068568
20210222,4.0121892
20210223,3.8138364
20210224,3.6495036
20210225,3.6395892
20210226,4.2663672
20210227,4.8531312
20210228,4.2395076
20210301,4.5704736
20210302,3.8662272
20210303,3.784158
20210304,3.8041488
20210305,3.9193956
20210306,5.1355944
20210307,4.256388
20210308,4.8647304
20210309,3.9692268
20210310,3.8008116
20210311,3.8070648
20210312,4.2062004
20210313,5.8121388
20210314,4.8144132
20210315,5.2543728
20210316,4.2835716
20210317,4.2014052
20210318,4.1398452
20210319,4.109454
20210320,5.479812
20210321,4.4843544
20210322,5.065416
20210323,4.257036
20210324,4.1421456
20210325,4.0482828
20210326,4.3906212
20210327,6.0565644
20210328,5.067846
20210329,5.4243756
20210330,4.4672796
20210331,4.1530968
20210401,4.4629056
20210402,5.347782
20210403,11.882862
20210404,8.3645136
20210405,5.5259172
20210406,6.1411284
20210407,4.2791652
20210408,4.0606272
20210409,4.3499268
20210410,5.5145124
20210411,4.5830448
20210412,5.3136972
20210413,4.5631836
20210414,4.7588796
20210415,4.900824
20210416,5.3066664
20210417,7.052994
20210418,5.987196
20210419,6.5363112
20210420,5.0886468
20210421,4.795362
20210422,4.9754736
20210423,5.2049628
20210424,5.3806032
20210425,4.806378
20210426,5.0762376
20210427,4.9386672
20210428,4.955904
20210429,5.579118
20210430,8.1242676
20210501,20.0448108
20210502,15.2685
20210503,10.2350304
20210504,8.1753624
20210505,9.4190688
20210506,7.9782732
20210507,5.4013068
20210508,4.9575888
20210509,5.3509572
20210510,5.2971084
20210511,4.7846376
20210512,4.8550428
20210513,4.8927888
20210514,5.1011532
20210515,6.2191152
20210516,5.353128
20210517,6.0832944
20210518,5.0939928
20210519,4.9864248
20210520,5.0766588
20210521,5.4113184
20210522,7.1735544
20210523,5.5090692
20210524,6.3579816
20210525,5.079996
20210526,4.7842812
20210527,4.6198836
20210528,5.1866892
20210529,7.1365212
20210530,5.6749248
20210531,6.2223228
20210601,4.8453876
20210602,5.3309664
20210603,4.9496184
20210604,5.4171828
20210605,7.5219516
20210606,6.1432344
20210607,6.3802728
20210608,5.2802928
20210609,5.1949188
20210610,5.231628
20210611,5.8049136
20210612,13.3250508
20210613,9.8216388
20210614,6.9891984
20210615,6.3448272
20210616,5.2653888
20210617,4.7165328
20210618,5.3430516
20210619,6.8208804
20210620,5.653962
20210621,6.225984
20210622,5.4526608
20210623,5.0474988
20210624,5.0583204
20210625,5.4035748
20210626,7.2101664
20210627,5.8858164
20210628,6.2059608
20210629,5.5694952
20210630,5.6074032
20210701,5.8534812
20210702,5.8012524
20210703,7.51518
20210704,6.6752748
20210705,6.4530756
20210706,5.7890052
20210707,5.9002668
20210708,5.8152492
20210709,6.8768676
20210710,8.0531496
20210711,6.5489148
20210712,7.4524212
20210713,6.476436
20210714,6.4221984
20210715,6.4927332
20210716,6.736446
20210717,8.8084908
20210718,6.8208156
20210719,7.2218628
20210720,6.2457156
20210721,5.822766
20210722,6.005016
20210723,6.1653636
20210724,8.0468964
20210725,6.1990596
20210726,5.986062
20210727,5.3147016
20210728,6.158268
20210729,5.679882
20210730,5.8716252
20210731,7.5485196
20210801,5.9997024
20210802,5.3616816
20210803,4.4538012
20210804,3.9495276
20210805,3.7328364
20210806,3.7912212
20210807,4.884462
20210808,3.6242316
20210809,3.6884808
20210810,3.4805376
20210811,3.3603984
20210812,3.3833052
20210813,3.43683
20210814,5.3090964
20210815,4.1243904
20210816,4.1184612
20210817,3.595428
20210818,3.5096004
20210819,3.5592696
20210820,3.7826676
20210821,5.4432
20210822,3.71223
20210823,4.2006924
20210824,3.8924712
20210825,3.94713
20210826,4.0747212
20210827,4.3033356
20210828,5.6989656
20210829,4.609386
20210830,4.7081088
20210831,3.7670832
20210901,3.8695968
20210902,4.0522032
20210903,4.1427936
20210904,5.360742
20210905,4.3722828
20210906,4.76604
20210907,4.4327412
20210908,4.3673904
20210909,4.3770132
20210910,4.5530748
20210911,6.298884
20210912,5.2429356
20210913,5.5228392
20210914,4.7839248
20210915,5.19858
20210916,4.883814
20210917,4.7096316
20210918,5.9512968
20210919,12.1407012
20210920,9.980172
20210921,7.192638
20210922,6.39333
20210923,4.8236148
20210924,4.341276
20210925,4.5695988
20210926,4.513806
20210927,4.3186284
20210928,4.5958752
20210929,5.9375268
20210930,7.4452932
20211001,24.7372704
20211002,16.9723836
20211003,10.668672
20211004,8.4099384
20211005,7.0110036
20211006,6.5089008
20211007,7.4003544
20211008,6.5881188
20211009,5.0105304
20211010,4.9639392
20211011,5.6316708
20211012,5.267754
20211013,5.1490728
20211014,5.08275
20211015,5.550282
20211016,7.2128556
20211017,6.1983144
20211018,6.6608568
20211019,4.7813328
20211020,3.968838
20211021,3.920238
20211022,3.9678012
20211023,4.5317232
20211024,3.4305768
20211025,3.6094896
20211026,2.9386476
20211027,2.8361988
20211028,2.923614
20211029,3.2652072
20211030,4.3831368
20211031,3.3869664
20211101,3.8460096
20211102,3.366684
20211103,3.590568
20211104,4.0589424
